geni_id	page	name	relationship	managed_by	immediate_family	href
6000000054082402440	1	Name: Bayanchur Moyanchur Khan (713 - 759)	Relationship: NN's third great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Kutlug I Bilge Kagan Husband of Ning-Kuo (Princess Xiao) Father of Princess Bayanue Brother of King Tun Bagha Tarkhan	/people/Bayanchur-Khan/6000000054082402440?through=6000000227822546944
6000000054083616958	1	Name: King Tun Bagha Tarkhan	Relationship: NN's third great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Kutlug I Bilge Kagan Husband of Princess Xian'an, Of Tang Father of Ai tengride bulmïsh külüg Bilge Brother of Bayanchur Moyanchur Khan	/people/King-Tun-Tarkhan/6000000054083616958?through=6000000227822546944
6000000115313244880	1	Name: Princess Jinhe Ashina	Relationship: NN's fourth great granddaughter	Managed By: Sid Ahmed Deddach	Immediate Family: Daughter of Huaidao Ashina Wife of Türgesh khagan Suluk Mother of Turgesh Khagan Kut Chor	/people/Princess-Jinhe-Ashina/6000000115313244880?through=6000000227822546944
6000000054042397875	1	Name: Princess Bayanue	Relationship: NN's fourth great granddaughter	Managed By: Jeremy Lee Zacek	Immediate Family: Daughter of Bayanchur Moyanchur Khan and Ning-Kuo (Princess Xiao) Wife of Surkhab II Prince of Tabaristan Mother of Sharwin I Prince/Emir of Tabaristan and Isaac Karim Bavand, do Tarabistão	/people/Princess-Bayanue/6000000054042397875?through=6000000227822546944
6000000054083439107	1	Name: Ai tengride bulmïsh külüg Bilge	Relationship: NN's fourth great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of King Tun Bagha Tarkhan and Princess Xian'an, Of Tang Father of Qutlugh Bilge	/people/Ai-tengride-bulm%C3%AFsh-k%C3%BCl%C3%BCg-Bilge/6000000054083439107?through=6000000227822546944
6000000115311392405	1	Name: Turgesh Khagan Kut Chor "Kül-chor", "(Old Turkic: Küli Čur)"	Relationship: NN's fifth great grandson	Managed By: Sid Ahmed Deddach	Immediate Family: Son of Türgesh khagan Suluk and Princess Jinhe Ashina Husband of NN Father of Kut Chor	/people/Turgesh-Khagan-Kut-Chor/6000000115311392405?through=6000000227822546944
6000000054042538827	1	Name: Sharwin I Prince/Emir of Tabaristan (b. - 817)	Relationship: NN's fifth great grandson	Managed By: Private	Immediate Family: Son of Surkhab II Prince of Tabaristan and Princess Bayanue Father of Isaac Karim Brother of Isaac Karim Bavand, do Tarabistão	/people/Sharwin-I-Prince-Emir-of-Tabaristan/6000000054042538827?through=6000000227822546944
6000000222606911837	1	Name: Isaac Karim Bavand, do Tarabistão	Relationship: NN's fifth great grandson	Managed By: Renata Martinez Colombe	Immediate Family: Son of Surkhab II Prince of Tabaristan and Princess Bayanue Father of Qarin I Prince of Tabaristan Brother of Sharwin I Prince/Emir of Tabaristan	/people/Isaac-Karim-Bavand-do-Tarabist%C3%A3o/6000000222606911837?through=6000000227822546944
6000000054083766859	1	Name: Qutlugh Bilge	Relationship: NN's fifth great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Ai tengride bulmïsh külüg Bilge Father of Alp Qutlugh	/people/Qutlugh-Bilge/6000000054083766859?through=6000000227822546944
6000000115311613394	1	Name: Kut Chor	Relationship: NN's 6th great granddaughter	Managed By: Sid Ahmed Deddach	Immediate Family: Daughter of Turgesh Khagan Kut Chor and NN Mother of Inal Kut Chor	/people/Kut-Chor/6000000115311613394?through=6000000227822546944
6000000054041960017	2	Name: Isaac Karim	Relationship: NN's 6th great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Sharwin I Prince/Emir of Tabaristan Father of Shahriyar I Prince/Emir of Tabaristan	/people/Isaac-Karim/6000000054041960017?through=6000000227822546944
6000000007176892629	2	Name: Qarin I Prince of Tabaristan (b. - 867) "Isaac Karin", "Isaac Karim", "Qaren"	Relationship: NN's 6th great grandson	Managed By: Malka Mysels	Immediate Family: Son of Sharwin I of the Bavandids; Shahriyar I Prince/Emir of Tabaristan; Isaac Karim Bavand, do Tarabistão; (No Name) and 1 other; and Uyghur Princess« less Husband of (No Name); NN Melik and daughter of Hormuzd Father of Abu ''Melik "Isaac ben Qarin" and Shahriyar I of the Bavandids	/people/Qarin-I-Prince-of-Tabaristan/6000000007176892629?through=6000000227822546944
6000000054083490893	2	Name: Alp Qutlugh	Relationship: NN's 6th great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Qutlugh Bilge Father of Uyghur Princess	/people/Alp-Qutlugh/6000000054083490893?through=6000000227822546944
6000000035218736073	2	Name: Inal Kut Chor	Relationship: NN's 7th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Kut Chor Husband of NN n Father of n n	/people/Inal-Kut-Chor/6000000035218736073?through=6000000227822546944
6000000054042346891	2	Name: Shahriyar I Prince/Emir of Tabaristan	Relationship: NN's 7th great grandson	Managed By: Jeremy Lee Zacek	Immediate Family: Son of Isaac Karim Husband of Uyghur Princess Father of Qarin I Prince of Tabaristan	/people/Shahriyar-I-Prince-Emir-of-Tabaristan/6000000054042346891?through=6000000227822546944
6000000007177013341	2	Name: Abu ''Melik "Isaac ben Qarin" "Isaac Karin Abu'l Muluk"	Relationship: NN's 7th great grandson	Managed By: Malka Mysels	Immediate Family: Son of Qarin I Prince of Tabaristan and NN Melik Husband of NN Father of Surkhab ibn Abul-Melik Artsruni Half brother of Shahriyar I of the Bavandids	/people/Abu-Melik-Isaac-ben-Qarin/6000000007177013341?through=6000000227822546944
6000000033135551915	2	Name: Shahriyar I of the Bavandids (b. - 825)	Relationship: NN's 7th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Qarin I Prince of Tabaristan and daughter of Hormuzd Father of Qarin I of the Bavandids and Shapur of the Bavandids Half brother of Abu ''Melik "Isaac ben Qarin"	/people/Shahriyar-I-of-the-Bavandids/6000000033135551915?through=6000000227822546944
6000000054083541827	2	Name: Uyghur Princess	Relationship: NN's 7th great granddaughter	Managed By: Jeremy Lee Zacek	Immediate Family: Daughter of Alp Qutlugh Wife of Shahriyar I Prince/Emir of Tabaristan Mother of Qarin I Prince of Tabaristan	/people/Uyghur-Princess/6000000054083541827?through=6000000227822546944
6000000035218690155	2	Name: n n	Relationship: NN's 8th great granddaughter	Managed By: Emily Damiano	Immediate Family: Daughter of Inal Kut Chor and NN n Wife of Mika'il Seljuq Mother of Sultan Tughril I; Dawud Chaghri Bey, Lord of Khorasan and Musa ibn Mika'il Seljuq	/people/n-n/6000000035218690155?through=6000000227822546944
6000000054042411822	2	Name: Surkhab ibn Abul-Melik Artsruni	Relationship: NN's 8th great granddaughter	Managed By: Jeremy Lee Zacek	Immediate Family: Daughter of Abu ''Melik "Isaac ben Qarin" and NN Wife of Vasak Ardzrouni Mother of Príncipe Gregory Abul-Hamza Artsruni	/people/Surkhab-ibn-Abul-Melik-Artsruni/6000000054042411822?through=6000000227822546944
6000000033135405901	2	Name: Qarin I of the Bavandids (b. - 867)	Relationship: NN's 8th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Shahriyar I of the Bavandids Father of Surkhab ibn Qarin; Maziar ibn Qarin and Kuhyar of the Bavandid Brother of Shapur of the Bavandids	/people/Qarin-I-of-the-Bavandids/6000000033135405901?through=6000000227822546944
6000000033134597520	2	Name: Shapur of the Bavandids (b. - 825)	Relationship: NN's 8th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Shahriyar I of the Bavandids Brother of Qarin I of the Bavandids	/people/Shapur-of-the-Bavandids/6000000033134597520?through=6000000227822546944
