qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q45599462	6000000021164121834	Li Ne		6000000007969987331	6000000021164110882	Q11095411		father: their Q11095411 carries 6000000075061041833, ours is 6000000007969987331 | mother: none on the item
Q109253092	6000000021289706561	Hanna Kristina Charleville	Hanna Kristina Charleville	2159827	2160061	Q5606949		father: their Q5606949 carries 6000000010951841055, ours is 2159827 | mother: none on the item
Q2604067	6000000021688780300	Flavia Titiana	Flavia Titiana	6000000009144928401	6000000001435546991	Q334910	Q108476546	father: their Q334910 carries 6000000041325816868, ours is 6000000009144928401 | mother: their Q108476546 carries no Geni id
Q108586272	6000000023615664654	Gia Cát thái phi		6000000023616059660		Q198188		father: their Q198188 carries 6000000074782994344, ours is 6000000023616059660 | mother: none in our tree
Q7140613	6000000030413936479	Tokudaiji Kin'ito	Kinito Tokudaiji	6000000030414066086	6000000030413715707	Q924973		father: their Q924973 carries 6000000030413909604, ours is 6000000030414066086 | mother: none on the item
Q59494384	6000000031349122596	Carolina Pierson	Madelon Sophie Elisabeth Thooft	6000000014200539628	6000000017814070359	Q1945661	Q2029985	father: their Q1945661 carries 6000000017370037555, ours is 6000000014200539628 | mother: their Q2029985 carries 6000000017370158297, ours is 6000000017814070359
Q65801284	6000000052103157846	Han Shi		6000000134973886823	6000000075399642831	Q28415124		father: their Q28415124 carries 6000000074759194061, ours is 6000000134973886823 | mother: none on the item
Q24833825	6000000055762501602	Li Ceng		6000000055776248874		Q45419924		father: their Q45419924 carries 6000000074738943846, ours is 6000000055776248874 | mother: none in our tree
Q17498837	6000000055770117919	Cui Shi		6000000055769289018	6000000055769344013	Q18235152	Q76011247	father: their Q18235152 carries 6000000075343794214, ours is 6000000055769289018
Q11077197	6000000055770528571	Tuoba Jian		6000000002188195624	6000000055771132109	Q1194963		father: their Q1194963 carries 6000000075329149939, ours is 6000000002188195624 | mother: none on the item
Q98698488	6000000063931502201	Anna von Rosen	Anna von Rosen a.d.H. Allo	6000000007377013366	6000000007376492091	Q98698497	Q98698499	father: their Q98698497 carries 6000000015611161054, ours is 6000000007377013366 | mother: their Q98698499 carries no Geni id
Q45596128	6000000074733511158	Chen Xuandu		6000000083694355844		Q18668998		father: their Q18668998 carries 6000000074733467291, ours is 6000000083694355844 | mother: none in our tree
Q45479542	6000000075061080860	Li Dan		6000000021240229776		Q11095417	Q65805076	father: their Q11095417 carries 6000000075060939894, ours is 6000000021240229776 | mother: none in our tree
Q45554753	6000000075344672919	Song Xuanfu		6000000075343829369		Q45554691		father: their Q45554691 carries 6000000075344672919, ours is 6000000075343829369 | mother: none in our tree
Q45570334	6000000075346171106	Liu Rui		6000000075345603378		Q45420339		father: their Q45420339 carries 6000000075372317848, ours is 6000000075345603378 | mother: none in our tree
Q76215334	6000000075426731016	Donna Anna Maria Carignani	Anna Maria Carignani	6000000213315593840	6000000026037745523	Q28668845	Q76215336	father: their Q28668845 carries 6000000026037762771, ours is 6000000213315593840
Q128605645	6000000114769597853	Samuel Bendix	"Bendit ""Samuel"" Gewer"	6000000008594747616	6000000165987029144	Q125168495		father: their Q125168495 carries 6000000008673142141, ours is 6000000008594747616 | mother: none on the item
Q76284729	6000000185454028933	Donna Giovanna Colonna	Giovanna Colonna	6000000057659049202	6000000111106725931	Q76284731	Q76284732	mother: their Q76284732 carries 6000000057661855845, ours is 6000000111106725931
