qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q76191448	6000000003827890353	Matilda of Luxembourg	Mathilde de Luxembourg	6000000002043214614	6000000001210380997	Q749731	Q1811683	father: their Q749731 carries no Geni id | mother: their Q1811683 carries 6000000012469454652, ours is 6000000001210380997
Q1237643	6000000003869084065	Margaret de Quincy, Countess of Lincoln	Margaret de Quincy 2nd Countess of Lincoln suo jure, Countess of Pembroke	6000000001745048340	6000000001745009000	Q61963613	Q3783760	father: their Q61963613 carries 6000000003828175218, ours is 6000000001745048340
Q5342632	6000000004533176833	Joscelin of Louvain	"Joscelin ""Barbatus"" de Louvain"	6000000003146957188	6000000001744810203	Q126237	Q2104024	mother: their Q2104024 carries 6000000000112096314, ours is 6000000001744810203
Q106704712	6000000004586535733	Margaret Dutton, of Dutton	Margaret Dutton	6000000008212868413	6000000008212552153	Q75774984	Q99199166	father: their Q75774984 carries no Geni id | mother: their Q99199166 carries 6000000037607828579, ours is 6000000008212552153
Q101403714	6000000004674021249	Eilo Alvarez de Minaya	Eylo Alvarez	6000000009580023719	6000000097298904897	Q258891	Q6007698	father: their Q258891 carries no Geni id | mother: their Q6007698 carries 6000000012913787639, ours is 6000000097298904897
Q3327285	6000000004774370007	Pedro Fernández de Castro	Pedro 'el de la Guerra' Fernández de Castro señor de Lemos, Monforte y Sarria	6000000007041409270	6000000010829867931	Q3006087	Q6163235	father: their Q3006087 carries 6000000090576737823, ours is 6000000007041409270 | mother: their Q6163235 carries no Geni id
Q11104386	6000000004869017362	Yuan Yu		6000000002188193998	6000000004869017383	Q1327614	Q8253764	father: their Q1327614 carries 6000000074790906878, ours is 6000000002188193998 | mother: their Q8253764 carries no Geni id
Q8257139	6000000004869017574	Princess Murong	Murong	6000000012368659230		Q1069778		father: their Q1069778 carries 6000000075062420849, ours is 6000000012368659230 | mother: none in our tree
Q101247629	6000000005442039242	Gjertrud Ogmundsdottir av Tronstad	Jartrud Sigurdsdatter Bolt til Tomb	6000000002512241166	6000000014652751110	Q101248603	Q101248605	father: their Q101248603 carries 6000000001669607946, ours is 6000000002512241166 | mother: their Q101248605 carries no Geni id
Q157834	6000000005597849712	Catherine of Austria, Queen of Portugal	Katharina von Habsburg rainha consorte de Portugal	376298089210013354	6000000001599919033	Q157098	Q171136	mother: their Q171136 carries 6000000018001664573, ours is 6000000001599919033
Q51089	6000000005598888561	Beatrice Regina della Scala	Beatrice Regina della Scala	6000000004533185330	6000000006727867674	Q773450	Q18647888	mother: their Q18647888 carries 6000000178117872895, ours is 6000000006727867674
Q18606694	6000000005703890001	Alix de Roucy	Béatrix de Hainaut	6000000002043195252	6000000006442583351	Q3024596	Q48925204	father: their Q3024596 carries no Geni id | mother: their Q48925204 carries 6000000005703890001, ours is 6000000006442583351
Q372441	6000000006090851156	Nitocris of Babylon	Neitaqert (Nitocris)	6000000006090580622	6000000205594445919	Q12591	Q1574056	mother: their Q1574056 carries 6000000006090671495, ours is 6000000205594445919
Q520529	6000000006101378706	John of Foix, Viscount of Narbonne	Jean de Foix vicomte de Narbonne	6000000003503676462	6000000001378295126	Q372977	Q236889	father: their Q372977 carries no Geni id | mother: their Q236889 carries 6000000042712527188, ours is 6000000001378295126
Q18164418	6000000006101404690	Studholme John Hodgson	Thomas Wyse English Diplomat	6000000055610223945	6000000055610198924	Q18671826		father: their Q18671826 carries 6000000016640144314, ours is 6000000055610223945 | mother: none on the item
Q3960015	6000000006240544619	Sybilla of Barcelona	… de Barcelona duquessa consort de Borgonya	6000000227008757864	6000000227008813843	Q819030	Q11682276	father: their Q819030 carries 6000000000011284066, ours is 6000000227008757864 | mother: their Q11682276 carries no Geni id
Q75713870	6000000006290219229	Lady Jean Stewart	Jean Stewart	6000000003646057142	6000000003646057844	Q3183663	Q75388621	mother: their Q75388621 carries 6000000078166803900, ours is 6000000003646057844
Q105796326	6000000006423360587	Kristina Mörner	Christina Von Mörner	6000000006127434165	6000000012922754402	Q6001687	Q4951097	father: their Q6001687 carries 6000000040898531327, ours is 6000000006127434165 | mother: their Q4951097 carries no Geni id
Q1002546	6000000006444214394	Margaret of Foix	Marguerite de Foix	6000000003503676462	6000000001378295126	Q372977	Q236889	father: their Q372977 carries no Geni id | mother: their Q236889 carries 6000000042712527188, ours is 6000000001378295126
Q3120397	6000000006444496579	Guillaume de Montmorency	Guillaume I de Montmorency baron de Montmorency	6000000003827675756	6000000010460784362	Q3172651	Q61733628	mother: their Q61733628 carries 6000000003827774340, ours is 6000000010460784362
Q12284680	6000000006605840379	Lartia	Vipsania Julia Agrippina	6000000000701119762	6000000007234813810	Q108944058	Q237618	father: their Q108944058 carries 6000000003828375090, ours is 6000000000701119762 | mother: their Q237618 carries no Geni id
Q69427	6000000006727790173	Sabina of Bavaria	Sabine Herzogin von Bayern	6000000003827400123	6000000000648205466	Q60942	Q237712	father: their Q60942 carries 6000000018001580742, ours is 6000000003827400123
Q7184922	6000000006906769805	Philippa of Dammartin	Philippa de Dammartin	6000000000424767738	6000000000138385269	Q597601	Q2479519	father: their Q597601 carries no Geni id | mother: their Q2479519 carries 6000000006574732355, ours is 6000000000138385269
Q107541002	6000000007051737905	Tutgual III	Anarawd Gwalch-crwn ap Merfyn King of the Isle of Man	4821628772810061070		Q4064868		father: their Q4064868 carries 6000000007051737905, ours is 4821628772810061070 | mother: none in our tree
Q18049336	6000000007151013109	Margaret de Quincy, Countess of Derby	Margaret de Quincy	6000000217057347886	6000000004119127129	Q3940122	Q5703455	father: their Q3940122 carries 6000000003146953695, ours is 6000000217057347886 | mother: their Q5703455 carries no Geni id
Q98699178	6000000007377233243	Elsebe Warendorp	Elsebe von Warendorp	6000000188638250891	6000000003295072654	Q98699181	Q98699183	father: their Q98699181 carries 6000000003295144052, ours is 6000000188638250891 | mother: their Q98699183 carries 6000000011322849934, ours is 6000000003295072654
Q86846	6000000007385420123	Agnes of Antioch	Agnes Anne de Chatillon	6000000003051169280	6000000003858589760	Q316831	Q238609	father: their Q316831 carries no Geni id | mother: their Q238609 carries 6000000004487857003, ours is 6000000003858589760
Q711674	6000000007513195369	Li Jiancheng		6000000002188101188	6000000002188101206	Q9700	Q4308218	father: their Q9700 carries 6000000075059949348, ours is 6000000002188101188 | mother: their Q4308218 carries 6000000075368567836, ours is 6000000002188101206
Q99726933	6000000007531697339	Julia Cassia Alexandra	Julia Cassia Alexandria	6000000007533842305	6000000007530656976	Q5517441	Q99726753	father: their Q5517441 carries 6000000041165440948, ours is 6000000007533842305
Q75389794	6000000007901056252	Margaret Seton	Henrietta Gabrielle Stewart Marchioness of Huntly	6000000000307262160	4229810402330033993	Q5544435	Q75390693	father: their Q5544435 carries 6000000005331185018, ours is 6000000000307262160 | mother: their Q75390693 carries no Geni id
