file	subject	cards	with_relation
1548918.html	1548918	12	12
1610437.html	1610437	12	12
2023653.html	2023653	0	0
2077926.html	2077926	12	12
2078870.html	2078870	0	0
2120676.html	2120676	12	12
2125635.html	2125635	12	12
2128292.html	2128292	4	4
2399215.html	2399215	12	12
292350426030002931.html	292350426030002931	12	12
304413571170007106.html	304413571170007106	12	12
304413670430008270.html	304413670430008270	12	12
316216248270002934.html	316216248270002934	12	12
346534886220012248.html	346534886220012248	12	12
346535323980012266.html	346535323980012266	12	12
349440463640013536.html	349440463640013536	12	12
361843381280007976.html	361843381280007976	12	12
365313857240013083.html	365313857240013083	10	10
365314124540003500.html	365314124540003500	6	6
365314894420003448.html	365314894420003448	11	11
365315518800010569.html	365315518800010569	6	6
365466687720012045.html	365466687720012045	8	8
365471060260013162.html	365471060260013162	4	4
365471464220013205.html	365471464220013205	6	6
367359078190012517.html	367359078190012517	12	12
368713820640003185.html	368713820640003185	8	8
368714154710012201.html	368714154710012201	12	12
3696730.html	3696730	12	12
375738756460004676.html	375738756460004676	12	12
375744715040013128.html	375744715040013128	9	9
3810353.html	3810353	12	12
381761530540011401.html	381761530540011401	12	12
388449893270012482.html	388449893270012482	12	12
388450329300012525.html	388450329300012525	12	12
388613596210002012.html	388613596210002012	12	12
4077210.html	4077210	12	12
4077390.html	4077390	12	12
4079111.html	4079111	12	12
4103872.html	4103872	12	12
4195891192880058503.html	4195891192880058503	10	10
4195938644320058013.html	4195938644320058013	4	4
4195948006000122911.html	4195948006000122911	0	0
4198641.html	4198641	12	12
4229916861440069622.html	4229916861440069622	13	13
4248013140250038185.html	4248013140250038185	12	12
4259042.html	4259042	12	12
4259048.html	4259048	12	12
4259086.html	4259086	6	6
4263630100270128037.html	4263630100270128037	12	12
4275395618020068615.html	4275395618020068615	6	6
4275583289130033084.html	4275583289130033084	10	10
4275641755920033011.html	4275641755920033011	12	12
4362903.html	4362903	12	12
4362986.html	4362986	0	0
4365730.html	4365730	12	12
4366030.html	4366030	9	9
4376103.html	4376103	10	10
4520147.html	4520147	12	12
4520166.html	4520166	12	12
4592410796700031770.html	4592410796700031770	12	12
4627273.html	4627273	12	12
4722085825290038085.html	4722085825290038085	6	6
4924448917970137597.html	4924448917970137597	13	13
4924448933160137503.html	4924448933160137503	12	12
4946518870490042172.html	4946518870490042172	13	13
4976573922110117540.html	4976573922110117540	12	12
4984086862270100347.html	4984086862270100347	12	12
5001362652110128116.html	5001362652110128116	12	12
5105745500030114706.html	5105745500030114706	12	12
5106195884670114511.html	5106195884670114511	12	12
5119671559010045041.html	5119671559010045041	12	12
5131571863040103622.html	5131571863040103622	12	12
5200066333790031078.html	5200066333790031078	12	12
5207146906010118647.html	5207146906010118647	12	12
5207146917280118653.html	5207146917280118653	7	7
5219301786390025586.html	5219301786390025586	7	7
5235605714220070458.html	5235605714220070458	12	12
5251653855510129840.html	5251653855510129840	10	10
5267211996730068114.html	5267211996730068114	12	12
5271489675500023723.html	5271489675500023723	12	12
5304572722780119951.html	5304572722780119951	8	8
5304606047970088500.html	5304606047970088500	12	12
5304611081740076756.html	5304611081740076756	12	12
5305294636990124817.html	5305294636990124817	12	12
5328971090140130337.html	5328971090140130337	12	12
5336768638830104036.html	5336768638830104036	12	12
5336815803180122126.html	5336815803180122126	11	11
