qid,geni_id,label
Q1000005,6000000173769890893,Karel Matěj Čapek-Chod
Q1000051,6000000036139608413,Joseph C. O'Mahoney
Q1000203,6000000017103759283,Robert Mallet-Stevens
Q1000392,6000000018580358819,Gejza Ferdinandy
Q1000401,6000000035281663631,Gyula Ferdinandy
Q1000405,6000000019984278007,Miguel de Ferdinandy
Q1000498,6000000138592610932,Bud Greenspan
Q1000574,6000000020270746262,József Ferenczy
Q1000579,6000000013715416024,Károly Ferenczy
Q1000690,6000000174246328195,Leon Koudine
Q1000731,6000000068777933821,Dirk Andries Flentrop
Q1000981,6000000002916678630,Frigyes Feszl
Q1000999,6000000008568984114,Adolf Feszty
Q1001016,6000000028879146805,Nándor Fettich
Q1001049,5526298176600133244,Ferenc Fiala
Q100136,6000000108108613822,Otto Böckel
Q100139543,6000000021808817882,Paolo Medini
Q1001471,4089671380750040275,Kálmán Fink Forgács
Q1001515,6000000069456439114,Petra Olli
Q100151886,6000000008269873705,Nicolaus Magni Becchius
Q100152638,6000000002802254297,Alfred Götzl
Q100152656,6000000021884617918,Hans Königstein
Q100152668,6000000013455678942,Heinrich Lehndorff
Q100154334,6000000183973218840,Biagio Iacovelli
Q100155418,6000000026636071227,Karl Eisinger
Q100158230,6000000113120630902,Albert Müller-Deham
Q100158315,6000000003218900305,Peter Jacob Barthold Coucheron
Q100158500,6000000009440317731,Rudolf Neurath
Q100165602,6000000016128207292,Elisabet Eurén
Q100166281,6000000004182045572,Herbert Shapiro
Q100166357,6000000083936016163,Tivadar Bársony
Q100166533,6000000016128162221,Ludvig Eurén
Q1001691,6000000015226266235,István Fischer
Q1001694,6000000001025608349,Fischer Jedidja Gottlieb
Q100169968,6000000032928497090,Eli Matalon
Q1001724,6000000077201616184,Buell Neidlinger
Q1001764,6000000086409282987,Pál Fitos
Q1001842,6000000041423131851,Tibor Fiáth
Q1001923,6000000038770469034,Endre Flatt
Q1001981,6000000012850954471,Róbert Fleischl
Q1002219,6000000017699466032,Tibor Flórián
Q1002300,6000000006821181542,Géza Fodor
Q100230989,6000000078253266007,Thomas Fuller Potter
Q1002328,6000000180498902822,József Fodor
Q100232996,6000000002601318887,Walter Fleischmann
Q100233657,6000000132386588821,Alfred Fehrling
Q100233938,6000000182448251859,Vladimir Gavrilovich Dekhterev
Q100235093,6000000012990361724,Felix Reach
Q100235161,6000000036151306886,Alfred Saxl
Q100235229,6000000041535445116,Emil Žák
Q100235481,6000000108652118982,Aristide Naccari
Q100244556,6000000053816155857,Oskar Tauber‏
Q100249797,6000000000029563615,Titian Ramsay Peale I
Q100255729,6000000015778961046,Jens Grønbech Døderlein
Q100258082,6000000041088357894,Emanuel Klaften
Q100261636,6000000038142910862,Thomas Lauritz Christian Frederik Blich
Q100261678,6000000050278494854,Karl Safar
Q100268170,6000000152196140834,Tauno Valkama
Q100271018,6000000011254649233,
Q100271542,6000000155782233867,Hanne Tersmette
Q100272554,6000000000651355148,Knut Anthoni
Q100272570,6000000058045870012,Aleksanteri Vihonen
Q100272894,5039826251780077299,Verner Wilson Estes
Q100272940,6000000069874721858,Gustav Bacharach
Q100272972,6000000002177157404,William Beardall
Q100274878,6000000001172033202,William Smith Clark II
Q100276,6000000026816033465,Max Conrat
Q100276520,6000000036620663881,August Rambow
Q100277563,6000000019323859136,
Q1002879,6000000175186590402,Mihály Forgon
Q100292575,6000000022910292684,Johan Ulrich Gustav Schenck
Q100294746,6000000021930156557,Hugo Popper
Q100320028,4752549667210129442,Raúl Palacios von Helms
Q100321851,6000000000534781162,Martin Seth
Q100323030,6000000002760990761,Fredrik Hellman
Q100323519,6000000145769530404,Martin Wilbrandt
Q100323860,6000000002953582046,Lajos Bánfalvi
Q100324062,6000000088516529966,Antal Szőllősi
Q100324152,4301441588810043884,Albert Froehlich
Q100324407,6000000038258548950,Balla Vilmos
Q100324531,6000000002236528595,René Brecx
Q100324558,6000000015280533554,Henri Cerf
Q100324559,6000000000705256255,Joseph Cerf
Q100324657,6000000132583123861,Léon Delange
Q100324672,6000000148668794821,Emile Detry
Q100324686,5138935232450066258,Robert Dresse
Q100324703,6000000132582373844,Albert Féron
Q100324903,6000000183830891831,Oscar Peltzer
Q100324981,6000000145537862822,Arnold Stiels
Q100324983,6000000021029686930,André Straus
Q100325064,6000000025286431993,Max von der Becke
Q100325080,4714083818840035666,Paul Wynen
Q100328515,6000000074112233911,Ole Ulfert Brunbas Lied
Q100330054,6000000019080986924,Käthe Berl
Q100330104,6000000015405943666,Melanie Köchert
Q100330337,6000000013539968371,Daniel L. Burrows
Q100341287,6000000003032068737,Richard Singer
Q100341882,6000000074917109868,Fritz Schenk
Q1003437,6000000091826618852,Francisco Franco
Q100347678,6000000007014445074,Josef Schiffmann
Q100348168,6000000022150050508,Hugo Frey
Q100348306,6000000019340447469,Robert Köhler
Q100348680,6000000008532402884,Rudolf Martin Strisower
Q100350931,6000000077866862048,Per Heribertson
Q100351047,6000000000817089511,Duren J. H. Ward
Q1003513,6000000013417232315,Frank Friday Fletcher
Q100352817,6000000000149796881,Jonas Beronius
Q100353139,6000000009170453714,Willem Margadant
Q100361753,6000000193609794929,
Q100364,6000000036860453026,Richard Euringer
Q100366,6000000175915344888,Wilhelm Herchenbach
Q100368914,6000000164262465918,Antal Bódy
Q100371379,6000000007754282526,Jean Pierre Louis de Rouville gen. de Beauclair
Q100375885,6000000033871943145,Joshua Orenstein
Q100377,6000000031627135245,Ludwig von Tiedemann
Q100387367,6000000033333662245,William J. Dickman
Q1003920,5604725357040069591,Áron Fried
Q1003933,6000000024962773610,Denes Friedmann
Q1003935,6000000025766456482,Móric Friedmann
Q100394713,6000000211705391838,Lynn Heinzerling
Q100395884,6000000018195193783,
Q1003980,6000000018030347660,Ferenc Friedvalszky
Q100403412,6000000019188210931,Clemens Thue Samsing
Q1004137,6000000050692463994,Bull Connor
Q1004139,6000000008880497591,Loránd Fráter
Q1004177,6000000182818857863,Pál Fröhlich
Q1004178,6000000089530262032,Róbert Fröhlich
Q100432,6000000095127328855,Julius Heinrich Zimmermann
Q100435,6000000159612189821,Wilhelm Rudolf Kutter
Q100447,6000000008261154278,Alphons J. van der Grinten
Q1004482,6000000061815898961,Juliánna Fábián
Q1004619,6000000022521838194,Antal Fáy
Q1004624,6000000022657880831,Dávid Alajos Fáy
Q1004628,6000000008717413747,Gusztáv Fáy
Q1004635,6000000135631948891,Szeréna Fáy
Q1004779,6000000007678820237,Elek Fényes
Q100485,6000000035940634255,Reinhard Frank
Q100494451,6000000021913531271,Hans Iver Horn
Q100502385,6000000018041877529,Jacob de Petersen
Q100502947,6000000030352842912,Sidonie von Förster-Streffleur
Q100503723,6000000045424111893;6000000137823895858,
Q100510378,6000000179921407823,Maria Kolisko
Q100530443,6000000014788076313,Hanna Jæger Jensen
Q100532364,6000000003208005489,Margit Ernst Pappenheim
Q1005462,6000000074728067052,Chen Jiru
Q100547,6000000027949330349,Wilhelm Spiegelberg
Q1005544,6000000140478050858,Vittorio Cottafavi
Q100556442,6000000009813163986,Philip H. Mecom
Q100557213,6000000006590073019,Olof Melin
Q100580192,6000000006429608701,Rabbi Osher Yaakov Westheim
Q100589,6000000025498272026,Ferdinand van Solms-Hohensolms-Lich
Q100590747,6000000039137333489,Hieronim Górski
Q100590767,6000000039137857909,Stanisław Aleksander Górski
Q100591989,6000000011586305073,
Q100592362,6000000022147285623,Franciszek Sieracki
Q100595,6000000024997227994,Clemens Carl Buff
Q100597026,6000000164887442944,Giuseppe Marini
Q1005990,6000000059065024917,János Földessy
Q1006042,6000000011667279029,Tamás Földi
Q100604750,6000000020792387415,Axel Fiske
Q100605833,6000000056312886901,Sigmund Cohn
Q100605951,6000000025620260021,Jan Strnad
Q1006152,6000000203373862874,Luciano De Crescenzo
Q100615331,6000000002659223509,
Q100616,6000000206937317977,Friedrich Schmitz
Q1006177,6000000010941924832,Miklós Földváry
Q1006178,6000000013233901441,Károly Földváry
Q1006181,6000000116744979866,Mihály Földváry
Q1006183,6000000010706568618,Sándor Földváry
Q100624,6000000021400478098,Friedrich Eberhard von Rochow
Q100662,6000000143829791835,Riccardo Cassin
Q100681,6000000007401102479,August Tafelmacher
Q100687900,6000000017533878714,
Q100694137,302322780820001302,Kurt Andersson
Q100695,6000000103164892857,Jacob Heinrich Rehder
Q100695309,6000000026972485419,Jan Herman Statius Muller
Q100699,6000000013204828993,Franz Gustav Straube
Q100699564,6000000012047601954,Aisyah Hamid Baidlowi Wahid
Q100699679,6000000031655282694,Margit Petrolay
Q1006997,6000000069481543830,Carlo Di Palma
Q100699827,6000000056957297049,Josefine Stegbauer
Q100701095,6000000018636578101,Dora Thaler
Q100701362,298559252280006360,Leta Constance Pell
Q100705719,6000000084094408122,Sándor Balassa
Q100706497,6000000013270663178,Grethe Geiringer
Q100706786,6000000034492574952,Roan Conrad
Q100708784,6000000008648472288,Heinz Jost
Q100709276,6000000175880941845,Vladimir Pilyavsky
Q100710433,6000000030875941159,Jindřich Kubíček
Q100714891,6000000005790271769,Juliane Solbraa-Bay
Q100716972,6000000023965648234,Frederik Købke
Q100726,6000000168137210624,Johann Georg von Dewitz
Q100740,6000000026938042074,Caspar Maximilian Droste zu Vischering-Padberg
Q100741384,6000000019280973745,Béla Bacher
Q100741442,6000000020838432286,Viola Neumann
Q100741843,6000000000519108846,Edward Girden
Q100742942,6000000221506288995,James Talarico
Q100747047,6000000174896980821,Paweł Chodniewicz
Q100759409,6000000078933350278,Dick Brennan
Q1007644,6000000009367711899,Károly Galgóczy
Q100775379,6000000090885650919,Martha Klebelsberg
Q100775386,6000000010591043897,Johanna Reismayer-Fritsche
Q100775517,6000000010602833994,Sven Rydenius
Q100775769,6000000112952279868,Alfredo Baptista Coelho
Q100776,6000000076614131312,Albert von Holleben
Q1007760,6000000184257432893,Billy Wagner
