qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q4642,Q12308941,Marcus,Marcus,マルクス,马库斯 (名字),마르쿠스,ماركوس,מרכוס,Маркус,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus,Marcus
Q40386,Q101352,Cullen,Cullen,カレン,卡伦,,كولين,קאלן,Каллен,Cullen,,,,,,,,,,
Q41362,Q101352,Piccardo,Piccardo,ピカード,,,,,,Piccardo,,,,,,,,,,
Q51394,Q12308941,Andrés,Andrés,アンドレス,安德烈斯,,أندريس,אנדרס,Андрес,Andrés,Andrés,Andrés,Andrés,Andrés,Andrés,Andrés,Andrés,,Andrés,
Q120050,Q101352,Neuberger,Neuberger,ニューバーガー,纽伯格,,نويبيرغر,נויברגר,,Neuberger,,,,,,,,,,
Q123426,Q12308941,Fikri,Fikri,,菲克里,,فكري,פיקרי,Фикри,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri,Fikri
Q126642,Q101352,Erdinç,Erdinç,,埃尔丁奇,,,,Эрдинч,Erdinç,,,,,,,,,,
Q160626,Q11879590,Lubina,Lubina,,,,,,,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina,Lubina
Q166930,Q101352,Zavoda,,,,,,,,,,,,,,,,,,
Q168434,"Q11879590,Q12308941",Romy,Romy,ロミー,罗密,,رومي,רומי,Роми,Romy,Romy,Romy,Romy,Romy,Romy,Romy,Romy,Romy,Romy,Romy
Q169154,Q12308941,Zdravko,Zdravko,,,즈드라브코,,זדרבקו,Здравко,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdravko,Zdrawko
Q174418,Q101352,Лазаров,Lazarov,ラザロフ,拉扎罗夫,라자로프,لازاروف,לזרוב,,Lasarow,Lazarov,Lazarov,Lazarov,Lazarov,Lazarov,Lazarov,Lazarov,Lazarov,Lazarov,
Q181346,Q11879590,Walburga,Walburga,ヴァルブルガ,,,,,Вальбурга,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga,Walburga
Q184882,Q101352,Zeilberger,,,,,,,Цайльбергер,,,,,,,,,,,
Q187250,Q12308941,Zeki,Zeki,ゼキ,泽基,,,זקי,Зеки,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki,Zeki
Q207106,Q11879590,Zlata,Zlata,ズラタ,兹拉塔,,,זלטה,Злата,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata,Zlata
Q220546,Q12308941,Frank,Frank,フランク,弗兰克,,فرانك,פרנק,Франк / Фрэнк,Frank,Frank,,,,,,,,,
Q228162,Q11879590,Gina,Gina,ジーナ,吉娜,,جينا,ג'ינה,Джина,Gina,Gina,Gina,Gina,Gina,Gina,Gina,Gina,Gina,Gina,Gina
Q240482,Q101352,Kellman,Kellman,ケルマン,,,كيلمان,,,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman,Kellman
Q253010,Q11879590,Katia,Katia,カーティア,卡蒂亚,,,קטיה,Катя,Katia,Katia,Katia,Katia,Katia,Katia,Katia,Katia,Katia,Katia,Katia
Q264002,Q11879590,Charlotte,Charlotte,シャルロッテ,夏洛特,,شارلوت,שרלוט,Шарлотта,Charlotte,Charlotte,,,,,,,,,
Q295698,Q12308941,,Ariobarzanes,,,,أريوبرزان,אריוברזנס,Ариобарзан,Ariobarzanes,Ariobarzane,Ariobarzanes,Ariobarzanes,Ariobarzane,Ariobarzanes,,,,Ariobarzanes,Ariobarzanes
Q300770,Q12308941,Aad,Aad,,阿德,,عاد,,,Aad,Aad,Aad,Aad,Aad,Aad,Aad,Aad,Aad,Aad,Aad
Q307330,Q101352,Östlund,Östlund,オストランド,,,,,Эстлунд,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund,Östlund
Q307378,Q12308941,Abd al-Rahman,Abd al-Rahman,アブドゥル・ラフマーン,阿卜杜勒·拉赫曼,,عبد الرحمن,עבד א-רחמן,Абдуррахман,Abd ar-Rahman,Abderrahmane,Abd al-Rahman,Abderramão,Abd al-Rahman,Abdul Rahman,Abd ar-Rahman,ʿAbd ar-Rahman,Abdul Rahman,Abdul Rahman,Abd ar-Rahman
Q322306,Q101352,Ableiter,Ableiter,,,,,,,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter,Ableiter
Q324514,Q11879590,Ásdís,Ásdís,,阿斯迪斯,,,,,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís,Ásdís
Q331138,Q101352,Abramsky,Abramsky,,,,,,Абрамский,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky,Abramsky
Q332290,Q101352,,Abshire,アブシャイア,,,,,,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire,Abshire
