geni_id,name_index,scripts,name_raw,display_name,nsfx,nsfx_in_display_name,qid,wikidata_en,label_keeps_nsfx
1064102,0,Latin,Jean /d'O/ Seigneur d'O & de Maillebois,Jean d'O Seigneur d'O & de Maillebois,Seigneur d'O & de Maillebois,yes,Q108743020,"Jean d'O, Seigneur d'O, Fresnes, Baillet, Maillebois, Franconville",some
1077060,0,Latin,Robert VII dit Robin /D'O/ Seigneur d'O & de Maillebois,Robert VII dit Robin D'O Seigneur d'O & de Maillebois,Seigneur d'O & de Maillebois,yes,Q108743022,"Robert VII d'O, seigneur d'O et de Maillebois",some
1077692,0,Latin,Robert VI /d'O/ Seigneur d'O,Robert VI d'O Seigneur d'O,Seigneur d'O,yes,,,
1077697,0,Latin,"Jeanne /LeBaveux/ Dame de Fresnes, Baillet, Mailleboix et Franconville","Jeanne LeBaveux Dame de Fresnes, Baillet, Mailleboix et Franconville","Dame de Fresnes, Baillet, Mailleboix et Franconville",yes,,,
1078044,0,Latin,Guy /l'Archevêque de Parthenay/ Seigneur de Soubise,Guy l'Archevêque de Parthenay Seigneur de Soubise,Seigneur de Soubise,yes,,,
1078045,0,Latin,Jeanne /d'Amboise/ Dame du Parc,Jeanne d'Amboise Dame du Parc,Dame du Parc,yes,,,
1107279,0,Latin,Jean dit Le Hutin /Le Baveux/ sgr de Maillebois,Jean dit Le Hutin Le Baveux sgr de Maillebois,sgr de Maillebois,yes,,,
1125907,0,Latin,Miles /de Thouars/ seigneur de Pouzaugues,Miles de Thouars seigneur de Pouzaugues,seigneur de Pouzaugues,yes,,,
1200600,0,Latin,Jeanne /Fretart/ de Sauve,Jeanne Fretart de Sauve,de Sauve,yes,,,
1354718,4,Latin,Vittorio Emanuele Maria Alberto Eugenio Ferdinando Tommaso /di Savoia/ re d'Italia e Sardegna,Vittorio Emanuele Maria Alberto Eugenio Ferdinando Tommaso di Savoia re d'Italia e Sardegna,re d'Italia e Sardegna,yes,Q168691,Victor Emmanuel II of Italy,none
1354801,0,Latin,Napoléon Joseph Charles Paul /Bonaparte/ 3rd prince de Montfort,Napoléon Joseph Charles Paul Bonaparte 3rd prince de Montfort,3rd prince de Montfort,yes,Q434077,"Prince Napoléon-Jérôme, Prince Napoléon",some
1376589,0,Latin,Norman /Pomeroy/ Sr.,Norman Pomeroy Sr.,Sr.,yes,,,
1376635,0,Latin,Daniel /Pomeroy/ Jr.,Daniel Pomeroy Jr.,Jr.,yes,,,
1656734,0,Latin,Robert Walker /Baylor/ Sr.,Robert Walker Baylor Sr.,Sr.,yes,,,
1667972,0,Latin,Daniel /Lillard/ Sr.,Daniel Lillard Sr.,Sr.,yes,,,
1668366,0,Latin,Benjamin /Lillard/ Sr.,Benjamin Lillard Sr.,Sr.,yes,,,
1874303,0,Latin,James /Hall/ Jr.,James Hall Jr.,Jr.,yes,,,
1916567,0,Latin,Matthew /Spivey/ Jr.,Matthew Spivey Jr.,Jr.,yes,,,
2119970,0,Latin,Mogens /Pedersen Baden/ til Gundestrup,Mogens Pedersen Baden til Gundestrup,til Gundestrup,yes,,,
2120117,0,Latin,Peder /Lauridsen (Baden)/ til Ellinge,Peder Lauridsen (Baden) til Ellinge,til Ellinge,yes,,,
2300250,0,Latin,Christopher /Garlington/ II,Christopher Garlington II,II,yes,,,
2305678,0,Latin,Tamás /Szentgyörgyi/ gróf,Tamás Szentgyörgyi gróf,gróf,yes,,,
2399810,1,Latin,Ulrik // til Kvelstrup,Ulrik til Kvelstrup,til Kvelstrup,yes,,,
2425565,0,Latin,Laxmand Mogensen /Gyldenstierne/ til Biersgård,Laxmand Mogensen Gyldenstierne til Biersgård,til Biersgård,yes,,,
2429511,2,Latin,Friedrich /von Lengenfeld/ III.,Friedrich von Lengenfeld III.,III.,yes,,,
2430192,0,Latin,Louis II,Louis II,II,yes,Q182840,Louis the Stammerer,none
2430192,2,Latin,Louis II,Louis II,II,yes,Q182840,Louis the Stammerer,none
2430192,4,Latin,Lodewijk II,Lodewijk II,II,yes,Q182840,Louis the Stammerer,none
2430192,5,Latin,Ludvig II,Ludvig II,II,yes,Q182840,Louis the Stammerer,none
2434385,0,Latin,Wolfert /van Brederode/ heer van Cloetinge en Zwammerdam,Wolfert van Brederode heer van Cloetinge en Zwammerdam,heer van Cloetinge en Zwammerdam,yes,Q2121164,Wolfert van Brederode,some
2455952,0,Latin,Udard /de Swinton/ 2nd Lord of Swinton,Udard de Swinton 2nd Lord of Swinton,2nd Lord of Swinton,yes,,,
2455963,0,Latin,Liulf /de Swinton/ 1st Lord of Swinton,Liulf de Swinton 1st Lord of Swinton,1st Lord of Swinton,yes,,,
283896414940007239,0,Latin,John /Sargent/ Jr.,John Sargent Jr.,Jr.,yes,Q125472016,"John Sargent, Jr.",all
284138677450001022,0,Latin,Nicolaus Iohannis /Johansson/ Jr.,Nicolaus Iohannis Johansson Jr.,Jr.,yes,Q6082487,Nicolaus Johannis Rudbeckius,none
284138677450001022,1,Latin,Nicolaus Johannis // nuorempi,Nicolaus Johannis nuorempi,nuorempi,yes,Q6082487,Nicolaus Johannis Rudbeckius,none
284138677450001022,2,Latin,Nicolaus Johannis /Johansson/ d.y.,Nicolaus Johannis Johansson d.y.,d.y.,yes,Q6082487,Nicolaus Johannis Rudbeckius,none
285657315260001620,0,Latin,Sverre /Hagerup-Nilsen/ d.e,Sverre Hagerup-Nilsen d.e,d.e,yes,,,
