qid,label,description,native_label,language,language_qid,based_on,other_gender_form
Q130233041,Eliasson,patronymic,Eliasson,Swedish,Q9027,Q11878157 (Elias),
Q130232912,Eriksdotter,patronymic,Eriksdotter,Swedish,Q9027,Q750186 (Erik),Q130232913 (Eriksson)
Q130232913,Eriksson,patronymic,Eriksson,Swedish,Q9027,Q750186 (Erik),Q130232912 (Eriksdotter)
Q126530923,Fedoseevich,patronymic (Федосеевич),Федосеевич,Russian,Q7737,Q47538075 (Fedosey),Q126531344 (Fedoseevna)
Q137176164,Feliksovich,patronymic (Феликсович),Феликсович,Russian,Q7737,Q19830664 (Feliks),
Q136489062,Fomich,patronymic (Фомич),Фомич,Russian,Q7737,Q215780 (Foma),
Q121771145,Fortúnez,Iberian patronymic,Fortúnez,Castilian,Q71924,Q100338371 (Fortún),
Q117715936,Frantsevich,patronymic,Францевич,,,Q4925932 (Franz),
Q125041259,Frithiofsson,Norse patronymic,Frithiofsson,Swedish,Q9027,Q41658704 (Frithiof),
Q136806792,Frolovich,patronymic (Фролович),Фролович,,,Q4492866 (Frol),
Q5511278,Fyodorovich,patronymic (Фёдорович),Фёдорович,Russian,Q7737,Q36695874 (Fyodor),Q108650432 (Fyodorovna)
Q137660617,Genrikhovich,patronymic (Генрихович),Генрихович,Russian,Q7737,Q110892451 (Genrikh),
Q100987101,Georgiyevich,patronymic (Георгиевич),Георгиевич,Russian,Q7737,Q31044372 (Georgy),Q79392884 (Georgievna)
Q121812040,Gomes,Iberian patronymic,Gomes,Galician–Portuguese,Q1072111,Q104491994 (Gomes),
Q15818620,Gunnlaugsdóttir,Icelandic patronymic,Gunnlaugsdóttir,Icelandic,Q294,Q16425875 (Gunnlaugur),
Q122538840,Hilmarsdóttir,Icelandic patronymic,Hilmarsdóttir,Icelandic,Q294,Q1158298 (Hilmar),Q40703612 (Hilmarsson)
Q106702062,Iosifovich,patronymic (Иосифович),Иосифович,Russian,Q7737,Q121811458 (Osip),Q130344191 (Iosifovna)
Q130344191,Iosifovna,patronymic (Иосифовна),Иосифовна,Russian,Q7737,Q30467509 (Iosif),Q106702062 (Iosifovich)
Q130463259,Isaakovna,patronymic (Исааковна),Исааковна,,,Q39033826 (Isaak),
Q139666193,Israfilovich,patronymic (Исрафилович),Исрафилович,Russian,Q7737,Q97231013 (Israfil),
Q56627728,Ivanovich,patronymic (Иванович),Иванович,Russian,Q7737,Q21104340 (Ivan),Q45752976 (Ivanovna)
Q130426378,Izrailevich,Russian patronymic (Израилевич),Израилевич,Russian,Q7737,Q1399596 (Izrail),
Q135726152,Jakaŭleŭna,"Belarusian female patronym (Якаўлеўна, Jakaŭleŭna)",Якаўлеўна,Belarusian,Q9091,Q19413953 (Yakau),
Q69702352,Jónatansdóttir,patronymic,Jónatansdóttir,Icelandic,Q294,Q19798519 (Jonatan),
Q134552133,Kekilbayulı,family name (Кекілбайұлы),Кекілбайұлы,Kazakh,Q9252,Q134553226 (Kekilbay),
Q130233037,Klemetintytär,patronymic,Klemetintytär,Finnish,Q1412,Q30322721 (Klemet),
Q130233034,Klemetsdotter,patronymic,Klemetsdotter,Swedish,Q9027,Q30322721 (Klemet),
Q83381141,Konstantinovich,patronymic (Константинович),Константинович,Russian,Q7737,Q31362405 (Konstantin),Q124545509 (Konstantinovna)
Q123584296,Káradóttir,Icelandic patronymic,Káradóttir,Icelandic,Q294,Q1333594 (Kari) | Q692575 (Kara),
Q131136939,Lavrentyevich,patronymic (Лаврентьевич),Лаврентьевич,Russian,Q7737,Q84852881 (Lavrentiy),Q131133659 (Lavrentyevna)
Q126404731,Leonidivna,patronymic (Леонідівна),Леонідівна,Ukrainian,Q8798,Q102249331 (Leonid),Q126402554 (Leonidovych)
Q126402554,Leonidovych,patronymic (Леонідович),Леонідович,Ukrainian,Q8798,Q102249331 (Leonid),Q126404731 (Leonidivna)
Q120121370,Leontyevich,patronymic (Леонтьевич),Леонтьевич,Russian,Q7737,Q30066949 (Leonti),
Q116976610,Lvovich,patronymic (Львович),Львович,Russian,Q7737,Q42373577 (Lev),Q124832121 (Lvovna)
Q124832121,Lvovna,patronymic (Львовна),Львовна,Russian,Q7737,Q42373577 (Lev),Q116976610 (Lvovich)
Q117451711,Maksimovich,patronymic (Максимович),Максимович,Russian,Q7737,Q18216058 (Maksim),
Q131338257,Markelovich,patronymic (Маркелович),Маркелович,Russian,Q7737,Q131338269 (Markel),
Q130337422,Matveyevich,masculine patronymic - Матвеевич,Матвеевич,,,Q17047620 (Matvey),
Q137656960,Matviyovych,patronym (Матвійович),Матвійович,Ukrainian,Q8798,Q105868837 (Matvii),
Q75044653,Mikalaevich,patronymic (Мікалаевіч),Мікалаевіч,Belarusian,Q9091,Q19411999 (Mikalai),
Q140247553,Mubaryakovich,patronymic,Мубарякович,Russian,Q7737,Q63933744 (Mubarak),
Q28136553,Månsdotter,Swedish patronymic and surname,Månsdotter,Swedish,Q9027,Q19799975 (Måns),
Q64831227,Nikitich,,Никитич,Russian,Q7737,Q39291804 (Nikita),
Q130233015,Nilsson,patronymic,Nilsson,Swedish,Q9027,Q16423038 (Nils),
Q112961583,Olehivna,patronymic (Олегівна),Олегівна,Ukrainian,Q8798,Q58498860 (Oleh),Q131900115 (Olehovych)
Q131900115,Olehovych,Ukrainian patronymic (Олегович),Олегович,Ukrainian,Q8798,Q58498860 (Oleh),Q112961583 (Olehivna)
Q112962878,Oleksandrivna,Ukrainian patronymic (Олександрівна),Олександрівна,Ukrainian,Q8798,Q17501806 (Aleksandr) | Q19412810 (Aliaksandr) | Q19818135 (Oleksandr),
Q112274750,Oleksiiovych,Ukrainian patronymic (Олексійович),Олексійович,Ukrainian,Q8798,Q7086303 (Oleksii),
Q100000667,Osipovna,patronymic (Осиповна),Осиповна,Russian,Q7737,Q121811458 (Osip),
Q134514256,Ospanovich,patronymic (Оспанович),Оспанович,Russian,Q7737,Q134513128 (Ospan),
Q134514224,Ospanulı,Kazakh patronymic (Оспанұлы),Оспанұлы,Kazakh,Q9252,Q134513128 (Ospan),
Q133330762,Ovsiivna,patronymic (Овсіївна),Овсіївна,Ukrainian,Q8798,Q133332355 (Ovsii),
Q100965196,Pavlovich,patronymic (Павлович),Павлович,Russian,Q7737,Q1242655 (Pavel),Q79389114 (Pavlovna)
Q79389114,Pavlovna,patronymic (Павловна),Павловна,Russian,Q7737,Q1242655 (Pavel),Q100965196 (Pavlovich)
Q130233025,Pedersen,patronymic,Pedersen,Danish,Q9035,Q10622039 (Peder),
Q130232998,Pedersson,patronymic,Pedersson,Swedish,Q9027,Q10622039 (Peder),
Q64767562,Petrovich,patronymic (Петрович),Петрович,Russian,Q7737,Q1225705 (Pyotr),Q105730302 (Petrovna)
Q105730302,Petrovna,patronymic (Петровна),Петровна,Russian,Q7737,Q1225705 (Pyotr),Q64767562 (Petrovich)
Q113333366,Petrovych,patronym (Петрович),Петрович,Ukrainian,Q8798,Q16085472 (Petro),
Q121811349,Q121811349,,Осипов,Russian,Q7737,Q121811458 (Osip),
Q130331698,Q130331698,,Куприянович,Russian,Q7737,Q47538347 (Kuprian),
Q130388126,Q130388126,,Христофоровна,,,Q40208787 (Khristofor),
Q130463052,Q130463052,,Гордеевич,,,Q4143834 (Gordey),
Q138222598,Q138222598,,Фердинандович,Russian,Q7737,Q3276175 (Ferdinand),
Q140571654,Richardovich,patronymic (Ричардович),Ричардович,Russian,Q7737,Q1249148 (Richard),
Q136039712,Rodionovich,patronymic (Родионович),Родионович,,,Q21127485 (Rodion),
Q128789840,Samuilovich,Russian patronym (Самуилович),Самуилович,Russian,Q7737,Q18627549 (Samuil),
Q130223816,Savelyevich,patronymic (Савельевич),Савельевич,Russian,Q7737,Q4403776 (Savely),
Q110058844,Semyonovich,Russian patronymic (Семёнович),Семёнович,Russian,Q7737,Q19936362 (Semyon),Q124424008 (Semyonovna)
Q124424008,Semyonovna,patronymic (Семёновна),Семёновна,,,Q19936362 (Semyon),Q110058844 (Semyonovich)
Q45752811,Spiridonovich,Russian patronymic (Спиридонович),Спиридонович,Russian,Q7737,Q18978434 (Spiridon),
Q130232969,Turesson,patronymic,Turesson,Swedish,Q9027,Q2460609 (Ture),
Q66830310,Uladzimiravich,patronymic (Уладзіміравіч),Уладзіміравіч,Belarusian,Q9091,Q2474491 (Uladzimir),
Q87474290,Ustinovich,patronymic (Устинович),Устинович,Russian,Q7737,Q21453617 (Ustinov),
Q123983222,Vadimovich,patronymic (Вадимович),Вадимович,Russian,Q7737,Q50378382 (Vadim),Q111421188 (Vadimovna)
Q111421188,Vadimovna,patronymic (Вадимовна),Вадимовна,Russian,Q7737,Q50378382 (Vadim),Q123983222 (Vadimovich)
Q71836474,Valentinovna,Russian patronym,Валентиновна,,,Q28865131 (Valentin),Q113541775 (Valentinovich)
Q116976881,Valerevna,patronymic (Валерьевна),Валерьевна,Russian,Q7737,Q19689546 (Valery),Q47539546 (Valeryevich)
Q124307910,Valeriiovych,patronymic (Валерійович),Валерійович,Ukrainian,Q8798,Q30543018 (Valeriy),Q123587806 (Valeriivna)
Q123587806,Valeriivna,patronymIc (Валеріївна),Валеріївна,Ukrainian,Q8798,Q30543018 (Valeriy),Q124307910 (Valeriiovych)
Q47539546,Valeryevich,patronymic (Валерьевич),Валер'евіч,Russian,Q7737,Q19689546 (Valery),Q116976881 (Valerevna)
Q131308819,Valyantsinavich,patronymic (Валянцінавіч),Валянцінавіч,Belarusian,Q9091,Q19413228 (Valyantsin),
Q7916711,Vasilyevich,patronymic (Васильевич),Васильевич,Russian,Q7737,Q27452576 (Vasily),Q106804875 (Vasilyevna)
Q106804875,Vasilyevna,patronymic (Васильевна),Васильевна,,,Q27452576 (Vasily),Q7916711 (Vasilyevich)
Q108693326,Viktorovich,patronymic (Викторович),Викторович,Russian,Q7737,Q30106749 (Viktor),Q110271193 (Viktorovna)
Q110271193,Viktorovna,patronymic (Викторовна),Викторовна,Russian,Q7737,Q30106749 (Viktor),Q108693326 (Viktorovich)
Q79361955,Volodymyrovych,patronymic (Володимирович),Володимирович,Ukrainian,Q8798,Q55006123 (Volodymyr),Q122841163 (Volodymyrivna)
Q134496011,Vsevolodovich,patronymic (Всеволодович),Всеволодович,Russian,Q7737,Q47488021 (Vsevolod),
Q56605711,Yakovlevich,Russian patronymic (Яковлевич),Яковлевич,Russian,Q7737,Q544124 (Yakov),Q93629868 (Yakovlevna)
Q93629868,Yakovlevna,patronymic (Яковлевна),Яковлевна,Russian,Q7737,Q544124 (Yakov),Q56605711 (Yakovlevich)
Q91029368,Yevgenyevich,patronym (Евгеньевич),Евгеньевич,Russian,Q7737,Q1688617 (Yevgeny),Q110226444 (Yevgenyevna)
Q126403855,Yevhenivna,patronymic (Євгенівна),Євгенівна,Ukrainian,Q8798,Q16291205 (Yevhen),
Q125709631,Yevseyevich,patronymic (Евсеевич),Евсеевич,Russian,Q7737,Q65258141 (Yevsei),Q133327940 (Yevseyevna)
Q133327940,Yevseyevna,Russian patronymic (Евсеевна),Евсеевна,Russian,Q7737,Q65258141 (Yevsei),Q125709631 (Yevseyevich)
Q130534803,Zurabovich,patronymic (Зурабович),ზურაბის ძე,,,Q122879341 (Zurab),
Q138029429,ap Maredudd,Welsh patronymic,ap Maredudd,Welsh,Q9309,Q20155893 (Maredudd),
Q138029431,ap Tudur,Welsh patronymic,ap Tudur,Welsh,Q9309,Q138029438 (Tudur),
Q123153565,Þrastarson,Icelandic patronymic,Þrastarson,Icelandic,Q294,Q16421958 (Þröstur),
Q125050602,Þórðarson,Icelandic patronymic,Þórðarson,Icelandic,Q294,Q8079578 (Þórður),
Q51029836,Abelenda,family name,Abelenda,Galician,Q9307,,
Q121464772,Abelszoon,"Dutch patronym, meaning son of Abel",,,,,
Q119930739,Abrahamszoon,"Dutch patronym, meaning son of Abraham",Abrahamszoon,,,,
Q129261000,Actorides,Greek patronym based on Actor,,,,,
Q124005747,Adamszoon,"Dutch patronym, meaning son of Adam",,,,,
Q107526191,Adriaanszoon,"Dutch patronym, meaning son of Adriaan",,,,,
Q121283175,Aelbrechtsdochter,"Dutch patronym, meaning daughter of Aelbrecht",,,,,
Q4691174,Agamemnonides,,,,,,
Q137397603,Albertovich,patronym,Альбертович,Russian,Q7737,,
Q121579025,Albertszoon,"Dutch patronym, meaning son of Albert",,,,,
Q129262808,Alcides,Greek patronym derived from Alcaeus or Alceus,,,,,
Q124032061,Alekseyevna,patronymic (Алексеевна),Алексеевна,Russian,Q7737,,Q66830136 (Alekseyevich)
Q18618771,Alexandrovna,patronymic,Alexandrovna,,,,
Q69692981,Alfreðsdóttir,Icelandic patronymic,Alfreðsdóttir,Icelandic,Q294,,
Q123741253,Alibekovich,patronymic (Алибекович),,,,,
Q25261946,Alvarez,family name,Alvarez,,,,
Q83866230,Alvsson,family name; patronymic of Alv,Alvsson,Norwegian,Q9043,,
Q41161229,Amorós,family name,Amorós,Catalan,Q7026,,
Q4749586,Amythaonius,ancient Greek mythological figure,,,,,
Q113190317,Anatolievich,patronymic (Анатолевіч),Анатолевіч,,,,
Q130526192,Anatolyevna,patronymic (Анатольевна),Анатольевна,Russian,Q7737,,Q83710311 (Anatolyevich)
Q50504130,Ancapichún,family name,Ancapichún,,,,
Q79393687,Andariyan,,Әндәрйән улы,Bashkir,Q13389,,
Q122835323,Andradóttir,patronymic,Andradóttir,Icelandic,Q294,,
Q100964961,Andreyevich,patronymic (Андреевич),Андреевич,Russian,Q7737,,Q60393813 (Andreyevna)
Q120496202,Andriesdochter,"Dutch patronym, meaning daughter of Andries",,,,,
Q121466435,Andrieszoon,"Dutch patronym, meaning son of Andries",,,,,
Q110721829,Andriyovych,patronymic (Андрійович),Андрійович,Ukrainian,Q8798,,Q136772594 (Andriivna)
Q113613208,Antonivna,patronymic (Антонівна),Антонівна,Ukrainian,Q8798,,
Q111432811,Antonovych,Ukrainian patronymic (Антонович),Антонович,Ukrainian,Q8798,,
Q42861258,Antúnez,family name,Antúnez,Spanish,Q1321,,
Q11906403,Arcesiades,name for the children of Arcesius in mythology,,,,,
Q83863480,Arentsdotter,female given name; patronymic of Arent,Arentsdotter,Swedish,Q9027,,
Q122225245,Arentszoon,"Dutch patronym, meaning son of Arent",,,,,
Q120628567,Ariszoon,"Dutch patronym, meaning son of Aris",,,,,
