evidence	merged_survivor	name	stale_twin	relatives	relatives_missing	survivor_in_post_merge	state
medium	6000000001846936883	Kanime Ikazuchi	6000000209932890844	4	0	yes	covered
medium	6000000001893111445	Adakatsu	6000000012789325111	3	0	yes	covered
medium	6000000001893332397	Furuhito sugawara-no-ason	6000000012790203251	2	0	yes	covered
strong	6000000001753920527	Michizane sugawara	6000000012790174606	6	0	yes	covered
strong	6000000001846463714	Okinaga no Sukune	6000000209933015821	4	0	yes	covered
strong	6000000001893058363	Otori Haji-no-muraji	6000000012790224218	2	0	yes	covered
strong	6000000001893076404	Minomi Haji-no-muraji	6000000012789907544	2	0	yes	covered
strong	6000000001893089375	Kuiko Haji-no-muraji	6000000012789241684	2	0	yes	covered
strong	6000000001893109250	Ohodo Haji-no-muraji	6000000012790121415	2	0	yes	covered
strong	6000000001893120054	Obito Haji-no-muraji	6000000012790168268	4	0	yes	covered
strong	6000000001893123151	Iwai	6000000012788948138	3	0	yes	covered
strong	6000000001893134156	Ohusoba Haji-no-muraji	6000000012789869329	2	0	yes	covered
strong	6000000001893412323	Kiyokimi sugawara	6000000012790306416	2	0	yes	covered
strong	6000000001893412489	Yashima Haji-no-muraji	6000000012789999519	2	0	yes	covered
strong	6000000001893442226	Koreyoshi sugawara	6000000012790258371	3	0	yes	covered
strong	6000000178913798001	Akabon III Samaritan High Priest	6000000227239999855	2	0	yes	covered
strong	6000000178918141824	Aaron III Samaritan High Priest	6000000178917247862	4	0	yes	covered
weak	6000000001753971014	Yasukiyo Jiro Sasaki	6000000217688119839	19	0	yes	covered
weak	6000000001846508982	Jingū-kōgō (Okinagatarashi-hime)	6000000045545840003	5	0	yes	covered
weak	6000000001893436003	Karahisa-no-mikoto	6000000012789501590	2	0	yes	covered
weak	6000000002764956528	Isaac Aaron Ettinger	6000000032036299422	11	0	yes	covered
weak	6000000019402925048	Sadakiyo En'ya	6000000019402993069	9	0	yes	covered
weak	6000000089682874908	Elias Kemsley	6000000095647200940	7	0	yes	covered
weak	6000000178917357869	Eleazar XVII Samaritan High Priest	6000000178917735823	1	0	yes	covered
weak	6000000178917703827	Abishua II Samaritan High Priest	6000000178917468857	2	0	yes	covered
weak	6000000178918216827	Amram V Samaritan High Priest	6000000178917533835	2	0	yes	covered
weak	6000000227350557852	Yorimoto Tanba	6000000227351273825	5	0	yes	covered
