qid	sv_title	geni_id	geni_name	basis
Q6050268	Adolf Ludvig Piper	6000000006127557407	Adolf Ludvig  Piper  till Ängsö	CONFIRMED
Q2066886	Hedvig Catharina von Fersen	6000000001515228463	Hedvig Catharina Charlotta  De la Gardie	CONFIRMED
Q6206413	Jacob Nils Tersmeden	6000000019549923176	Jakob Nils  Tersmeden	spelling-variant
Q6015299	Johan Magnus af Nordin	6000000012734285538	Johan Magnus  af Nordin	CONFIRMED
Q6230749	Lars Wallenstedt	6000000006719391025	Lars  Wallius Wallenstedt	single-anchor
Q6238796	Olof Wexionius	6000000010694226731	Olof Olofsson  Wexionius	single-anchor
Q6003576	Samuel Nauclér	6000000042391604192	Samuel  Nauclerus	single-anchor
