geni_id	givn	surn	numeral	evidence
6000000001744871718	Guifré I	'el Pilós' de Barcelona	I	"Wikidata Q504283 ""Guifré el Pilós"""
6000000000131469439	Ermengol I	'el de Còrdova' de Barcelona	I	born 973
6000000000317457020	Justin / Ioustinos I (Flavius Justinus Augustus)	-	I	born 460
6000000003645797288	Ahhotep I .	.	I	born 1515
6000000003645859764	Djeserkare Amenhotep I .	.	I	born -1584
6000000003645908412	Pharnabazos I Arshamid	.	I	born -495
6000000002187604838	Pinedjem I Setepenre	.	I	born -1065
6000000001293304184	R Demang Hadiredjo / Adiredjo I	.	I	"Wikidata Q106735608 ""R Demang Hadiredjo / Adiredjo I"""
6000000006737010343	Sehetepibre Amenemhat I Wehemmesu	.	I	born -1963
6000000011415120911	Sister of Justin I	.	I	born 470
6000000041277777089	NN (Daughter of Sanatruces I of Parthia)	???	I	born -122
6000000002188294914	Armayel I of	Albania	I	born 510
6000000002188294929	Mihr I (Mihranid)	Albania	I	born 480
6000000002188294944	Varaz Bakour I of	Albania	I	born 450
6000000002188294899	Vard I of	Albania	I	born 490
6000000001504235006	Anton I	Aldenburg	I	"Wikidata Q26697178 ""Anton I von Aldenburg"""
6000000003897534660	Bonifacio I	Aleramici	I	"Wikidata Q312369 ""Boniface I, Marquess of Montferrat"""
6000000010656307831	Urraca I	Alfonsez Castile Leon	I	"Wikidata Q128701 ""Urraca I de León"""
6000000010656307831	Urraca I “La Temeraria”	Alfonsez Castile Leon	I	"Wikidata Q128701 ""Urraca I de León"""
6000000002187720231	Melesias I	Alopekethen	I	born 525
6000000016300829087	Paul I	Amsinck	I	born 1649
6000000002187721811	Poppo I	Andechs+Giech+Plassenburg	I	born 1115
6000000002187684199	Duke Albrecht I of	Anhalt	I	born 1226
6000000006727790127	Ernst I Prinz von	Anhalt-Zerbst	I	"Wikidata Q78137 ""Ernest I, Prince of Anhalt-Dessau"""
6000000001744977554	Karli I	Anzhu	I	"Wikidata Q203829 ""Charles I of Naples"""
6000000000045546956	Rei Cacício I	Arcruni	I	born 880
6000000003645859156	Schavasp I	Arcruni	I	born 395
6000000018667545289	Archimbaud I	Arlebaud	I	born 1056
6000000002188556825	Count Arnaud-Beraud I of	Armagnac	I	born 1101
6000000002188556810	Count Geraud I of	Armagnac	I	born 1043
6000000010132357560	Bagarat I	Armenia	I	born 290
6000000008643949504	Lanka Belos I duktė	Arpad	I	born 1045
6000000003232558141	Stephen I	Arpad	I	"Wikidata Q177903 ""Stephen I of Hungary"""
6000000006101354910	Khatchik I	Artsrouni	I	born 1042
6000000006101354910	Khul Khatchik I the Great	Artsrouni	I	born 1042
6000000225496817933	Varaz-Schapouh I	Artsruni	I	born 643
6000000225496584977	Gagik I	Arçrouni	I	born 772
6000000225496678921	Hamazasp I	Arçrouni	I	born 785
6000000008476670243	Friedrich I	Ascanier	I	born 1365
6000000001593928046	Hermann I	Ascanier	I	born 1130
375703482600011411	Michael Asenas I	Asen	I	born 1238
6000000003827451178	Bernhard I Of	Askanier	I	"Wikidata Q76096 ""Bernhard I, Prince of Anhalt-Bernburg"""
6000000006727778151	Carl I Wilhelm	Askanier	I	"Wikidata Q92203 ""Karl I, Prince of Anhalt-Zerbst"""
