token	kind	people_blocked	people_unblocked_alone	ja	zh	note
Olsdatter	name	3	2			
Carl	name	2	1			
Helgesen	name	2	1			
"""Bud"""	quoted nickname -- P1449, not a label	1	1			
"""Lena"""	quoted nickname -- P1449, not a label	1	1			
"""Mary"""	quoted nickname -- P1449, not a label	1	1			
"""Stena"""	quoted nickname -- P1449, not a label	1	1			
Alfred	name	1	1			
Bernhard	name	1	1			
Folkungaätten	clan word, not a name	1	1			
Helmik	name	1	1			
Joseph	name	1	1			
Knutsen	name	1	1			
Mathea	name	1	1			
Nicolai	name	1	1			
Nilsson	name	1	1			
Näs	place from a title, not a name	1	1			
Peter	name	1	1			
Private	name	1	1			
Rakel	name	1	1			
Rose	name	1	1			
Skarsholmsätten	clan word, not a name	1	1			
i	particle or initial, not a name	1	1			
of	title word, not a name	5	0			
August	name	2	0			
Edlund	name	2	0			
Erikson	name	2	0			
Gundersen	name	2	0			
Herbert	name	2	0			
Jonsen	name	2	0			
Time	name	2	0			
de	particle or initial, not a name	2	0			
margrave	title word, not a name	2	0			
"""Sally"""	quoted nickname -- P1449, not a label	1	0			
&	title word, not a name	1	0			
(Hafridssons	punctuation artefact -- the label needs fixing, not transliterating	1	0			
(hjorthorn)	punctuation artefact -- the label needs fixing, not transliterating	1	0			
<private>	name	1	0			
Adolf	name	1	0			
Belestdatter	name	1	0			
Bella	name	1	0			
Bengt	name	1	0			
Berita	name	1	0			
Birgitta	name	1	0			
Bjørnson	name	1	0			
Blekinge	place from a title, not a name	1	0			
Brita	name	1	0			
Carine	name	1	0			
Christiansen	name	1	0			
Christopher	name	1	0			
Constance	name	1	0			
Cysoing	place from a title, not a name	1	0			
Danzig	place from a title, not a name	1	0			
Donald	name	1	0			
Duke	title word, not a name	1	0			
Elsie	name	1	0			
Erik	name	1	0			
Erling	name	1	0			
Estland,	punctuation artefact -- the label needs fixing, not transliterating	1	0			
Eugene	name	1	0			
Frafjord	name	1	0			
Friuli	place from a title, not a name	1	0			
Friuli,	punctuation artefact -- the label needs fixing, not transliterating	1	0			
Gdańsk	place from a title, not a name	1	0			
Georg	name	1	0			
Gunnarsdatter	name	1	0			
Gustav	name	1	0			
Hafridsson	name	1	0			
Hegre	name	1	0			
Helge	name	1	0			
Helgesdatter	name	1	0			
Hilde	name	1	0			
I	particle or initial, not a name	1	0			
Italy	place from a title, not a name	1	0			
Iver	name	1	0			
Jeanette	name	1	0			
Johan	name	1	0			
John	name	1	0			
Jonassen	name	1	0			
Juel	name	1	0			
Kvam	name	1	0			
Larsdatter	name	1	0			
Larsdotter	name	1	0			
Lauvsnes	name	1	0			
LeRoy	name	1	0			
Lejon	name	1	0			
Lisabeth	name	1	0			
Lolland	place from a title, not a name	1	0			
Manilva	name	1	0			
Maria	name	1	0			
Mats	name	1	0			
Nedre	name	1	0			
Nygaard	name	1	0			
Næsmoen	name	1	0			
Oskar	name	1	0			
Osmundsdatter	name	1	0			
Pauline	name	1	0			
Pedersen	name	1	0			
Queen	title word, not a name	1	0			
Rangdi	name	1	0			
Rasmus	name	1	0			
Rasmusson	name	1	0			
Roosevelt	name	1	0			
Rossavik	name	1	0			
Skårland	name	1	0			
Sollienseie	name	1	0			
Sophia	name	1	0			
Sweden	place from a title, not a name	1	0			
Theodore	name	1	0			
Thomasdotter	name	1	0			
Torchelsdatter	name	1	0			
Tore	name	1	0			
Tormod	name	1	0			
Törnesson	name	1	0			
Tøre	name	1	0			
Tørres	name	1	0			
Ueland	name	1	0			
Vasshus	name	1	0			
and	title word, not a name	1	0			
duke	title word, not a name	1	0			
king	title word, not a name	1	0			
nn	particle or initial, not a name	1	0			
Øvre	name	1	0			
ätt)	punctuation artefact -- the label needs fixing, not transliterating	1	0			
