geni_id	qids	geni_name
2433806	Q2312669	Dirk /van Brederode/ III
4721724533970026524	Q60109288	Olof /Nobelius/
4721732038620069541	Q1659944	Immanuel Olof /Nobelius/ Sr.
5262328193020111110	Q16649780	Hans /Lundberg/
5612945144420059801	Q100342338	Eda Johanna Elionora /Svennius/
6000000000047166315	Q109942711	Johan Augustin /Mannerheim/ till Tärnö
6000000000149796881	Q100352817	Jonas /Beronius/
6000000000310641480	Q75446688;Q75592752	Jennette /MacKenzie/
6000000001126393441	Q908278	Domenico /Selvo/ 31st doge of Venice
6000000001479998258	Q457586	Sophia /Jagiellon/ Princess, Markgravine of Brandenburg-Ansbach-Bayreuth
6000000001753971014	Q11382304	Yasukiyo泰清 Jiro /Sasaki佐々木/
6000000001893413214	Q135579362	阿多
6000000001893436003	Q136908598	韓日狭
6000000002999805089	Q86919328	Esaias Elias /Hackzell/
6000000003420851602	Q28967673	Henrik Nils Robert /Themptander/
6000000003828248315	Q110574919	Bourguine /de Guilhem/ Dame de Clermont-l'Hérault
6000000003828248322	Q110574913	Pons I /de Caylus/ Baron de Castelnau, Calmont-d'Olt
6000000004868902258	Q346968	Pierre /d'Amboise/ III
6000000006128024512	Q86133100	Lars David /von Troil/
6000000006444125910	Q4444793	Thomas /Stanley/
6000000006943278003	Q97649768	Sara Maria /Seidelius/
6000000007038023043	Q75527286	Isabella /Rothschild/
6000000007090942276	Q327869	Antoinette Marie /Murat/
6000000007184914927	Q3510168	Lauri Einari /Kettunen/
6000000007316403023	Q1567543	Adrien
6000000007372277353	Q12377587	Tönnis /Maydell/ till Sutlem, Sr.
6000000007923470687	Q4957433	Wilhelmina /Josephson/
6000000007923627795	Q1677426	Jacob Axel /Josephson/
6000000007980693054	Q5907317	Carl Fredrik Edvin Emil /Ke/
6000000008162308283	Q25984055	Berit Gøril /Havrevold/
6000000008640446405	Q76355849	Conan /de Fiennes/ chevalier, seigneur de Fiennes
6000000010671354763	Q3102581	Zayd Abu Zayd
6000000011349920903	Q4084004	Edward /Bergenhem/
6000000011673667679	Q63826596	Eva Anna Charlotta /Berg/
6000000012065752781	Q62059943	Georg Ludvig Andreas /Frølich/
6000000012267523813	Q99336896	Elin Mathilda /Schönmeyr/
6000000012267651317	Q99325076	Anna Emilia /Schönmeyr/
6000000012561014967	Q7424985	Hideyoshi秀義 Genzo /Sasaki佐々木/
6000000012561210538	Q4806168	Yoshikiyo義清 Goro /Sasaki佐々木/
6000000012561575227	Q11382323	Suesada /Sasaki佐々木/
6000000012562003977	Q18236076	Yoriyasu /En'ya/
6000000012788043101	Q11065428	Takehinatori-no-mikoto
6000000012788527451	Q10940685	Ameno-hohi-no-mikoto
6000000012789160423	Q135579354	Tsusa-no-mikoto
6000000012789241315	Q135284917;Q86734749	Kushini-no-mikoto
6000000012789283534	Q135579355	Kushimikasaki-no-mikoto
6000000012789332311	Q135579359	Kushida-no-mikoto
6000000012789365875	Q135579360	Chiri-no-mikoto
6000000012789418407	Q55533077	Izumo-Furune-no-mikoto
6000000012789429513	Q135579358	Kushimikatomi-no-mikoto
6000000012789489311	Q135579356	Kishitsuki-no-mikoto
6000000012789539255	Q135579361	Morosu-no-mikoto
6000000012881192786	Q29053513	Ingegerd Anna /Ahlgrensson/
6000000013151471748	Q110941606	Seved /Ribbing/
6000000013376335548	Q55858484	Rudolf /Schiff/
6000000013715574428	Q4970907	Edith Johanne /Oldrup Pedersen/
6000000013953053734	Q18225319	Lodewijk /van Egmont/
6000000015130013466	Q101228628	Margarethe /von Zweiffel/
6000000015898170241	Q4945651	Ebba Johanna Cecilia /von Hallwyl/
