geni_id,name,descendants_held,generations,peak_generation,peak_width,longest_run_width_le_2,observed_sweep_yield
6000000227712070008,NN Näf,178971,31,20,24829,1,"sweeps returned 62-80% new; pool 174,821"
6000000000183188387,(not in these files),548502,55,40,46964,1,"sweeps returned 62-80% new; pool 541,546"
6000000227295848846,NN Skjalgsson,86783,25,17,14767,2,"first sweep 0 of 30 (top 888), re-sweep turned: 3,267 new"
6000000227708968860,NN ben Ovadya,28124,79,74,3087,7,"sweep found one 5,708 hit, still banked"
6000000209721868822,NN Mixcoamatzin,10688,35,25,2037,9,"Aztec -- nine consecutive width-1 generations, then fans out g22-25"
6000000220876233832,Nārāyaṇa?,29741,190,45,2395,33,"banked 15,000 hit spent 2026-09-13: 640 new (12.8%), the campaign low"
