look_first	signal	provisional_reading	qid	wikidata_label	shares_father	geni_a	name_a	geni_b	name_b
yes	UNCLEAR	no cheap read - open this one first	Q104755784	Ruben Wulff	no	5477503367560083505	Wolf Rubensson	6000000035017580401	Ruben Wulff
yes	UNCLEAR	no cheap read - open this one first	Q11097545	Li Yi	yes	6000000074735059038	緯 京兆長安 / Li Wei 李緯	6000000074735329020	禕 京兆長安 / Li Yi 李禕
yes	UNCLEAR	no cheap read - open this one first	Q1121345	Vyachko of Koknese	no	6000000007376934082	Vyachko of Koknese Principality of Koknese / Wiačko karoĺ Kukienojsaŭ / Vetseke 	6000000080876897426	Вячеслав Борисович
yes	UNCLEAR	no cheap read - open this one first	Q123182145	Constança Maria da Conceição de Mendoça Rolim de Moura Barreto, 4th Duchess of Loulé	no	6000000021077665995	Constança Maria da Conceição Berquó de Mendoça Rolim de Moura Barreto 4.ª duques	6000000186395139495	Constança Maria Conceição Berquó de Mendoça Rolim de Moura Barreto
yes	UNCLEAR	no cheap read - open this one first	Q130391088		no	4913726906610024668	Dymitry Glebovich Rurikov / Дмитрий Глебович, князь Смоленский / Дымітры Глебаві	6000000017971574617	Dmitriy Glebovich Rurikid / Dymitr Glebowicz Rurykowicz / Димитрий Глебович Рюри
yes	UNCLEAR	no cheap read - open this one first	Q13478526	Vasilko Bryachislavich	no	6000000013766131859	Vasilko II Bryachislavich of Vitebsk / Vasilko Bryachislavich, prince of Vitebsk	6000000080810418078	Василий Брячиславич
yes	UNCLEAR	no cheap read - open this one first	Q13478569	Alexandra Brachyslavna	no	6000000002240822537	Alexandra (Paraskeva) Bryachislavna Полоцкая / Princess Alexandra (Paraskeva) Br	6000000080810860893	Александра Брячиславовна
yes	UNCLEAR	no cheap read - open this one first	Q140354402		no	6000000016751327433	Teodora Kurcz h. Radwan	6000000041177692728	Teresė Kurčaitė
yes	UNCLEAR	no cheap read - open this one first	Q16630592	Vladimir Vsevolodovich	yes	4915441647200047771	Владимир-Димитрий Всеволодович	6000000018169602518	Владимир-Дмитрий Всеволодович / Kнязь Владимир-Дмитрий Всеволодович / Vladimiras
yes	UNCLEAR	no cheap read - open this one first	Q1893528	Marcia	no	6000000003645697517	Marcia Regia	6000000009458314295	Pompeia
yes	UNCLEAR	no cheap read - open this one first	Q2080596	Karijotas	no	4363184995560049059	Koryat Mikhail Гедиминович Gediminids / Koriat Mikhail, prince of Navahrudak and	6000000180986157821	Koriat
yes	UNCLEAR	no cheap read - open this one first	Q2241510	Richeza of Poland, Queen of Sweden	no	5235605714220070458	Rikissa of Sweden of Poland / Rikissa of Poland / Rikissa Boleslavsdatter / Riki	6000000033201846251	Ryksa of Poland
yes	UNCLEAR	no cheap read - open this one first	Q22813498	Li Zixian	yes	6000000075060771886	僊 隴西狄道 / Li Xian 李僊 / 僊 隴西狄道 一	6000000075060896873	自仙 隴西狄道 / Li Zixian 李自仙
yes	UNCLEAR	no cheap read - open this one first	Q233444	Scribonia	no	6000000000700912476	Scribonia	6000000008218463991	Clodia Pulchra
yes	UNCLEAR	no cheap read - open this one first	Q237156	Laodice I	no	6000000002187617608	Laodice I	6000000003513191421	Laodice / Laodice I, queen of the Seleucid Empire / Λαοδίκη
yes	UNCLEAR	no cheap read - open this one first	Q244852	Gediminas	no	6000000000671822547	Gediminas Пукуверович of Lithuania / Gediminas, Grand Duke of Lithuania / Гедымі	6000000179389495866	Giedymin - Gediminas Пукуверовичъ / Gediminas / Giedymin / Гедиминъ Пукуверовичъ
yes	UNCLEAR	no cheap read - open this one first	Q2501720	Vladimir of Polotsk	no	6000000009179165501	Владимир (Вальдемар Володша) Всеславич Полоцкий	6000000011770046741	Vladimir Volodarovich
yes	UNCLEAR	no cheap read - open this one first	Q25483915	Gebhard IV von Querfurt	no	6000000003828254510	Gebhard von Querfurt-Magdeburg	6000000014961432483	Gerhard lV von Querfurt-Magdeburg Burgraf, Erzbischof
yes	UNCLEAR	no cheap read - open this one first	Q2621664	Narimantas	no	4363152365890123437	Narymunt Gleb Gleb Giedymidis Gedimind / Narymunt Gleb, prince of Polotsk and Pi	6000000090936564822	Narimantas Gediminaitis
yes	UNCLEAR	no cheap read - open this one first	Q4113037	Vladimir Glebovich	no	6000000034638041217	Vladimir Glebovich / Владимир Глебович	6000000073473851821	Vladimir Rostislavich
yes	UNCLEAR	no cheap read - open this one first	Q4139580	Gleb Svyatoslavich	no	4913735229900074272	Gleb Святославич Rurikov / Gleb, Grand Prince of Smolensk / Глеб Святасла́віч / 	6000000018197588373	Gleb Svyatoslavich of Smolensk / Глеб Святославич Смоленский
yes	UNCLEAR	no cheap read - open this one first	Q4273436	Pakubuwono V	no	6000000002003837593	Pakubuwono V	6000000017687692040	Pakubuwana V Sunan Sugih Raden Mas Sugandi (1820-1823) / b: 2 15 1735
yes	UNCLEAR	no cheap read - open this one first	Q45419087	Tang Zong	yes	6000000074747743378	世宗 晉昌冥安 / Tang Shizong 唐世宗	6000000074748427891	宗 晉昌冥安 / Tang Zong 唐宗
yes	UNCLEAR	no cheap read - open this one first	Q45419706	Tang Ling	yes	6000000074747981248	靈芝 晉昌冥安 / Tang Lingzhi 唐靈芝	6000000074748315105	靈 晉昌冥安 / Tang Ling 唐靈
yes	UNCLEAR	no cheap read - open this one first	Q45422861	Zheng Ci	yes	6000000074788367110	慈 滎陽開封 / Zheng Ci 鄭慈 / 慈 滎陽開封 三	6000000074788721899	慈明 鄭州榮陽 / Zheng Ciming 鄭慈明
yes	UNCLEAR	no cheap read - open this one first	Q557859	Vytenis	no	6000000009134071127	Witenes / Vytenis / Витень Пукуверовичъ	6000000177205638847	Витень Пройденович Князь Литовский
yes	UNCLEAR	no cheap read - open this one first	Q638599	Daumantas	no	6000000009129141310	Daumantas Romantaitis of Utena / Даўмонт wialiki kniaź litoŭski paslia 1281 – 12	6000000080834032500	Daumantas Mindaugaitis Mindaugaitis / Duke of Lithuania Daumantas Mindaugaitis /
yes	UNCLEAR	no cheap read - open this one first	Q638646	Butvydas	no	6000000020985906917	Pucuwerus Butvydas of Lithuania / Pucuwerus Rex Lethowie 1291–1296 / Butvydas / 	6000000179697104858	Butvydas Pukuveras / Pucuwerus / Butvydas Butivydas
yes	UNCLEAR	no cheap read - open this one first	Q66438379	Vasily Mikhaylovich	no	6000000024778341822	Vasily Mikhailovich Drutsky / Vasily Drutsky / Wasili Bazyli Michałowicz Drucki	6000000184795855851	Vasil Mikhailovich Drutski / Vasilis Druckis / Wasil Michajłowicz Drucki / Васил
yes	UNCLEAR	no cheap read - open this one first	Q6645502	Wei Xiaokuan	yes	6000000074759622191	叔裕 京兆杜陵 / Wei Shuyu 韋叔裕	6000000075329016910	寬 孝寬 京兆杜陵 / Wei Xiaokuan 韋孝寬 / 寬 孝寬 京兆杜陵 二
yes	UNCLEAR	no cheap read - open this one first	Q66534565	Mikhail Drutsky	no	6000000018171165192	Mikhail Романович Волынский / Michailas / Michał Romanowicz / Михаил Романович В	6000000024777532686	Mikhail Romanovich of Slonim / Mikhail Drucki of Slonim / Mykolas Romanaitis iš 
yes	UNCLEAR	no cheap read - open this one first	Q703346	Marcus Livius Drusus	no	6000000002205507182	Marcus Livius Drusus Consul (112 BC) / Marcus Livius Drusus, Consul (112 BC)	6000000003827963052	Marcus Livius Salinator Drusus Drusus Salinator
yes	UNCLEAR	no cheap read - open this one first	Q76154269	Rhys ap Bledri	no	6000000039488647235	Rhys ab Bledri ap Bledri Baron of Cil y Saint / Rhys Latimer ab Bledri	6000000039488819945	Rhys ap Bledri
yes	UNCLEAR	no cheap read - open this one first	Q778550	Tezozomoc	no	6000000007456333287	Tezozomoc of Tenochitlan	6000000038650093974	Tezozomoc of Ecatepec of Azcapotzalco (Tepanec)
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q11087518	Princess Shengping	yes	6000000074750800003	隴西狄道 / Li Shi of Li Yu) 李氏(李豫女)	6000000074767273172	隴西狄道 / 隴西狄道 二
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q13478492		no	6000000009179187283	Volodar Volodsha Василькович Полоцкий / Wołodar Wołodsza / Володар Володша Васил	6000000080795374822	Владимир Васильевич
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q15954845	Li Mou	yes	6000000074750788964	某 李 / Li Mou 李某	6000000074766717720	隴西狄道 / Li Shi (daughter of Li Heng) 李氏(李亨女) / 隴西狄道 二
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q17095892	Anna Korybut	no	6000000014058991722	Anna Worotyńska	6000000014878152198	Anna Fedkaitė Korybut / Ona Fedkaitė Kaributaitė / Anna Fedkowna Korybutowicz
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q2026887	Sofia of Minsk	no	6000000002512346178	Sofia Volodarsdatter von Polotzk Queen of Denmark / Sophia of Minsk, Queen Conso	6000000071619545883	Sofija Volodaraitė / Софья Володаровна
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q2587652	Konstanty Koriatowicz	no	6000000033241523682	Constantine Кориятович Gediminids / позже Чарторыйский Корятович Корьятович Корн	6000000184583916097	Constantine Olgerdovich of Chartoryisk / of Chortoryisk probably had pagan name 
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q2632610	Volodar Glebovich	yes	6000000007171629271	Volodar Glebovich of Polotsk Prince of Minsk / Volodar of Polotsk, Prince of Min	6000000080879890850	Владимир ??? Глебович
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q3918735	Konstantin Bezruky	no	6000000012580992305	"Constantine ""Armless"" son of Tautvilas / Konstantinas ""Berankis"" Tautvilaitis / "	6000000175526147872	"Constantine ""Armless"" ??? / Kanstancin Bjazruki / Konstantīns Bezrocis / Konstan"
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q45421949	Li Ceng	yes	6000000075060870891	隴西狄道 / Li Ceng 李 / 隴西狄道 二	6000000075060956830	䎖 隴西狄道 / Li ? 李䎖
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q61139374	Joanna of Baden	no	6000000013879333457	Johanna von Baden-Durlach	6000000025875082214	Johanna Margareta von Baden-Hochberg
