generation,foci_swept,rows_returned,beyond_root,new_per_focus,marginal_new,cumulative_new
13,1164,0,0,0.0,0,0
14,4662,1247999,230003,49.3,230003,230003
32,14,0,0,0.0,0,230003
33,38,0,0,0.0,0,230003
34,21,0,0,0.0,0,230003
35,48,12801,9469,197.3,1206,231209
36,47,12570,12464,265.2,1783,232992
37,58,21887,17337,298.9,221,233213
38,118,38111,29708,251.8,21008,254221
