qid	geni_id
Q23696694	9
Q12359610	632
Q7344895	4167
Q8012569	12936
Q1827266	20596
Q16018987	39378
Q37924763	41797
Q18988084	56272
Q191375	56273
Q61108998	57436
Q2090633	59035
Q6281184	63501
Q381894	63756
Q134314317	72920
Q11029470	74369
Q15283798	80178
Q7292032	82274
Q18907896	82276
Q25742529	86032
Q105654382	90586
Q123687	96048
Q6792973	99541
Q17515	100801
Q10288051	103321
Q3948210	115436
Q5137248	136055
Q1929618	138104
Q1240330	141092
Q55947990	141702
Q3387265	142785
Q4795308	170817
Q3762204	175180
Q5236795	176137
Q75283673	184503
Q2661542	207790
Q932975	222663
Q8005572	224380
Q581786	234982
Q4795070	236594
Q1790296	238398
Q1356879	256221
Q118154041	258997
Q124323889	261837
Q130717821	266740
Q106634331	269074
Q106634332	269076
Q106634327	270478
Q106634326	270581
Q1750774	272968
Q3081432	274062
Q5539289	274078
Q75580931	276117
Q1874152	295441
Q7173646	312652
Q106634341	316346
Q3102550	322743
Q11892444	327872
Q136703506	340706
Q94542101	346356
Q122189708	348626
Q111019617	351259
Q75283260	356634
Q75283261	356636
Q5540329	357137
Q70011506	357359
Q75283458	357371
Q75283243	357592
Q75283547	358989
Q75283549	359366
Q6238332	365568
Q75283690	372352
Q94836518	379565
Q93266348	380617
Q1629415	381807
Q7674529	382539
Q18431118	394312
Q112017	418086
Q53834036	418270
Q824763	418319
Q75982	422563
Q118311805	426350
Q115740491	426356
Q28230906	427651
Q98529	427863
Q106634345	428984
Q106634346	428986
Q123445322	432058
Q16619534	435148
Q137218246	439904
Q4854154	451143
Q3125897	457473
Q131370077	458418
Q16019774	460842
Q105430440	462701
Q12348439	474389
Q133835654	474420
Q4723405	476618
Q52669718	476987
Q1358281	477061
Q709356	477815
Q794231	478454
Q1226497	480511
Q1418864	495440
Q126950668	498295
Q126950327	498298
Q23566093	498392
Q1528513	499299
Q6205299	500029
Q6230062	500740
Q2339968	500822
Q97495658	503113
Q24018751	503114
Q3438760	507398
Q874161	507892
Q126949680	509173
Q11938891	519661
Q75545516	528163
Q75545544	528274
Q75955921	534791
Q75955917	534793
Q3719638	536498
Q99905327	540544
Q99905331	540593
Q99904950	540631
Q134961741	540780
Q115548416	541017
Q135712325	542597
Q1702046	542615
Q76286920	558205
Q100145723	565869
Q76286921	569074
Q76286923	569075
Q99756075	577609
Q2588898	580507
Q20656914	588394
Q95154785	591997
Q116951576	595954
Q32868323	599964
Q3174650	605573
Q3852792	613985
Q111426622	615308
Q115365001	615531
Q100145733	618351
Q115708500	618642
Q82187689	618645
Q66698828	618649
Q55721033	619016
Q115708731	619538
Q2158432	621201
Q301736	621289
Q75935140	621377
Q94400197	627247
Q106212253	627248
Q3830685	632801
Q104684896	642832
Q104684955	642834
Q317521	645433
Q7104084	655509
Q111817975	663925
Q131584837	664871
Q20030386	665408
Q75765002	683438
Q104208404	688612
Q1414832	689131
Q5629781	692407
Q114358115	693633
Q106870140	694022
Q134893995	696701
Q800136	696711
Q134895060	696758
Q134893608	696837
Q7022971	716234
Q4255657	716294
Q4444892	717348
Q3541976	721944
Q95461821	725152
Q7372199	730920
Q1441293	732045
Q96243891	737472
Q104106	738562
Q134895171	739394
Q50361520	743932
Q7609330	746652
Q131584761	753746
Q127606232	758975
Q112806683	759260
Q112806685	759828
Q94937976	767763
Q138780859	771836
Q9618005	773353
Q12330539	778840
Q12312545	779230
Q12328621	779315
Q140761601	782933
Q2837686	782935
Q12320782	783134
Q140761609	783135
Q136386750	788717
Q136394085	788734
Q136388672	788756
Q136359175	788793
Q118351953	793755
Q18351695	797068
Q131426032	803864
Q5562909	805287
Q190503	805326
Q12358485	805663
Q885601	815885
Q75519807	819591
Q28057834	824289
Q131107206	824291
Q101676766	825577
Q970076	826743
Q3714629	832547
Q124222026	832809
Q124222037	832812
Q124222040	832859
Q127521634	838812
Q1706608	838840
Q438478	867322
Q131316282	867800
Q116480274	868165
Q136804187	868678
Q544338	869591
Q107055800	875725
Q107056054	875786
Q107055802	875813
Q326660	877092
Q3526700	880354
Q46200498	882049
Q62934345	883482
Q99884311	888173
Q99884227	888810
Q152779	892470
Q105491349	897707
Q7031420	909328
Q75283698	912582
Q75283703	912664
Q75303230	912690
Q75303229	912715
Q75303233	912871
Q75283708	913135
Q15524996	929285
Q5587166	932676
Q23583025	932813
Q19873496	933011
Q6132045	933048
Q112664112	933221
Q111591778	935561
Q111669212	942994
Q111668432	943031
Q52736027	943151
Q111591439	943179
Q111591517	943190
Q5200693	943219
Q75619364	944707
Q103085115	944892
Q7816062	951661
Q17402436	958366
Q937052	959803
Q5343570	964071
Q136734367	964619
Q136734383	964621
Q136734385	964754
Q136734390	964755
Q136734391	964946
Q51175587	967964
Q51550124	967984
Q4669119	980001
Q20525087	993089
Q930739	999518
Q10334533	1010125
Q3706747	1011067
Q1363253	1014153
Q8019014	1025313
Q136734348	1028927
Q2640795	1028970
Q101002314	1028973
Q136734340	1030037
Q4483066	1036271
Q7629267	1040594
Q109809824	1040764
Q109809841	1040765
Q111266216	1041120
Q102226627	1041143
Q102226628	1041145
Q339274	1041268
Q66784697	1041436
Q66819035	1041541
Q66821421	1041706
Q102226629	1041789
Q104817026	1041998
Q17126596	1042014
Q105125028	1042023
Q102226662	1042201
Q102226675	1042202
Q102226663	1042236
Q102226671	1042306
Q471794	1042392
Q102226668	1042394
Q102226666	1042453
Q7793089	1042488
Q112664113	1043127
Q112664115	1043365
Q97137460	1043441
Q5572406	1051731
Q71303421	1053537
Q16230472	1061005
Q96322131	1061012
Q531951	1062488
Q16210441	1065141
Q6793398	1076082
Q2926770	1081201
Q7027621	1092982
Q1990328	1099996
Q108535162	1126959
Q108535201	1126993
Q104220696	1146121
Q28220230	1146498
Q12411340	1146499
Q105579854	1151144
Q105579858	1151301
Q126949678	1152749
Q60693900	1156049
Q1354081	1159848
Q808485	1174926
Q7376408	1174928
Q329849	1184960
Q104131256	1185426
Q99951530	1194722
Q99951533	1194723
Q17305212	1195860
Q21198503	1198533
Q5438315	1214841
Q558789	1219388
Q5076822	1222242
Q123932645	1222245
Q1173516	1225072
Q16030682	1225242
Q6199259	1227761
Q4570285	1231924
Q27536328	1233398
Q64686000	1238127
Q2644421	1238209
Q6141779	1253678
Q156480	1254168
Q18246507	1254169
Q7174246	1257175
Q5967741	1261365
Q5892219	1281808
Q75390555	1292459
Q920113	1296533
Q1747292	1302340
Q104690392	1311252
Q104690275	1311261
Q16204035	1312632
Q96201730	1315188
Q132230004	1319192
Q125360287	1322488
Q7943510	1333859
Q131191472	1334477
Q3069387	1334540
Q55987266	1335488
Q135040791	1338261
Q131795943	1338714
Q35554606	1340776
Q3350138	1341507
Q131439540	1349900
Q3121456	1350207
Q168691	1354718
Q434077	1354801
Q16029250	1361998
Q6216096	1366483
Q123985104	1366782
Q4820197	1376902
