contrast	own	nbr_median	nbrs	birth	geni_id	name
9	1	10	3	1100	6000000000034920231	Beltrán de Riseñoral señor de Carrión
9	1	10	2	-658	6000000225498177872	Nabopolassar DUP
9	6	15	2	-107	6000000042210718984	Decimus Iunius X Silanus
9	6	15	2	-100	6000000042210612251	Servilia X Caepionis
9	1	10	2	-75	6000000027312170836	Scribonia
9	1	10	2	-72	6000000027311950509	Publius Cornelius Scipio
9	4	13	2	10	6000000014733546092	Upia Afer
9	4	13	2	30	6000000009144925492	Quintus Petilius Cerialis Caesius Rufus
9	4	13	2	40	6000000007265794201	Lucius Pompeius
9	4	13	2	45	6000000041395651646	Plotia
9	1	10	2	55	6000000003828375445	Erucius Erucius
9	1	10	2	60	6000000003828375438	Septicia
9	1	10	2	75	6000000001442741365	Publius Salvius
9	1	10	2	80	6000000001442529772	Aemilia
9	6	15	2	150	309832852200006460	Junius Licinius Balbus
9	4	13	2	335	6000000006101378854	Marina Severa
9	8	17	2	1051	6000000000326786641	unknown mistress of Svyiatopolk II
9	8	17	2	1070	6000000000437343178	Mstislav Sviatopolkovich Rurikid
9	8	17	2	1091	6000000002187837497	Princess Agnieszka of Poland
9	2	11	2	1097	6000000034640939086	Killikiya Anna, of Kumans
9	1	10	2	1097	6000000008806337659	Ióannés Axuch
9	1	10	2	1100	6000000081027536928	
9	5	14	2	1127	6000000003937185091	Hugues (Hugh) II de Vermandois Comte de Vermandois et de Valois
9	1	10	2	1133	6000000026108697539	
9	1	10	2	1134	6000000009007229713	David Bagratun
9	2	11	2	1159	6000000003177759124	Joan de St. Pol
9	1	10	2	1348	6000000003979020724	
9	4	13	2	1400	6000000012733403504	Brites de Vasconcelos
9	1	10	2	1440	6000000003384679833	Anders Håvardsson Sæbu
9	1	10	2	1500	6000000003232718199	Halvard Sæbu
8	6	14	6	-14	6000000041200012821	Claudia Pulchra
8	15	23	4	118	6000000058661118835	Julia Charax
8	14	22	4	151	6000000000629572598	Lucius Sergius Paullus
8	8	16	4	1108	6000000004828721076	Inge Nielsen
8	2	10	4	1135	6000000002187978983	Magnus Haraldsson
8	4	12	4	1225	6000000012624548829	Kitsushi Saionji
8	8	16	4	1243	310820026550008253	Elizabeth van Brabant Hessen
8	6	14	4	1563	6000000001752001394	
8	3	11	4	1564	6000000005607603052	Anders Aagesen Heimnes
8	7	15	3	10	6000000001511843037	Tiberius Plautius Silvanus Aelianus
8	7	15	3	1237	6000000010810239505	Berenguela Alfonso
8	7	15	2	-356	6000000205422641923	Marsyas
8	9	17	2	-323	6000000003645896957	Alexander IV Aegus
8	7	15	2	-149	6000000074177759931	Quintus Lutatius Catulus
8	6	14	2	63	6000000006857813421	Claudia Augusta Caesar
8	3	11	2	155	6000000016670030466	Tiberius Claudius Themistocles Marathonius
8	2	10	2	390	6000000000929478065	Bleda King of the Huns
8	2	10	2	642	6000000039110925862	Abdullah al-Asghar Al-Zuhri
8	1	9	2	950	6000000004201608684	Arsenda de Comminges
8	1	9	2	980	6000000001745038010	Aremburge de Vergy
8	2	10	2	990	6000000002043208882	
8	6	14	2	1003	6000000003087154173	Ælfwig Abbot of Newminster and Winchester
8	9	17	2	1040	6000000009328621508	N.N.
8	5	13	2	1041	6000000013814171569	Knud Magnus Svendsøn of Danmark
8	1	9	2	1050	6000000088133531033	
8	6	14	2	1062	6000000000628768389	Nicephorus Briennius
8	8	16	2	1067	6000000002043176084	Harold Haraldsson
8	4	12	2	1067	6000000006906240801	Godefroi de Ferté-Ancoul vicomte de Ferté-Ancoul
8	5	13	2	1081	6000000002172813278	iIlegitimate daughter
8	3	11	2	1105	6000000003820985316	Ivar Sveinson
8	6	14	2	1120	6000000000769926510	Isabel Hedwig FitzRoy
8	5	13	2	1130	6000000002299087535	Gunhild N
8	2	10	2	1152	6000000001544486806	Geoffrey
8	2	10	2	1170	6000000009689006250	Rosamond FitzHenry
8	3	11	2	1175	5114086097510045127	Anna Dandolo
8	6	14	2	1186	6000000013009613110	N.N.
8	8	16	2	1199	6000000001501029311	Ladislas III III. László of Hungary ÁRPÁD(házi) King
8	1	9	2	1216	6000000009403853314	
8	2	10	2	1230	6000000006290748131	Maddalena Gil
8	6	14	2	1245	6000000022470757028	
8	4	12	2	1245	6000000008121436216	Elisabeth
8	1	9	2	1246	6000000009403848841	
8	6	14	2	1265	6000000016494672714	
8	2	10	2	1271	6000000227017585865	
8	2	10	2	1286	6000000003265463762	Alida van de Geijne
8	3	11	2	1310	6000000011844476414	Maria Garcia
8	1	9	2	1460	6000000182788097880	
8	6	14	2	1464	6000000008468591496	Unnamed Son
8	1	9	2	1578	6000000001504673110	
7	3	10	8	1556	6000000001748840479	
7	9	16	7	1177	6000000003243447591	Salamon of Hungary ÁRPÁD(házi) Prince
7	9	16	7	1184	6000000002187757199	István of Hungary ÁRPÁD(házi)
7	6	13	6	1055	6000000002187757470	Eric Stenkilsson King of Sweden
7	10	17	6	1080	6000000006727873812	
7	6	13	6	1080	6000000008248159393	Arne Jonsson
7	6	13	6	1198	6000000022851802623	Mary de Toulouse
7	6	13	6	1199	6000000022851802628	Richard de Toulouse
7	6	13	6	1199	6000000001563248604	N.N. de Tolosa
7	12	19	6	1222	6000000002188648399	Bernhard von Sachsen Herzog
7	4	11	5	1080	6000000002503681884	NN Svensdotter
7	3	10	5	1302	6000000002187820623	Jean de Valois Comte de Chartres
7	3	10	5	1306	6000000002187820646	Isabel De Valois Abbesse de Fontrevault
7	5	12	4	-140	6000000003024845229	Lucius Licinius Crassus Consul (95 BC)
7	8	15	4	-90	6000000003355840325	Atilia
7	9	16	4	-50	6000000002187599755	Antonia Prima
7	3	10	4	569	6000000007970310381	
7	3	10	4	572	6000000007970313490	
7	1	8	4	1005	6000000019045045622	Etheler von Stade Graf in Dithmarschen
7	4	11	4	1025	6000000022947050074	Ålov Tordsdatter
7	4	11	4	1070	358241599470012764	Erik Årsäll Semi-historical king of Sweden
7	6	13	4	1073	6000000007170562706	nn NN
7	4	11	4	1110	6000000010291591466	Sigrid Nja
7	7	14	4	1150	6000000007376820064	Ragnvild Jonsdatter Huk
7	6	13	4	1157	6000000032834486019	Richenza
7	1	8	3	997	6000000026164686315	Liutpold von Stade Graf zu Stade und Dithmarschen
7	4	11	3	1157	6000000012633096850	Shokushi Fujiwara
7	1	8	3	1246	6000000012624464513	
7	1	8	3	1340	6000000013029648455	
7	1	8	2	-200	6000000042341771944	Demetrius II X Bactrië, van
7	1	8	2	-200	6000000042341532432	Nn Bactrië, van
7	6	13	2	-97	6000000030501072854	Lucius Cornelius Lentulus Crus
7	9	16	2	-70	6000000003828261230	Pythodorus of Tralles
7	4	11	2	160	6000000008332955132	Julia Sabine
7	6	13	2	175	6000000001511623410	Caeionius Caeionius
7	5	12	2	245	6000000006788666727	Afranius Hanniballianus
7	7	14	2	260	6000000027212618119	Cornelius Severus
7	3	10	2	357	6000000005747717828	Dahut de Bretagne
7	1	8	2	370	6000000006101423346	Flavius Anthemius Consul
7	1	8	2	500	6000000004324933245	Pastor d'Orléans
7	3	10	2	935	6000000000424732334	Papia Poppée Poppa de Enver Concubine
7	3	10	2	955	6000000031245942949	Svetopluk Piast
7	5	12	2	969	6000000002187639901	Judith of Hungary
7	3	10	2	1015	4255285605760040512	Thetberge NN
7	1	8	2	1060	6000000014124060560	Adélaïde d'Albon
7	4	11	2	1070	6000000039029830093	Ermentrudis van Viesville
7	3	10	2	1070	6000000009551582667	Beatrix
7	4	11	2	1080	6000000066609341855	NN daughter of Osselukh
7	1	8	2	1092	6000000181114881824	Gertrude von Habsburg
7	1	8	2	1098	6000000004286817151	
7	3	10	2	1103	6000000049410748009	Eva de Courlandon
7	1	8	2	1119	6000000025582445283	
7	2	9	2	1132	6000000010810324902	Munån Ålesson
7	5	12	2	1150	6000000000034930142	Ximena Ordóñez
7	1	8	2	1163	6000000002188307136	
7	8	15	2	1177	6000000006101264760	William Plantagenet
7	3	10	2	1180	6000000200019868837	Niels Oxlev
7	3	10	2	1182	6000000009187548228	Gottschalk II von Plesse
7	2	9	2	1185	6000000003827573964	Blandine de Cicon
7	13	20	2	1196	6000000023384276039	John Johann of von Thuringia
7	3	10	2	1210	6000000008567666686	Geoffroi II d'Aspremont Sire d'Aspremont et de Dun
7	1	8	2	1211	6000000003827731750	
7	4	11	2	1212	6000000003897534181	Unknown
7	6	13	2	1216	6000000002187911279	John Brienne de Jerusalem crown prince of Armenia
7	1	8	2	1216	6000000035950519419	
7	6	13	2	1235	6000000199327491821	Saxe Eriksson Vendelbo
7	3	10	2	1282	6000000025412052680	
7	2	9	2	1290	6000000014889949324	Fernão Dias de Barros
7	1	8	2	1315	6000000052544026898	
7	2	9	2	1325	6000000009244039224	
7	1	8	2	1344	6000000009874966939	
7	6	13	2	1351	6000000006444226531	Jeanne Blanche de Valois
7	1	8	2	1363	6000000063322456841	
7	1	8	2	1380	6000000021661077895	
7	1	8	2	1400	6000000010219733532	Brites de Ataíde
7	2	9	2	1420	6000000027357621209	
7	1	8	2	1429	6000000029470099425	
7	1	8	2	1490	6000000016155677164	
7	1	8	2	1510	6000000003646023279	
7	5	12	2	1526	6000000005222940225	
7	3	10	2	1530	6000000004214114185	Nils Skanderborg
6	5	11	16	1594	6000000001752114117	
6	7	13	13	1579	6000000001750900591	
6	6	12	8	1150	6000000011819450682	Filip Eriksson
6	10	16	8	1207	6000000008231029898	Leopold von Babenberg Herzog von Österreich
6	10	16	8	1210	6000000008231377497	Gertrud av Österike Babenberg
6	9	15	8	1265	6000000010802393267	Alfonso 'el Liberal' de Aragón III
6	2	8	7	1580	6000000001751704574	
6	9	15	6	1030	6000000006906563530	Hermann Prinz von Sachsen
6	5	11	6	1077	6000000010071442420	Sigrid Torildsdotter
6	4	10	6	1100	6000000031037763310	Brigida Håkonsdatter
6	2	8	6	1528	6000000001893668943	
6	1	7	6	1560	6000000006903931050	
6	2	8	6	1582	6000000005607362479	
6	10	16	5	1059	6000000020651927076	Vratislav Przemyslides
6	10	16	5	1061	6000000020651724777	Ludmila Przemyslides
6	2	8	5	1227	6000000014571490084	
6	4	10	4	958	6000000002434111282	Basilus II Bulgaroktonos Byzantine Emperor
6	4	10	4	1019	6000000000770904326	Bjørn Ulfssøn Estridsøn Jarl af Danmark
6	4	10	4	1035	6000000002893037426	Reidar Halvdansson
6	8	14	4	1050	6000000017917237051	Anna of the Kumans
6	3	9	4	1065	6000000009979241807	Ogmund Sveinsson
6	8	14	4	1070	6000000002188303602	Rostislav Vsevolodovich Mikhail Rurikid Prince of Pereyaslav
6	2	8	4	1090	6000000003243181857	Poncette Adélaïde de Traves Dame of Traves
6	5	11	4	1180	6000000007453749325	Ragnvald Hallkjellson Huk
