geni_id	descendants	ancestors	blood_relatives
6000000015888585019	188	15000	15000
6000000057295931967	0	15000	15000
6000000186892417824	0	2588	15000
6000000015271163985	1	15000	15000
6000000197069007832	0	5837	15000
6000000015863389894	1	9499	15000
6000000208013649570	0	15000	15000
6000000065664416833	814	15000	15000
6000000180808811841	0	5978	15000
6000000025594617600	0	15000	15000
6000000002188416171	4	15000	15000
6000000024582490028	49	15000	15000
6000000021582620387	336	15000	15000
6000000208492448750	4	10339	15000
6000000173870458959	0	6383	15000
6000000118974471821	0	8883	15000
6000000001435355948	0	14269	15000
6000000093436722060	0	10403	15000
6000000025350092979	0	12170	15000
6000000076608690891	0	9406	15000
6000000114943301835	352	8148	15000
6000000002188368679	0	15000	15000
6000000015824265148	1	15000	15000
6000000221290521824	0	5733	15000
6000000014466957291	15	13459	15000
6000000203787010831	0	15000	15000
6000000008868130295	0	991	15000
6000000084458159062	84	5934	15000
6000000027022077383	0	15000	15000
6000000103645322729	2	15000	15000
6000000005065663086	109	5535	15000
6000000224569033847	0	10505	15000
6000000015119079161	904	6900	15000
6000000050284353842	0	13445	15000
6000000002008907893	2219	6381	15000
6000000003512522293	5	5978	15000
6000000032579099343	0	15000	15000
6000000002590350514	38	5964	15000
6000000001435355170	0	12367	15000
6000000185141154822	0	14760	15000
