sv_title	qid	kind	search
Abraham Abrahami Burman	Q16165476	unknown	"site:geni.com ""Abraham Abrahami Burman"""
Adolf Fredrik Wijnbladh	Q55874258	person	"site:geni.com ""Adolf Fredrik Wijnbladh"""
Adolf Ludvig Piper	Q6050268	person	"site:geni.com ""Adolf Ludvig Piper"""
Adolph von Engeström	Q5712203	person	"site:geni.com ""Adolph von Engeström"""
Andreas Grubb	Q5773237	unknown	"site:geni.com ""Andreas Grubb"""
Andreas Laurentii Björnram	Q1406584	person	"site:geni.com ""Andreas Laurentii Björnram"""
Andreas Nicolai Arctman	Q16158551	unknown	"site:geni.com ""Andreas Nicolai Arctman"""
Andreas Nicolai Bothniensis	Q16649984	unknown	"site:geni.com ""Andreas Nicolai Bothniensis"""
Andreas Petri Grubb	Q16649300	person	"site:geni.com ""Andreas Petri Grubb"""
Andreas Solenblomma	Q6183159	person	"site:geni.com ""Andreas Solenblomma"""
Anna Snifs	Q134081367	unknown	"site:geni.com ""Anna Snifs"""
Aron Isak Silfversparre	Q6175923	unknown	"site:geni.com ""Aron Isak Silfversparre"""
Aurore von Haxthausen	Q1195436	person	"site:geni.com ""Aurore von Haxthausen"""
Axel Johan Gripenhielm	Q5772249	person	"site:geni.com ""Axel Johan Gripenhielm"""
Birger Fredrik Rothoff	Q6081414	unknown	"site:geni.com ""Birger Fredrik Rothoff"""
Boije af Gennäs	Q4090354	unknown	"site:geni.com ""Boije af Gennäs"""
Bratt af Höglunda	Q10434874	unknown	"site:geni.com ""Bratt af Höglunda"""
Brita Behm	Q10435656	person	"site:geni.com ""Brita Behm"""
Brita Catharina Lidbeck	Q4962004	person	"site:geni.com ""Brita Catharina Lidbeck"""
Brynolf Hesselgren	Q16649376	unknown	"site:geni.com ""Brynolf Hesselgren"""
Carl Albrecht Rosenadler	Q6165670	unknown	"site:geni.com ""Carl Albrecht Rosenadler"""
Carl Birger Rutström	Q6084610	unknown	"site:geni.com ""Carl Birger Rutström"""
Carl Bunge	Q19631559	person	"site:geni.com ""Carl Bunge"""
Carl Fredric Nordenskiöld den yngre	Q6014711	person	"site:geni.com ""Carl Fredric Nordenskiöld den yngre"""
Carl Fredrik Eneskjöld	Q16649175	unknown	"site:geni.com ""Carl Fredrik Eneskjöld"""
Carl Fredrik Weltzin	Q6235485	unknown	"site:geni.com ""Carl Fredrik Weltzin"""
Carl Gripenhielm	Q5772257	person	"site:geni.com ""Carl Gripenhielm"""
Carl Gustaf Bungencrona	Q5589965	unknown	"site:geni.com ""Carl Gustaf Bungencrona"""
Carl Gustaf Spens (militär)	Q6185468	person	"site:geni.com ""Carl Gustaf Spens"""
Carl Gustaf Spens (ämbetsman)	Q6185472	person	"site:geni.com ""Carl Gustaf Spens"""
Carl Hofverberg	Q5809299	unknown	"site:geni.com ""Carl Hofverberg"""
Carl Johan Knös	Q5916183	person	"site:geni.com ""Carl Johan Knös"""
Carl Leijell	Q5944894	unknown	"site:geni.com ""Carl Leijell"""
Carl Odelstierna	Q6022338	person	"site:geni.com ""Carl Odelstierna"""
Carl Rinman	Q6164895	person	"site:geni.com ""Carl Rinman"""
Carl Schultén (1677–1730)	Q6169558	person	"site:geni.com ""Carl Schultén"""
Carl Stridsberg	Q19976100	unknown	"site:geni.com ""Carl Stridsberg"""
Carl Wijnbladh	Q6241109	person	"site:geni.com ""Carl Wijnbladh"""
Carl von Roland	Q6077169	unknown	"site:geni.com ""Carl von Roland"""
Carolina Weltzin	Q4990278	unknown	"site:geni.com ""Carolina Weltzin"""
Casten Feif	Q5727161	unknown	"site:geni.com ""Casten Feif"""
Catharina Cederström	Q10443915	person	"site:geni.com ""Catharina Cederström"""
Catharina Elisabet Grubb	Q4988599	person	"site:geni.com ""Catharina Elisabet Grubb"""
Charlotta Åkerhielm	Q4991042	person	"site:geni.com ""Charlotta Åkerhielm"""
Charlotte Manderström	Q16595793	person	"site:geni.com ""Charlotte Manderström"""
Christiernus Alsinius	Q19976198	unknown	"site:geni.com ""Christiernus Alsinius"""
Claes Rålamb (landshövding)	Q6086476	person	"site:geni.com ""Claes Rålamb"""
David Ludvig Silfverstolpe	Q19976089	person	"site:geni.com ""David Ludvig Silfverstolpe"""
De la Motte	Q10467383	unknown	"site:geni.com ""De la Motte"""
Eberhard Zacharias Munck af Rosenschöld	Q6155408	person	"site:geni.com ""Eberhard Zacharias Munck af Rosenschöld"""
Elias Frondin	Q5745634	person	"site:geni.com ""Elias Frondin"""
Elias Palmskiöld	Q6034059	unknown	"site:geni.com ""Elias Palmskiöld"""
Emanuel Rothoff	Q6081422	unknown	"site:geni.com ""Emanuel Rothoff"""
Emil von Troil	Q6215508	unknown	"site:geni.com ""Emil von Troil"""
Eric Melander	Q19976047	person	"site:geni.com ""Eric Melander"""
Eric Nordewall	Q6014941	unknown	"site:geni.com ""Eric Nordewall"""
Eric Waldius	Q16650560	unknown	"site:geni.com ""Eric Waldius"""
Erich Gustaf Boije	Q5580885	person	"site:geni.com ""Erich Gustaf Boije"""
Ericus Johannis Fluur	Q16649233	unknown	"site:geni.com ""Ericus Johannis Fluur"""
Erik Benzelstierna	Q5570923	person	"site:geni.com ""Erik Benzelstierna"""
Erik Bergstedt	Q5573103	unknown	"site:geni.com ""Erik Bergstedt"""
Erik Eriksson Borgström	Q10487644	unknown	"site:geni.com ""Erik Eriksson Borgström"""
Erik Eriksson Niurenius	Q6012886	unknown	"site:geni.com ""Erik Eriksson Niurenius"""
Erik Waller (biskop)	Q6230837	person	"site:geni.com ""Erik Waller"""
Fale Abrahamsson Burman	Q17154112	unknown	"site:geni.com ""Fale Abrahamsson Burman"""
Forssell (släkt i Västerbotten)	Q10498173	unknown	"site:geni.com ""Forssell"""
