qid	geni_id	en_label	en_description
Q10087177	6000000074787646989	Yao Shu	Yuan dynasty person CBDB = 27889
Q10107750	6000000074698434144	Kong Yanzhi	Song dynasty person (CBDB = 902)
Q10115605	6000000074703431263	Sun Zude	Song dynasty person (CBDB = 3785)
Q10120827	6000000075427343824	Meng binyu	Song dynasty person CBDB = 42572
Q10125270	6000000075481396885	Sun Sigong	Song dynasty person CBDB = 45242
Q10125565	6000000074703721018	Sun Bian	Song dynasty person (CBDB = 1541)
Q10127704	6000000074703880937	Sun Changqing	Song dynasty person (CBDB = 1514)
Q10161951	6000000075422982857	An Shouliang	Song dynasty person (CBDB = 39363)
Q10184707	6000000075414586929	Song Xi	Ming dynasty person CBDB = 35537
Q10195137	6000000038201385151	Song Wo	Song dynasty person (CBDB = 7066)
Q10195253	6000000075344174163	Song Hun	Tang dynasty person CBDB = 31298
Q10195480	6000000075406186194	Song Shen	Song dynasty person (CBDB = 40097)
Q10195745	6000000063343218912	Song Shou	Song dynasty person (CBDB = 1575)
Q10197451	6000000074703693225	Song Di	Song dynasty person (CBDB = 2124)
Q10233798	6000000074784871395	Xuan Zeng	Song dynasty person CBDB = 26753
Q10244158	6000000074784398185	Jia Xuanweng	Song dynasty person CBDB = 26431
Q10259846		Feng Xiaoyan	person (CBDB = 172375)
Q10259855		Feng Longzhi	person, CBDB = 148591
Q10259883	6000000075326922974	Yuchi Baolin	Tang dynasty person CBDB = 30586
Q10260387		Söse	Yuan dynasty person CBDB = 116630
Q10265294	6000000074717612001	Yin Yuan	Song dynasty person (CBDB = 4129)
Q10265327	6000000075423972039	Yin Qishen	Song dynasty person CBDB = 40224
Q10271210		Cui Peng	Tang dynasty person CBDB = 94498
Q10271262	6000000074704226057	Cui Taifu	Song dynasty person CBDB = 1684
Q10271321	6000000074716986016	Cui Xian	Tang dynasty person CBDB = 177195
Q10271512	6000000075344727977	Cui Zhaoju	Tang dynasty person CBDB = 176965
Q10271617	6000000074747851036	Cui Zhuan	Xin dynasty person CBDB = 31250
Q10271660		Cui Yixuan	person, CBDB = 150640
Q10271678	6000000075484703616	Cui Han	Song dynasty person CBDB = 48190
Q10271698	6000000074716811255	Cui Jiao	person, CBDB = 177201
Q10271786		Cui Xinggong	person (CBDB = 154187)
Q10271804	6000000074717138923	Cui Zhan	Tang dynasty person CBDB = 144846
Q10271876		Cui Xing	Tang dynasty person CBDB = 177755
Q10280081	6000000074708862446	Chang Wuming	Tang dynasty person CBDB = 33070
Q10282143	6000000075426999843	Xing Yinxun	Song dynasty person CBDB = 42275
Q10287656	6000000074783367864	Liao Deming	Song dynasty person CBDB = 25123
Q10292658	6000000074770862883	Zhang Wumeng	Song dynasty person (CBDB = 24352)
Q10293151	6000000075484126216	Zhang Duanyi	Song dynasty person (CBDB = 47287)
Q10293267	6000000074685571945	Zhang Zhiyuan	Song dynasty person CBDB = 201
Q10293285	6000000074686862899	Zhang Shunmin	Song dynasty person (CBDB = 291)
Q10293598	6000000075405056854	Zhang Qiqiu	Tang dynasty person CBDB = 33095
Q10293920	6000000075060508870	Zhang Jiugao	Tang dynasty person CBDB = 3129
