qid,source_label,ko_before_fix,ko_after_fix
Q101247444,Ingegerd Svantepolksdotter,이에게르드 스반테폴크스도테르,잉에게르드 스반테폴크스도테르
Q108615842,Mårten Bunge,모르텐 부에,모르텐 붕에
Q109296145,Charlotta Florentina Beata Ingelotz,차로타 프로렌티나 베아타 이에로츠,차로타 프로렌티나 베아타 잉에로츠
Q1335682,Emich von Leiningen,에미츠 본 레이니엔,에미츠 본 레이닝엔
Q1340404,Erik Benzelius the Younger,에리크 벤제류스 테 요우에르,에리크 벤제류스 테 요웅에르
Q141168833,Ingeborg Gurie Ådnesdatter Garborg,이에보륵 구리에 오드네스다테르 가르보륵,잉에보륵 구리에 오드네스다테르 가르보륵
Q141178200,Inger Kristoffersdatter,이에르 크리스토페르스다테르,잉에르 크리스토페르스다테르
Q141216594,Ane Maria Olsdatter Vestre Stangaland,아네 마리아 올스다테르 베스트레 스타아란드,아네 마리아 올스다테르 베스트레 스탕아란드
Q141216609,Inger Kristoffersdatter Skårland,이에르 크리스토페르스다테르 스코란드,잉에르 크리스토페르스다테르 스코란드
Q141219054,Carl Emil Cronhielm af Hakunge,칼 에밀 크론히엘므 아프 하쿠에,칼 에밀 크론히엘므 아프 하쿵에
Q141219250,Inger Sørensdatter Lima,이에르 쇠렌스다테르 리마,잉에르 쇠렌스다테르 리마
Q141219356,Ulrika Charlotta Klingenstierna,울리카 차로타 크리엔스티에르나,울리카 차로타 크링엔스티에르나
Q141223518,Jakob Bunge,자콥 부에,자콥 붕에
Q141223551,Ragnhild Ingebretsdatter Voster,락느힐드 이에브레트스다테르 보스테르,락느힐드 잉엡레트스다테르 보스테르
Q141244126,Valborg Ingebretsdatter Voster,발보륵 이에브레트스다테르 보스테르,발보륵 잉엡레트스다테르 보스테르
Q141249596,Beata Elisabet Unge,베아타 에리사베트 우에,베아타 에리사베트 웅에
Q141249607,Helena Gangia,헤레나 가이아,헤레나 강이아
Q141257237,Julie Wilkens Engebretsen,주리에 윌켄스 에에브레트센,주리에 윌켄스 엥엡레트센
Q141257311,Waldemar Leopold Engebretsen,왈데마르 레오폴드 에에브레트센,왈데마르 레오폴드 엥엡레트센
Q141268078,Maren Wangelsten Abrahamsdatter Felthuus,마렌 와엘스텐 압라함스다테르 펠투우스,마렌 왕엘스텐 압라함스다테르 펠투우스
Q141283481,Anna Helena Bunge,안나 헤레나 부에,안나 헤레나 붕에
Q141283483,Anna Margareta Engelcrona,안나 마르가레타 에엘크로나,안나 마르가레타 엥엘크로나
Q141283491,Berta Kristine Kristiansdatter Rangen,베르타 크리스티네 크리스티안스다테르 라엔,베르타 크리스티네 크리스티안스다테르 랑엔
Q141283513,Ola Berdinesson Stangeland,오라 베르디네손 스타에란드,오라 베르디네손 스탕에란드
Q141290203,Mons Evertson Stangaland,몬스 에베르트손 스타아란드,몬스 에베르트손 스탕아란드
Q141312942,Ane Maria Kristoffersdatter Stangaland,아네 마리아 크리스토페르스다테르 스타아란드,아네 마리아 크리스토페르스다테르 스탕아란드
Q141312981,Märta Haraldsdatter Stengavel,메르타 하랄드스다테르 스테아벨,메르타 하랄드스다테르 스텡아벨
Q141313496,Inga Elvira Frisk,이아 엘비라 프리스크,잉아 엘비라 프리스크
Q141318574,Salomon Kingo,사로몬 키오,사로몬 킹오
Q141318597,Ingeborg Canthera,이에보륵 칸테라,잉에보륵 칸테라
Q141318909,Erik Gustaf Klingenstierna,에리크 구스타프 크리엔스티에르나,에리크 구스타프 크링엔스티에르나
Q141318915,Ingeborg Olsdatter Søre Sunde,이에보륵 올스다테르 쇠레 순데,잉에보륵 올스다테르 쇠레 순데
Q141319194,Ingeborg Monsdatter Ølberg,이에보륵 몬스다테르 욀베륵,잉에보륵 몬스다테르 욀베륵
Q141319195,Inger Persdatter Heigre,이에르 페르스다테르 헤이그레,잉에르 페르스다테르 헤이그레
Q141336626,Marta Ingebretsdatter Risa,마르타 이에브레트스다테르 리사,마르타 잉엡레트스다테르 리사
Q141336681,Anne Margrethe Kingo,안네 마륵레테 키오,안네 마륵레테 킹오
Q141336682,Jørgen Hansen Kingo,죄르겐 한센 키오,죄르겐 한센 킹오
Q141336980,Anna Maria Wrangel af Adinal,안나 마리아 우라엘 아프 아디날,안나 마리아 우랑엘 아프 아디날
Q141337054,Helmik Tobiasson Rangen,헬미크 토비아손 라엔,헬미크 토비아손 랑엔
Q141337057,Ingeborg Olsdatter Eikeland,이에보륵 올스다테르 에이케란드,잉에보륵 올스다테르 에이케란드
Q141352528,Thorine Sophie Kinge,토리네 소피에 키에,토리네 소피에 킹에
Q141353661,Inger Pedersdatter Stokka,이에르 페데르스다테르 스토카,잉에르 페데르스다테르 스토카
Q141353668,Iver Johannesen Kinge,이베르 조한네센 키에,이베르 조한네센 킹에
Q141353714,Johannes Iversen Halvorsrud Kinge,조한네스 이베르센 할보르스루드 키에,조한네스 이베르센 할보르스루드 킹에
Q141353751,Mårten Bungencrona,모르텐 부엔크로나,모르텐 붕엔크로나
Q141353765,Rasmus Rasmusson Stangeland,라스무스 라스무손 스타에란드,라스무스 라스무손 스탕에란드
Q141381878,Carl Gustaf Bungencrona,칼 구스타프 부엔크로나,칼 구스타프 붕엔크로나
Q141381931,Carolina Johanna Klingenstierna,카로리나 조한나 크리엔스티에르나,카로리나 조한나 크링엔스티에르나
Q141382132,Ingeborg Eriksdatter Stangeland,이에보륵 에리크스다테르 스타에란드,잉에보륵 에리크스다테르 스탕에란드
Q141382139,Ingeborg Olsdatter Nor-Kolnes,이에보륵 올스다테르 노르콜네스,잉에보륵 올스다테르 노르콜네스
Q141382573,Otto August Cronhielm af Hakunge,오토 아우구스트 크론히엘므 아프 하쿠에,오토 아우구스트 크론히엘므 아프 하쿵에
Q141403502,Anna Margareta Wrangel af Sauss,안나 마르가레타 우라엘 아프 사우스,안나 마르가레타 우랑엘 아프 사우스
Q141403514,Asbjørn Leifsson Drange,아스뵈른 레이프손 드라에,아스뵈른 레이프손 드랑에
