qid,references,as_given_name,as_family_name,in_store
Q4925477,45022,yes,no,no
Q12344159,32428,yes,no,no
Q16428906,19996,yes,no,yes
Q385468,19368,yes,no,no
Q734578,19095,yes,no,no
Q2958359,18248,yes,no,no
Q677191,18032,yes,no,no
Q4927937,17549,yes,no,no
Q15921732,16216,yes,no,yes
Q1158477,15976,yes,no,yes
Q1249148,13147,yes,no,no
Q278835,12019,yes,no,no
Q4963612,10972,yes,no,no
Q564684,9201,yes,no,no
Q666578,8712,yes,no,no
Q18057751,7956,yes,no,yes
Q923,7856,yes,no,no
Q686223,7125,no,yes,no
Q471788,6735,yes,no,yes
Q18201513,6719,yes,no,yes
Q325872,6719,yes,no,no
Q2793400,6641,yes,no,no
Q1778168,6525,yes,no,no
Q1441346,6404,yes,yes,no
Q1682564,6354,yes,no,no
Q2218095,5773,yes,no,no
Q629347,5459,yes,no,no
Q1440778,5449,yes,no,no
Q4927524,5384,yes,no,yes
Q650689,4845,yes,no,no
Q3273004,4779,yes,no,no
Q11122389,4726,yes,no,no
Q264002,4292,yes,no,no
Q499249,4245,yes,no,no
Q2529610,4186,yes,no,no
Q15731830,3941,yes,no,yes
Q14038597,3847,yes,no,no
Q16275172,3837,yes,no,yes
Q4925623,3761,yes,no,no
Q804943,3705,no,yes,no
Q3480335,3682,yes,no,no
Q1158446,3597,yes,yes,no
Q1084472,3503,yes,no,no
Q839387,3497,yes,no,no
Q13376892,3481,yes,no,no
Q804886,3429,no,yes,no
Q18042461,3408,yes,no,no
Q804909,3178,no,yes,no
Q18029644,3155,yes,no,no
Q632104,3137,yes,no,no
Q632842,3114,yes,no,yes
Q11027623,3090,yes,no,yes
Q18001597,3070,yes,no,no
Q10989273,3004,yes,no,no
Q12241622,2992,yes,no,no
Q827311,2988,yes,no,no
Q541194,2959,yes,no,no
Q18121477,2938,yes,no,no
Q2897866,2934,yes,no,yes
Q2018484,2920,yes,no,no
Q12173670,2920,yes,no,yes
Q18002623,2915,yes,no,no
Q2647244,2831,yes,no,no
Q804970,2830,no,yes,no
Q804988,2827,no,yes,no
Q14516546,2798,yes,no,yes
Q14936243,2792,yes,no,no
Q1985538,2792,yes,no,no
Q558067,2777,yes,no,no
Q394431,2762,yes,no,no
Q108631,2698,yes,no,no
Q577011,2609,yes,no,no
Q2665383,2554,no,yes,no
Q16420967,2433,yes,no,no
Q2424149,2432,yes,no,no
Q988818,2421,yes,no,no
Q18028491,2419,yes,no,no
Q153957,2403,yes,no,no
Q13365715,2372,yes,no,no
Q17524931,2364,yes,no,yes
Q401836,2362,yes,no,no
Q15730712,2345,yes,no,no
Q987673,2323,yes,no,yes
Q292691,2225,yes,no,no
Q4926833,2195,yes,no,no
Q5486209,2181,yes,no,no
Q7521081,2153,yes,no,no
Q2235472,2110,yes,no,no
Q21450552,2096,no,yes,no
Q4117588,2058,yes,no,no
Q2664624,2039,no,yes,no
Q16290308,2032,yes,no,no
Q16279062,2031,yes,no,yes
Q668885,1984,yes,no,no
Q2117521,1977,yes,no,no
Q4927100,1970,yes,no,no
Q3215140,1926,yes,no,no
Q25999604,1914,yes,no,no
Q4925932,1888,yes,no,no
Q1645480,1874,no,yes,no
Q370731,1865,yes,no,no
Q1484457,1862,yes,no,no
Q16422172,1827,yes,no,no
Q1102114,1826,yes,no,no
Q2801971,1820,no,yes,no
Q950780,1819,yes,no,no
Q18002399,1816,yes,no,no
Q2737173,1811,yes,no,no
Q1242555,1808,yes,no,no
Q6583590,1803,no,yes,no
Q845069,1799,no,yes,no
Q220546,1785,yes,no,no
Q4160311,1768,yes,no,no
Q783677,1764,yes,no,no
Q13553631,1727,yes,no,no
Q989320,1723,yes,no,no
Q18145837,1722,yes,no,no
Q14942517,1721,yes,no,no
Q14159020,1718,yes,no,no
Q2302787,1716,yes,no,no
Q858305,1692,yes,no,no
Q1688722,1690,no,yes,no
Q4218918,1658,yes,no,no
Q1215200,1647,no,yes,no
Q746076,1632,yes,no,yes
Q18156180,1621,yes,no,no
Q12800811,1619,no,yes,no
Q13610143,1616,yes,no,no
Q4120836,1612,yes,no,no
Q347181,1592,yes,no,no
Q4925304,1585,yes,no,yes
Q13391907,1574,no,yes,no
Q595105,1574,yes,no,yes
Q12678727,1568,no,yes,no
Q1381706,1559,yes,no,no
Q18014868,1551,yes,no,no
Q1158570,1547,yes,no,no
Q429948,1546,yes,no,no
Q19767773,1523,yes,no,no
Q59853,1504,no,yes,no
Q1158394,1494,yes,no,no
Q1308329,1477,no,yes,no
Q1541047,1466,yes,no,no
Q644599,1457,yes,no,no
Q3276175,1443,yes,no,no
Q4518438,1415,no,yes,no
Q1158485,1411,no,yes,no
Q829665,1405,yes,no,yes
Q645412,1395,yes,no,no
Q10588869,1393,no,yes,no
Q15731850,1386,yes,no,no
Q935489,1385,yes,no,no
Q679755,1372,yes,no,no
Q7041317,1368,yes,no,no
Q2093070,1367,yes,no,no
Q4927231,1363,yes,no,no
Q845163,1361,no,yes,no
Q16290387,1353,yes,no,no
Q1076652,1346,yes,no,no
Q503607,1336,yes,no,no
Q39138052,1325,yes,no,no
Q13422248,1319,yes,no,no
Q16280865,1319,yes,no,no
Q15646212,1317,yes,no,no
Q1035239,1314,yes,no,no
Q1231089,1312,yes,no,no
Q2701900,1293,no,yes,no
Q13421990,1293,no,yes,no
Q1551523,1289,yes,yes,no
Q15080511,1283,no,yes,no
Q2110096,1281,yes,yes,no
Q42771,1276,yes,no,no
Q16860571,1274,no,yes,no
Q566893,1272,yes,no,no
Q15885954,1248,yes,no,no
Q351735,1233,no,yes,no
Q3585338,1228,yes,no,no
Q5401576,1219,yes,no,no
Q5486169,1219,yes,no,no
Q2549042,1217,no,yes,no
Q14647205,1217,yes,no,no
Q1159023,1216,yes,no,no
Q734292,1214,yes,no,no
Q294833,1208,yes,no,no
Q509729,1201,yes,no,no
Q17501806,1195,yes,no,no
Q463035,1180,yes,no,no
Q5920537,1179,yes,no,no
Q1586600,1178,yes,no,no
Q1472321,1177,yes,no,yes
Q1166840,1176,yes,no,no
Q750186,1174,yes,no,no
Q2677358,1173,no,yes,no
Q845104,1165,no,yes,no
Q1095787,1164,no,yes,no
Q14649171,1140,yes,no,no
Q709486,1139,no,yes,no
Q187309,1132,yes,no,no
Q909253,1129,yes,no,no
Q908051,1129,yes,yes,no
Q1848748,1121,no,yes,no
Q15242576,1120,no,yes,no
Q2131007,1119,yes,no,no
Q17997608,1101,yes,no,no
Q973239,1101,no,yes,no
Q1587821,1099,yes,no,yes
Q2648973,1091,yes,no,no
Q16259832,1091,no,yes,no
Q5954149,1079,yes,no,no
Q18336315,1075,yes,no,no
Q991094,1072,no,yes,no
Q18031774,1067,yes,no,no
Q590893,1066,yes,no,no
Q14936808,1054,yes,no,no
Q6081128,1051,yes,no,no
Q1454272,1047,yes,no,no
Q1158262,1036,no,yes,no
Q606764,1024,yes,no,no
Q1250282,1021,yes,no,yes
Q1605665,1012,yes,no,no
Q1158452,1011,no,yes,no
Q2803433,1010,no,yes,no
Q2732758,1010,no,yes,no
Q539581,1008,yes,no,no
Q2492643,1005,yes,no,no
Q38038024,998,yes,no,no
Q941049,996,yes,no,no
Q18145769,994,yes,no,no
Q2712864,993,no,yes,no
Q15282375,993,yes,yes,no
Q949355,993,yes,no,no
Q2438057,989,yes,no,no
Q1370330,987,yes,no,no
Q6665383,985,no,yes,no
Q1114146,983,yes,no,no
Q7141520,981,yes,no,no
Q1184721,979,no,yes,no
Q1158605,977,no,yes,no
Q1640276,968,yes,no,no
Q12788459,968,yes,no,no
Q2798428,960,no,yes,no
Q21104340,954,yes,no,no
Q2702454,946,no,yes,no
Q1165126,946,yes,no,no
Q2648323,944,yes,yes,no
Q3543591,938,no,yes,no
Q4248351,929,yes,no,no
Q4926491,916,yes,no,no
Q3623461,910,yes,yes,no
Q16747395,907,yes,no,yes
Q2594455,903,no,yes,no
Q1675463,901,yes,no,no
Q845135,901,no,yes,no
Q1605060,897,no,yes,no
Q770041,895,yes,no,no
Q1511218,887,no,yes,no
Q10313989,887,yes,no,no
Q4926263,884,yes,no,no
Q2532287,884,yes,no,no
Q1781876,884,yes,no,no
Q481809,882,yes,no,no
