token	katakana	people_blocked	state
Carl	カール	11236	single
John	ジョン	7437	single
Anders	アンデルス	6714	single
Johansson	ヨハンソン	6656	single
Andersson	アンデション	6136	single
Johanna	ヨハンナ	6050	single
Margareta	マルゲリータ	5471	single
Ole	オレ	4480	single
Thomas	トマス	4317	single
Hansen	ハンセン	4175	single
Lovisa	ロヴィーサ	3796	single
Peder	ペダー	3301	single
Otto	オットー	3277	single
Robert	ロバート	3223	single
James	ジェームズ	3054	single
Axel	アクセル	2677	single
Jens	イェンス	2573	single
Henry	ヘンリー	2560	single
Johanne	ヨハンネ	2519	single
Louise	ルイーズ	2424	single
Richard	リチャード	2138	single
Carolina	カロリーナ	2069	single
Friedrich	フリードリヒ	2046	single
Fredrika	フレデリカ	2028	single
Jane	ジェーン	1965	single
Ludvig	ルドヴィク	1747	single
Mattsson	マットソン	1715	single
Sven	スヴェン	1690	single
Stina	スティーナ	1685	single
Juana	フアナ	1615	single
Matilda	マティルダ	1536	single
Niels	ニルス	1484	single
Knut	クヌート	1463	single
González	ゴンサレス	1252	single
Sousa	スーザ	1245	single
Fernández	フェルナンデス	1227	single
Inger	インゲル	1185	single
Karolina	カロリナ	1150	single
Mathilde	マティルデ	1082	single
Rasmus	ラスマス	1065	single
Leonor	レオノール	996	single
Jacobsen	ヤコブセン	922	single
Luis	ルイス	918	single
Rasmussen	ラスムセン	911	single
Pettersson	ペッテルッソン	867	single
Emanuel	エマヌエル	861	single
Märta	メルタ	859	single
Christiane	クリスティアン	850	single
Flores	フローレス	778	single
Søren	セーレン	776	single
López	ロペス	757	single
Rodríguez	ロドリゲス	703	single
Ane	アーネ	700	single
Severin	セヴェリン	699	single
Nelson	ネルソン	692	single
Johannesen	ヨハンセン	665	single
Juho	ユホ	623	single
Einar	エイナル	620	single
Guzmán	グスマン	608	single
Ulrik	ウルリク	593	single
Jakobsen	ヤコブセン	588	single
Franz	フランツ	583	single
Pehrsson	ペーアソン	574	single
May	メイ	569	single
Beatriz	ベアトリス	564	single
Ulrica	ウルリカ	548	single
Sandberg	サンドベリ	530	single
Almeida	アルメイダ	527	single
Hilma	ヒルマ	526	single
Vasconcelos	バスコンセロス	523	single
Wright	ライト	523	single
Olaf	オラフ	521	single
Møller	ムラ	517	single
Erika	エリカ	502	single
Olaus	オラウス	499	single
Gunhild	グンヒルド	493	single
Rose	ローゼ	490	single
Inga	インガ	489	single
Francesca	フランチェスカ	485	single
Hirsch	ヒルシュ	485	single
Martins	マルティンス	485	single
Kristoffer	クリストファー	483	single
Mårtensson	モールテンッソン	482	single
Jonasson	ヨナーソン	471	single
Kaisa	カイサ	449	single
Raymond	レイモンド	436	single
Peterson	ピーターソン	435	single
Kristensen	クリステンセン	431	single
Wolff	ウルフ	428	single
Roos	ルース	427	single
Giovanna	ジョヴァンナ	426	single
Josephine	ジョゼフィン	425	single
Antoinette	アントワネット	413	single
Philipp	フィリップ	413	single
Sigurd	シグール	403	single
Ragnhild	ラグンヒルド	400	single
Herrera	エレーラ	392	single
Rhys	リス	379	single
Stephen	スティーヴン	379	single
Bror	ブロル	378	single
Stanley	スタンリー	378	single
Díaz	ディアス	375	single
Malena	マレーナ	373	single
Muñoz	ムニョス	371	single
Horn	ホーン	370	single
Tore	トーレ	370	single
Valdés	バルデス	366	single
Helge	ヘルゲ	365	single
Manuela	マヌエラ	363	single
Malene	マレン	362	single
Nicolas	ニコラス	356	single
Brandt	ブラント	352	single
Göran	ヨラン	352	single
Koch	コッホ	351	single
Fredriksson	フレデリクソン	347	single
Restrepo	レストレポ	346	single
Álvaro	アルバロ	345	single
Gertrude	ゲルトルード	343	single
Müller	ミュラー	343	single
Figueiredo	フィゲイレド	339	single
Kerstin	ケルシュティン	329	single
Margit	マルギト	325	single
Moll	モール	323	single
Owen	オーウェン	317	single
Amelia	アメリア	313	single
Kristoffersen	クリストファーセン	313	single
Winter	ウィンター	310	single
Josefine	ヨセフィン	308	single
Dias	ディアス	307	single
Susannah	スザンナ	304	single
Martinez	マルティネス	302	single
Lindqvist	リンドクヴィスト	301	single
Lucas	ルーカス	301	single
Madeleine	マドレーヌ	295	single
Conde	コンデ	292	single
Borg	ボルグ	286	single
Jackson	ジャクソン	285	single
Ragnar	ラグナル	281	single
Correa	コレア	275	single
Hagen	ハーゲン	271	single
Xavier	ザヴィア	271	single
Holger	ホルガー	267	single
Mortensen	モーテンセン	265	single
Poul	ポール	264	single
Ström	ストローム	264	single
Gudrun	グドルーン	263	single
Margarida	マルガリーダ	263	single
Yoder	ヨーダー	262	single
Alf	アルフ	259	single
Katz	カッツ	257	single
Capece	カペーチェ	256	single
Bergh	ベリ	255	single
Kustaa	クスタア	255	single
Padilla	パディーヤ	248	single
Wiese	ウィース	248	single
Adelheid	アーデルハイト	247	single
Erikson	エリクソン	243	single
Ieuan	イェイアン	243	single
Lehmann	レーマン	242	single
Lucie	リュシー	241	single
Thorvald	トールヴァル	240	single
Sundström	サンドストローム	236	single
Prado	プラド	235	single
Álvares	アルバレス	234	single
Hanson	ハンソン	232	single
Kahn	カーン	227	single
Seth	セス	227	single
Wallace	ウォーレス	226	single
Sexton	セクストン	224	single
Amund	アムンド	223	single
Moreno	モレノ | モレーノ	222	ambiguous, NOT used
Howard	ハワード	221	single
Mae	メイ	221	single
Micaela	ミカエラ	219	single
Ove	オヴェ	217	single
Suárez	スアレス	217	single
Berger	バーガー	216	single
Hildegard	ヒルデガルト	216	single
Dag	ダグ	215	single
Martinsen	マーティンセン	214	single
Iorwerth	イオワース	211	single
Aguilar	アギラール	209	single
Stein	シュタイン	209	single
Jansen	ジャンセン	207	single
Navarro	ナバーロ	207	single
Adele	アデル	206	single
Faria	ファリア	206	single
Ochoa	オチョア	205	single
Filipa	フィリパ	204	single
Jordan	ジョーダン | ホルダン	203	ambiguous, NOT used
Matthias	マティアス	200	single
Owain	オウェイン	200	single
Machado	マシャド	199	single
Salvador	サルバドール	198	single
Gösta	イェスタ	196	single
Villalobos	ビリャロボス	195	single
Michelsen	ミケルセン	194	single
Funk	フンク	193	single
Jakobson	ヤコブソン	192	single
Ulla	ウラ	187	single
Weber	ウェーバー	187	single
Björn	ビョルン	186	single
Andrés	アンドレス	185	single
Fischer	フィッシャー	185	single
Albertine	アルベルティーネ	184	single
Joakim	ヨアキム	182	single
Marit	マリット	181	single
Jiménez	ヒメネス	180	single
Linnea	リンネア	180	single
Beatrix	ベアトリクス	179	single
Solveig	ソルヴェーグ	178	single
Tickner	ティックナー	178	single
Schwartz	シュワルツ	177	single
Wallin	ヴァリン	175	single
Alvarado	アルバラード	174	single
Montgomery	モンゴメリー	172	single
Söderström	セーデルストレム	168	single
Becker	ベッカー	166	single
Rocha	ローチャ	165	single
Good	グッド	164	single
Hélène	ヘレーネ	164	single
Kornelius	コルネリウス	164	single
Neumann	ノイマン	164	single
Joaquín	ホアキン	163	single
Linde	リンデ	163	single
Sabina	サビナ	163	single
Aas	アアス	162	single
Duke	デューク	162	single
Hahn	ハーン	161	single
Ray	レイ	161	single
Gaitán	ガイタン	159	single
Grey	グレイ	159	single
Holmgren	ホルムグレン	158	single
Väinö	ヴァイノ	158	single
Clarence	クラレンス	156	single
Gaspare	ガスパーレ	156	single
Meier	マイアー	156	single
Schröder	シュレーダー	156	single
Velez	ヴェレス	154	single
Eino	エイノ	153	single
Holland	ホランド	152	single
Kjell	シェル	151	single
Sigismund	シギスムント	149	single
Hertz	ヘルツ	148	single
Mattson	マットソン	148	single
Ture	トゥーレ	147	single
Elina	エリナ	146	single
West	ウェスト	146	single
Aage	オーゲ	145	single
Martina	マルティナ	145	single
Unger	ウンガー	145	single
Roy	ロイ	144	single
Dirk	ディルク	143	single
Roth	ロス	143	single
Mejía	メヒア	142	single
Ulf	ウルフ	141	single
Armas	アルマス	140	single
Eivind	アイヴィン	140	single
Evelina	エヴェリーナ	140	single
Schwab	シュヴァーブ	140	single
Rothschild	ロートシルト	139	single
Bailey	ベイリー	138	single
Edwards	エドワーズ	138	single
Siegfried	ジークフリート	137	single
Svante	スヴァンテ	134	single
Vincent	ヴィンセント	134	single
Elisabetta	エリザベッタ	133	single
Kröger	クレーガー	133	single
Miriam	ミリアム	133	single
Niccolò	ニッコロ	133	single
Yahya	ヤヒヤ	133	single
Hernández	ヘルナンデス	132	single
Hummel	フンメル	132	single
Kenneth	ケネス	132	single
Lois	ロイス	130	single
Maurits	マウリッツ	130	single
Minnie	ミニー	130	single
Grete	グレテ	129	single
Jacobson	ジェイコブソン	129	single
Randi	ランディ	129	single
Webb	ウェッブ	128	single
Elsie	エルシー	125	single
Ortega	オルテガ	125	single
Jack	ジャック	123	single
Ditlev	ディトリウ	122	single
Peters	ピーターズ	122	single
Wells	ウェルズ	121	single
Kaarlo	カールロ	120	single
Prieto	プリエト	120	single
Jespersen	イェスペルセン	119	single
Fleischer	フライシャー	118	single
Frost	フロスト	118	single
Hayes	ヘイズ	118	single
Günther	ギュンター	117	single
Phoebe	フィービー	117	single
Sommer	ソマー	117	single
Jürgen	ユルゲン	116	single
Lina	リーナ	116	single
Elmer	エルマー	115	single
Lorenza	ロレンツァ	115	single
Sebastião	セバスチアン	115	single
Svea	スベア	115	single
Day	デイ	114	single
Mats	マッツ	114	single
Zalman	ザルマン	114	single
Chávez	チャベス	113	single
Gerrit	ヘリット	113	single
Lorenz	ローレンツ	113	single
Paulin	ポラン	113	single
Reidar	ライダル	113	single
Solís	ソリス	113	single
Jaakko	ヤアッコ	112	single
Stig	スティーグ	112	single
Long	ロング	110	single
Mora	モーラ	110	single
Nilssen	ニルッセン	110	single
Lise	リーズ	106	single
Moltke	モルトケ	106	single
Rossi	ロッシ	106	single
Silas	サイラス	105	single
Bulkeley	バークリー	104	single
Goodwin	グッドウィン	104	single
Ordóñez	オルドニェス	104	single
Mahmud	マフムード	103	single
Richter	リヒター	103	single
Samuelson	サミュエルソン	103	single
Elof	エーロフ	101	single
Georgina	ゲオルギナ	101	single
Caleb	ケイレブ	100	single
Folke	フォルケ	100	single
Gert	ゲルト	100	single
Lodewijk	ルートヴィヒ	100	single
Mina	ミナ	100	single
Priscilla	プリシラ	100	single
Carneiro	カルネイロ	99	single
Claudia	クラウディア	99	single
Falcon	ファルコン	99	single
Jessie	ジェシー	99	single
Leah	リア	99	single
Ek	エク	98	single
Clarissa	クラリッサ	97	single
Guedes	ゲヂス	97	single
Shantz	シャンツ	97	single
Wiebe	ヴィーベ	97	single
Williamson	ウィリアムソン	97	single
Malvina	マルビナ	96	single
Nagel	ネイゲル	96	single
Ebbe	エッベ	95	single
Fritiof	フリチョフ	95	single
Witt	ヴィット	95	single
Trinidad	トリニダ	94	single
Cécile	セシル	93	single
Egil	エギル	93	single
Henderson	ヘンダーソン	93	single
Komnenos	コムネノス	93	single
Melvin	メルヴィン	93	single
Reyes	レイエス	93	single
Sigvard	シグヴァルド	93	single
Beckman	ベックマン	92	single
Jeannette	ジャネット	92	single
Katharine	キャサリン	92	single
Melander	メランデル	92	single
Winckler	ウィンクラー	92	single
Gustin	ガスティン	91	single
Hildebrand	ヒルデブラント	91	single
Kirsti	キルスティ	91	single
Alberti	アルベルティ	90	single
Haakon	ホーコン	90	single
Hassan	ハッサン	90	single
