qid	roster_name	geni_ids	geni_names
Q1466794	Tanba no Yasuyori	6000000227350547867	Yasuyori Tanba
Q135524789	Tanba no Shigemitsu	6000000227350539869	Shigemitsu Tanba
Q135524790	Tanba no Kiyomasa	6000000227350480005	Kiyomasa Tanba
Q135524793	Tanba no Toshiyoshi	6000000227350512947	Toshiyoshi Tanba
Q135524794	Tanba no Tadamitsu	6000000227350551882	Tadamitsu Tanba
Q17212991	Tanba no Masatada	6000000227350486846	Masatada Tanba
Q135524795	Tanba no Shigetsune	6000000227350592846	Shigetsune Tanba
Q135524797	Tanba no Tadayasu	6000000227350480021	Tadayasu Tanba
Q135524798	Tanba no Shigeyasu	6000000227350508924	Shigeyasu Tanba
Q135524799	Tanba no Masayasu	6000000227350600828	Masayasu Tanba
Q135524801	Tanba no Nakakiyo	6000000227350588855	Nakakiyo Tanba
Q135524803	Tanba no Shigeyori	6000000227350527916	Shigeyori Tanba
Q135524804	Tanba no Yoriyasu	6000000227350466844	Yoriyasu Tanba
Q135524805	Tanba no Shigemoto	6000000227350605869	Shigemoto Tanba
Q132435802	Tanba no Shigetada	6000000227350573875	Shigetada Tanba
Q135524806	Tanba no Mikoyasu	6000000227350511019	Mikoyasu Tanba
Q135524807	Tanba no Tsuneyasu	6000000227350483979	Tsuneyasu Tanba
Q135524808	Tanba no Motoyasu	6000000227350531833	Motoyasu Tanba
Q135524809	Tanba no Tomoyasu	6000000227350556836	Tomoyasu Tanba
Q135524810	Tanba no Norimoto	6000000227350486925	Norimoto Tanba
Q135524811	Tanba no Yoritada	6000000227350739851	Yoritada Tanba
Q135524812	Tanba no Shigenaga	6000000227350590843	Shigenaga Tanba
Q135524814	Tanba no Masanaga	6000000227350508962	Masanaga Tanba
Q135524815	Tanba no Yorimoto	6000000227350557852	Yorimoto Tanba
Q135524816	Tanba no Tsunemoto	6000000227350595891	Tsunemoto Tanba
Q135524820	Tanba no Tomomoto	6000000227350639842	Tomomoto Tanba
Q135524821	Tanba no Yasuji	6000000227350450833	Yasuji Tanba
Q135524822	Tanba no Motoaki	6000000227350468920	Motoaki Tanba
Q135524823	Tanba no Nobuyasu	6000000227350605885	Nobuyasu Tanba
Q135524824	Tanba no Ikimoto	6000000227350468901	Ikimoto Tanba
Q135524826	Tanba no Tadanori	6000000227350683895	Tadanori Tanba
Q135524828	Tanba no Yasunaga	6000000227350705908	Yasunaga Tanba
Q135524829	Tanba no Arimichi	6000000227350605990	Arimichi Tanba
Q135524830	Tanba no Yoshimoto	6000000227350483988	Yoshimoto Tanba
Q135524831	Tanba no Tsunenaga	6000000227350575878	Tsunenaga Tanba
Q135524832	Tanba no Motokane	6000000227350661830	Motokane Tanba
Q135524833	Tanba no Masatsune	6000000227350468906	Masatsune Tanba
Q135524834	Tanba no Masatsugu	6000000227350504993	Masatsugu Tanba
Q135524835	Tanba no Hisamoto	6000000227350585974	Hisamoto Tanba
Q135524836	Tanba no Yorinori	6000000227350693884	Yorinori Tanba
Q135524838	Tanba no Yasutaka	6000000227350739858	Yasutaka Tanba
Q135524839	Tanba no Yasumitsu	6000000227350708868	Yasumitsu Tanba
Q135524840	Tanba no Nagatada	6000000227350705920	Nagatada Tanba
Q135524841	Tanba no Tadatoshi	6000000227350675940	Tadatoshi Tanba
Q135524842	Tanba no Yoriyuki	6000000227350587897	Yoriyuki Tanba
Q135524844	Tanba no Naganobu	6000000227350508982	Naganobu Tanba
Q135524845	Tanba no Naganaga	6000000227350612827	Naganaga Tanba
Q135524846	Tanba no Hisanaga	6000000227350468929	Hisanaga Tanba
Q135524848	Tanba no Motoyoshi	6000000227350480136	Motoyoshi Tanba
Q135524849	Tanba no Ieyasu	6000000227350611012	Ieyasu Tanba
Q135524850	Tanba no Takamoto	6000000227350703911	Takamoto Tanba
Q135524851	Tanba no Masahisa	6000000227350752844	Masahisa Tanba
Q135524852	Tanba no Masanori	6000000227350747859	Masanori Tanba
Q135524853	Tanba no Shigeuji	6000000227350733847	Shigeuji Tanba
