from	to	kind	when	permalink
Emma Leonhart 命玥	Ameno-hohi-no-mikoto 1 no Mikoto	in-law	August 24, 2026 at 1:04 AM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ameno-hohi-no-mikoto-no-Mikoto?from=6000000087535357291&path_type=inlaw&to=6000000012788527451
Emma Leonhart 命玥	Anders Andersson Burman	blood	yesterday at 1:00 AM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anders-Andersson-Burman?from=6000000087535357291&path_type=blood&to=6000000007589095414
Emma Leonhart 命玥	Søren Aabye Kierkegaard	in-law	August 19, 2026 at 3:42 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+S%C3%B8ren-Kierkegaard?from=6000000087535357291&path_type=inlaw&to=4976577905160078340
Emma Leonhart 命玥	Elisabeth Andersdotter	blood	August 25, 2026 at 10:48 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Elisabeth-Andersdotter?from=6000000087535357291&path_type=blood&to=6000000003125122695
Emma Leonhart 命玥	Søren Aabye Kierkegaard	blood	August 19, 2026 at 3:40 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+S%C3%B8ren-Kierkegaard?from=6000000087535357291&path_type=blood&to=4976577905160078340
Emma Leonhart 命玥	Sigrid Jonsdatter Seim	blood	August 19, 2026 at 3:24 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Sigrid-Seim?from=6000000087535357291&path_type=blood&to=6000000002391959353
Emma Leonhart 命玥	Væpner Amund Jonsson Holter	blood	August 19, 2026 at 3:24 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+V%C3%A6pner-Amund-Holter?from=6000000087535357291&path_type=blood&to=6000000001169313832
Emma Leonhart 命玥	Mats Amundsen Ænes	blood	August 19, 2026 at 3:24 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Mats-%C3%86nes?from=6000000087535357291&path_type=blood&to=6000000003401838954
Emma Leonhart 命玥	Ingebret Pederson Ølberg	in-law	August 19, 2026 at 3:20 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingebret-%C3%98lberg?from=6000000087535357291&path_type=inlaw&to=6000000035525972877
Emma Leonhart 命玥	Rasmus Rasmusson Rage	blood	August 19, 2026 at 3:18 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Rasmus-Rage?from=6000000087535357291&path_type=blood&to=6000000003095080287
Emma Leonhart 命玥	Peder Jensen Schielderup	blood	August 19, 2026 at 3:16 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Peder-Schielderup?from=6000000087535357291&path_type=blood&to=6000000000873947684
Emma Leonhart 命玥	Bispedatter Adriane Jensd Schielderup	blood	August 19, 2026 at 3:16 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Bispedatter-Adriane-Jensd-Schielderup?from=6000000087535357291&path_type=blood&to=6000000001506899998
Emma Leonhart 命玥	Jens Jørgensen Jørgensen	blood	August 19, 2026 at 3:16 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Jens-J%C3%B8rgensen?from=6000000087535357291&path_type=blood&to=6000000001838607806
Emma Leonhart 命玥	Ingeborg Olesdatter Kielland	blood	August 19, 2026 at 3:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingeborg-Kielland?from=6000000087535357291&path_type=blood&to=6000000006589193224
Emma Leonhart 命玥	Jakob Olsen Vestre Barstad	blood	August 19, 2026 at 3:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Jakob-Vestre-Barstad?from=6000000087535357291&path_type=blood&to=6000000012108249741
Emma Leonhart 命玥	Knut Bengtsson Sparre över Blad	blood	August 19, 2026 at 3:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Knut-Sparre-%C3%B6ver-Blad?from=6000000087535357291&path_type=blood&to=6000000031873939968
Emma Leonhart 命玥	ukjent Knutsdatter	blood	August 19, 2026 at 3:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+ukjent-Knutsdatter?from=6000000087535357291&path_type=blood&to=6000000018448055702
Emma Leonhart 命玥	Bengta Knutsdotter Liljesparre	blood	August 19, 2026 at 3:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Bengta-Liljesparre?from=6000000087535357291&path_type=blood&to=6000000003897585979
Emma Leonhart 命玥	Peder Jönsson Liljesparre, till Böjeryd	blood	August 19, 2026 at 3:08 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Peder-Liljesparre-till-B%C3%B6jeryd?from=6000000087535357291&path_type=blood&to=6000000001584801190
Emma Leonhart 命玥	Olof Pedersson Liljesparre, till Böjeryd	blood	August 19, 2026 at 3:07 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Olof-Liljesparre-till-B%C3%B6jeryd?from=6000000087535357291&path_type=blood&to=6000000002893316227
Emma Leonhart 命玥	Osmund Taraldsen Augland	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Osmund-Augland?from=6000000087535357291&path_type=blood&to=6000000005581573549
Emma Leonhart 命玥	Aase Taraldsdatter Skjævesland-Omland	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Aase-Skj%C3%A6vesland-Omland?from=6000000087535357291&path_type=blood&to=6000000011769042441
Emma Leonhart 命玥	Gunnlaug Tostensdatter Vestre Barstad	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gunnlaug-Vestre-Barstad?from=6000000087535357291&path_type=blood&to=6000000006776187410
Emma Leonhart 命玥	Ingeborg Taraldsdatter Vestre Barstad	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingeborg-Vestre-Barstad?from=6000000087535357291&path_type=blood&to=6000000006776187394
Emma Leonhart 命玥	Ola Jakobson Vestre Barstad	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ola-Vestre-Barstad?from=6000000087535357291&path_type=blood&to=6000000006776187362
Emma Leonhart 命玥	Ola Alvson Særheim	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ola-S%C3%A6rheim?from=6000000087535357291&path_type=blood&to=6000000005609547691
Emma Leonhart 命玥	Stine Olsdatter Bore	blood	August 19, 2026 at 3:02 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Stine-Bore?from=6000000087535357291&path_type=blood&to=6000000002866077692
Emma Leonhart 命玥	Jarl Paul Thorfinnsson, av Orknøyene	blood	August 19, 2026 at 2:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Jarl-Paul-av-Orkn%C3%B8yene?from=6000000087535357291&path_type=blood&to=6000000000424848932
Emma Leonhart 命玥	Erlend Thorfinsson, Jarl of Orkney and Caithness	blood	August 19, 2026 at 2:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Erlend-Thorfinsson-Jarl-of-Orkney-and-Caithness?from=6000000087535357291&path_type=blood&to=6000000003646023907
Emma Leonhart 命玥	Gunhild Erlendsdóttir	blood	August 19, 2026 at 2:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gunhild-Erlendsd%C3%B3ttir?from=6000000087535357291&path_type=blood&to=6000000001169154976
Emma Leonhart 命玥	Serker Jonsen	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Serker-Jonsen?from=6000000087535357291&path_type=blood&to=6000000003646023820
Emma Leonhart 命玥	Bård Bartholomeus Serkerson Talgje	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+B%C3%A5rd-Bartholomeus-Talgje?from=6000000087535357291&path_type=blood&to=6000000007225974316
Emma Leonhart 命玥	Karlshovud Bårdson Kaupanger	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Karlshovud-Kaupanger?from=6000000087535357291&path_type=blood&to=6000000005607365269
Emma Leonhart 命玥	Bård Karlshøvudsson	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+B%C3%A5rd-Karlsh%C3%B8vudsson?from=6000000087535357291&path_type=blood&to=6000000002893335701
Emma Leonhart 命玥	Herborg Bårdsdotter Norheim	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Herborg-Norheim?from=6000000087535357291&path_type=blood&to=6000000003012468747
Emma Leonhart 命玥	Gyrid Sigurdsdatter Torsnes	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gyrid-Torsnes?from=6000000087535357291&path_type=blood&to=6000000004214433404
Emma Leonhart 命玥	Fartegn Filippusson Semeleng	blood	August 19, 2026 at 2:57 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Fartegn-Semeleng?from=6000000087535357291&path_type=blood&to=6000000014512537406
Emma Leonhart 命玥	Anna Farteinsdatter Semeleng	blood	August 19, 2026 at 2:56 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Semeleng?from=6000000087535357291&path_type=blood&to=6000000005609458561
Emma Leonhart 命玥	Fartegn Matsson	blood	August 19, 2026 at 2:56 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Fartegn-Matsson?from=6000000087535357291&path_type=blood&to=6000000000574078388
Emma Leonhart 命玥	Olav Fartegnsen Bagge	blood	August 19, 2026 at 2:55 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Olav-Bagge?from=6000000087535357291&path_type=blood&to=6000000003332823073
Emma Leonhart 命玥	Fartegn Olavsen Bagge	blood	August 19, 2026 at 2:55 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Fartegn-Olavsen-Bagge?from=6000000087535357291&path_type=blood&to=6000000003332799114
Emma Leonhart 命玥	Birgitte Fartegnsd Bagge	blood	August 19, 2026 at 2:55 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Birgitte-Bagge?from=6000000087535357291&path_type=blood&to=6000000005382299298
Emma Leonhart 命玥	Anna Børgesd Aubø	blood	August 19, 2026 at 2:55 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Aub%C3%B8?from=6000000087535357291&path_type=blood&to=6000000005381997903
Emma Leonhart 命玥	Anna Osmundsd Stokka	blood	August 19, 2026 at 2:55 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Osmundsd-Stokka?from=6000000087535357291&path_type=blood&to=6000000005609304839
Emma Leonhart 命玥	Erik Andersson	blood	August 19, 2026 at 2:54 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Erik-Andersson?from=6000000087535357291&path_type=blood&to=6000000047943564981
Emma Leonhart 命玥	Per Andersson Storskytt	blood	August 19, 2026 at 2:54 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Per-Andersson-Storskytt?from=6000000087535357291&path_type=blood&to=6000000011078829655
Emma Leonhart 命玥	Margareta / Märta Jonsdotter	blood	August 19, 2026 at 2:51 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Margareta-M%C3%A4rta-Jonsdotter?from=6000000087535357291&path_type=blood&to=6000000011079271617
Emma Leonhart 命玥	Margareta / Maria Persdotter	blood	August 19, 2026 at 2:51 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Margareta-Maria-Persdotter?from=6000000087535357291&path_type=blood&to=6000000011078549071
Emma Leonhart 命玥	Benjamin Mårtensson	blood	August 19, 2026 at 2:51 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Benjamin-M%C3%A5rtensson?from=6000000087535357291&path_type=blood&to=6000000011078886609
Emma Leonhart 命玥	Maria Benjaminsdotter	blood	August 19, 2026 at 2:51 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Maria-Benjaminsdotter?from=6000000087535357291&path_type=blood&to=6000000011078807545
Emma Leonhart 命玥	Anna Olofsdotter	blood	August 19, 2026 at 2:49 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Olofsdotter?from=6000000087535357291&path_type=blood&to=6000000073132490036
Emma Leonhart 命玥	Hovpräst Andreas Nicolai	blood	August 19, 2026 at 2:47 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Hovpr%C3%A4st-Andreas-Nicolai?from=6000000087535357291&path_type=blood&to=6000000007511564057
Emma Leonhart 命玥	Elin Nilsdotter	blood	August 19, 2026 at 2:47 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Elin-Nilsdotter?from=6000000087535357291&path_type=blood&to=4984086862270100347
Emma Leonhart 命玥	Nils Andersson Burman	blood	August 19, 2026 at 2:47 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Nils-Burman?from=6000000087535357291&path_type=blood&to=349440463640013536
Emma Leonhart 命玥	Margareta Nilsdotter	blood	August 19, 2026 at 2:47 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Margareta-Nilsdotter?from=6000000087535357291&path_type=blood&to=6000000017799612472
Emma Leonhart 命玥	NN Jonsdotter	blood	August 19, 2026 at 2:47 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+NN-Jonsdotter?from=6000000087535357291&path_type=blood&to=6000000017093875188
Emma Leonhart 命玥	Richard III, vicomte de Rodez	blood	August 19, 2026 at 2:45 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Richard-III-vicomte-de-Rodez?from=6000000087535357291&path_type=blood&to=6000000004869049343
Emma Leonhart 命玥	Gilbert I, vicomte de Millau et Gévaudan	blood	August 19, 2026 at 2:45 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gilbert-I-vicomte-de-Millau-et-G%C3%A9vaudan?from=6000000087535357291&path_type=blood&to=6000000000186421249
Emma Leonhart 命玥	Bela III, king of Hungary	blood	August 19, 2026 at 2:43 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Bela-III-king-of-Hungary?from=6000000087535357291&path_type=blood&to=6000000001821102369
Emma Leonhart 命玥	Euphrosyne of Kiev	blood	August 19, 2026 at 2:42 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Euphrosyne-of-Kiev?from=6000000087535357291&path_type=blood&to=6000000003858704239
Emma Leonhart 命玥	Ingeborg of Kiev	blood	August 19, 2026 at 2:42 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingeborg-of-Kiev?from=6000000087535357291&path_type=blood&to=6000000007958767639
Emma Leonhart 命玥	Valdemar the Great, King of Denmark	blood	August 19, 2026 at 2:42 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Valdemar-the-Great-King-of-Denmark?from=6000000087535357291&path_type=blood&to=5305294636990124817
Emma Leonhart 命玥	Asako Eishō-kōtaigō (Kujō)	in-law	August 19, 2026 at 2:41 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Asako-Eish%C5%8D-k%C5%8Dtaig%C5%8D-Kuj%C5%8D?from=6000000087535357291&path_type=inlaw&to=6000000012593614229
Emma Leonhart 命玥	Bojo Nobuko	in-law	August 19, 2026 at 2:40 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Bojo-Nobuko?from=6000000087535357291&path_type=inlaw&to=6000000227331374836
Emma Leonhart 命玥	Prince Myōkōgein (妙香華院)	in-law	August 19, 2026 at 2:44 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Prince-My%C5%8Dk%C5%8Dgein-%E5%A6%99%E9%A6%99%E8%8F%AF%E9%99%A2?from=6000000087535357291&path_type=inlaw&to=6000000227331261851
Emma Leonhart 命玥	Mako	in-law	August 19, 2026 at 2:35 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Mako?from=6000000087535357291&path_type=inlaw&to=6000000010699810345
Emma Leonhart 命玥	Yasuhito (prince chichibu) Aido	in-law	August 19, 2026 at 2:35 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+private?from=6000000087535357291&path_type=inlaw&to=6000000006602048220
Emma Leonhart 命玥	Urraca de Portugal, reina consorte de León	blood	August 19, 2026 at 2:32 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Urraca-de-Portugal-reina-consorte-de-Le%C3%B3n?from=6000000087535357291&path_type=blood&to=5271489675500023723
Emma Leonhart 命玥	Jon Trondson Benkestok	blood	August 19, 2026 at 2:25 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Jon-Benkestok?from=6000000087535357291&path_type=blood&to=6000000002017898070
Emma Leonhart 命玥	竇 (Dòu)鳴犢 (Míng dú)	in-law	August 19, 2026 at 2:23 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+%E9%B3%B4%E7%8A%A2-M%C3%ADng-d%C3%BA-%E7%AB%87-D%C3%B2u?from=6000000087535357291&path_type=inlaw&to=6000000037220385053
Emma Leonhart 命玥	Afonso II, o Gordo, rei de Portugal	blood	August 19, 2026 at 2:18 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Afonso-II-o-Gordo-rei-de-Portugal?from=6000000087535357291&path_type=blood&to=6000000001412881746
Emma Leonhart 命玥	Hanna Danielsdatter Frafjord	in-law	August 19, 2026 at 2:16 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Hanna-Frafjord?from=6000000087535357291&path_type=inlaw&to=6000000008961666136
Emma Leonhart 命玥	Anna Adriansdatter Falkener	blood	August 19, 2026 at 2:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Falkener?from=6000000087535357291&path_type=blood&to=6000000007635630965
Emma Leonhart 命玥	Gjert Clausson Miltzow	blood	August 19, 2026 at 2:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gjert-Miltzow?from=6000000087535357291&path_type=blood&to=6000000002163543379
Emma Leonhart 命玥	Henrik Gjertsen Gjertsen Miltzow	blood	August 19, 2026 at 2:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Henrik-Gjertsen-Miltzow?from=6000000087535357291&path_type=blood&to=6000000008115048412
Emma Leonhart 命玥	Maria Toresdatter Hogstad	in-law	August 19, 2026 at 2:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Maria-Hogstad?from=6000000087535357291&path_type=inlaw&to=6000000023250155337
Emma Leonhart 命玥	Ola Marselius Eriksen Hogstad	in-law	August 19, 2026 at 2:13 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ola-Marselius-Hogstad?from=6000000087535357291&path_type=inlaw&to=6000000202543587856
Emma Leonhart 命玥	Yoshiko Nakayama	in-law	August 19, 2026 at 2:12 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Yoshiko-Nakayama?from=6000000087535357291&path_type=inlaw&to=6000000011626949543
Emma Leonhart 命玥	Nils Torsteinson Kjosavik	blood	August 19, 2026 at 2:11 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Nils-Kjosavik?from=6000000087535357291&path_type=blood&to=6000000003095060610
Emma Leonhart 命玥	Gunnhild Rasmusdatter Kalberg	blood	August 19, 2026 at 2:11 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Gunnhild-Kalberg?from=6000000087535357291&path_type=blood&to=6000000035525393426
Emma Leonhart 命玥	Sukehito Kan'innomiya	in-law	August 19, 2026 at 2:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Sukehito-Kan-innomiya?from=6000000087535357291&path_type=inlaw&to=6000000011626877598
Emma Leonhart 命玥	Tomohito Kokaku-tenno	in-law	August 19, 2026 at 2:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Tomohito-Kokaku-tenno?from=6000000087535357291&path_type=inlaw&to=6000000011626837071
Emma Leonhart 命玥	Ayahito Ninko-tenno	in-law	August 19, 2026 at 2:30 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ayahito-Ninko-tenno?from=6000000087535357291&path_type=inlaw&to=6000000011626949470
Emma Leonhart 命玥	Osahito Komei-tennō	in-law	August 19, 2026 at 2:44 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Osahito-Komei-tenn%C5%8D?from=6000000087535357291&path_type=inlaw&to=6000000012035508955
Emma Leonhart 命玥	Mutsuhito Meiji-tennō, Emperor Meiji of Japan	in-law	August 19, 2026 at 2:39 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Mutsuhito-Meiji-tenn%C5%8D-Emperor-Meiji-of-Japan?from=6000000087535357291&path_type=inlaw&to=6000000011627000232
Emma Leonhart 命玥	Anna Reiersdatter Oswald	in-law	August 19, 2026 at 2:09 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Oswald?from=6000000087535357291&path_type=inlaw&to=6000000036357505108
Emma Leonhart 命玥	Yoshihito Taishō-tennō, Emperor Taisho of Japan	in-law	August 19, 2026 at 2:37 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Yoshihito-Taish%C5%8D-tenn%C5%8D-Emperor-Taisho-of-Japan?from=6000000087535357291&path_type=inlaw&to=6000000011626767474
Emma Leonhart 命玥	Peter I, count of Savoy	blood	August 19, 2026 at 2:06 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Peter-I-count-of-Savoy?from=6000000087535357291&path_type=blood&to=6000000000437316601
Emma Leonhart 命玥	Amadeus II, count of Savoy	blood	August 19, 2026 at 2:04 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Amadeus-II-count-of-Savoy?from=6000000087535357291&path_type=blood&to=6000000000196218118
Emma Leonhart 命玥	"Humbert II, count of Savoy ""the Fat"""	blood	August 19, 2026 at 2:04 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Humbert-II-count-of-Savoy-the-Fat?from=6000000087535357291&path_type=blood&to=6000000000135924403
Emma Leonhart 命玥	"Amadeus III, count of Savoy ""the crusader"""	blood	August 19, 2026 at 2:04 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Amadeus-III-count-of-Savoy-the-crusader?from=6000000087535357291&path_type=blood&to=6000000000437044109
Emma Leonhart 命玥	Mafalda de Saboia, rainha consorte de Portugal	blood	August 19, 2026 at 2:04 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Mafalda-de-Saboia-rainha-consorte-de-Portugal?from=6000000087535357291&path_type=blood&to=6000000000666780234
Emma Leonhart 命玥	Povel Christensen Thrane	blood	August 19, 2026 at 1:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Povel-Thrane?from=6000000087535357291&path_type=blood&to=6000000003492064709
Emma Leonhart 命玥	Kirsten Christensdatter Thrane	blood	August 19, 2026 at 1:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Kirsten-Thrane?from=6000000087535357291&path_type=blood&to=6000000001838879990
Emma Leonhart 命玥	Lisbeth Jensdatter Trane	blood	August 19, 2026 at 1:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Lisbeth-Trane?from=6000000087535357291&path_type=blood&to=6000000002916189513
Emma Leonhart 命玥	Lisbet Henriksdatter Schurmann	blood	August 19, 2026 at 1:58 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Lisbet-Schurmann?from=6000000087535357291&path_type=blood&to=6000000003253460860
Emma Leonhart 命玥	Princess Eufemia Eriksdotter von Sweden	in-law	August 19, 2026 at 1:50 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Princess-Eufemia-Eriksdotter-von-Sweden?from=6000000087535357291&path_type=inlaw&to=4077390
Emma Leonhart 命玥	Ingeborg of Norway	in-law	August 19, 2026 at 1:50 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingeborg-of-Norway?from=6000000087535357291&path_type=inlaw&to=4077210
Emma Leonhart 命玥	Ingeborg of Norway	blood	August 19, 2026 at 1:50 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Ingeborg-of-Norway?from=6000000087535357291&path_type=blood&to=4077210
Emma Leonhart 命玥	Anna Olsdatter Bakken	in-law	August 19, 2026 at 1:48 PM	https://www.geni.com/path/Emma-Leonhart-%E5%91%BD%E7%8E%A5+is+related+to+Anna-Bakken?from=6000000087535357291&path_type=inlaw&to=6000000006991041605
