qid,geni_id,label,countries,occupation_count
Q100151886,6000000008269873705,Nicolaus Magni Becchius,Sweden,1
Q100158315,6000000003218900305,Peter Jacob Barthold Coucheron,Norway,3
Q100233657,6000000132386588821,Alfred Fehrling,Sweden,1
Q100255729,6000000015778961046,Jens Grønbech Døderlein,Norway,1
Q100268170,6000000152196140834,Tauno Valkama,Finland,1
Q100272554,6000000000651355148,Knut Anthoni,Finland,1
Q100272570,6000000058045870012,Aleksanteri Vihonen,Finland,1
Q100292575,6000000022910292684,Johan Ulrich Gustav Schenck,Norway,1
Q100321851,6000000000534781162,Martin Seth,Sweden,1
Q100323030,6000000002760990761,Fredrik Hellman,Finland,1
Q100328515,6000000074112233911,Ole Ulfert Brunbas Lied,Norway,2
Q100350931,6000000077866862048,Per Heribertson,Sweden,1
Q100352817,6000000000149796881,Jonas Beronius,Sweden,1
Q100403412,6000000019188210931,Clemens Thue Samsing,Norway,1
Q100494451,6000000021913531271,Hans Iver Horn,Norway,2
Q100557213,6000000006590073019,Olof Melin,Sweden,1
Q100604750,6000000020792387415,Axel Fiske,Norway,3
Q100694137,302322780820001302,Kurt Andersson,Sweden,1
Q100714891,6000000005790271769,Juliane Solbraa-Bay,Norway,2
Q100780380,6000000013906567667,Aarne Wuorenheimo,Finland,2
Q100800069,6000000077640012708,Igor Karpinsky,Finland,2
Q100964973,6000000160110289822,Esko Kähkönen,Finland,2
Q100968238,6000000077821097789,Pehr Wahlström,Sweden,1
Q100983607,6000000002797447319,Märta Starnberg,Sweden,1
Q100988081,6000000065637008045,Väinö Kolhonen,Finland,2
Q100990634,6000000000316645702,Jarl Bjelke,Sweden,1
Q100997673,6000000003227877608,Erik Cederberg,Finland,1
Q100997794,6000000046225348778,Johan Peter Wallin,Sweden,1
Q101003185,6000000124635814946,Gunnar Lindgren,Finland,1
Q101010841,6000000069699383833,Wäinö Sarviala,Finland,1
Q1010446,6000000077588908325,Gil Andersen,Norway,2
Q101063775,6000000073547172837,Juho Kemppainen,Finland,1
Q101063791,6000000001052884904,Arvid Thorsten Birger Genetz,Finland,1
Q101070057,6000000039493239300,Peter Albert Benum,Norway,2
Q101094873,6000000133718772822,Aimo Lahti,Finland,1
Q101096066,6000000013080561859,Johan Bergwall,Sweden,0
Q101137749,6000000018973744516,Dagne Arnung,Norway | Sweden,3
Q101231257,6000000006127705798,Carl Fredrik Lood,Sweden,1
Q101235270,6000000056172167840,Theodor Abrahamsen,Norway,3
Q101236812,6000000028902747870,Nicoline Blidberg,Sweden,2
Q101236853,6000000136267988821,Louise Schenström,Sweden,1
Q101363,6000000002906143441,Alexander Erskein,Sweden,3
Q101388947,6000000028984824892,Alvar Högbom,Sweden,1
Q101421474,6000000002739518121,Henriette Wulfsberg,Norway,4
Q101422150,6000000021829229447,Hildegard Deland,Sweden,2
Q101422228,6000000172742428049,Mia Grape,Sweden,2
Q101435452,5337867692390024164,Hilda Reiman-Poom,Sweden,1
Q101495233,6000000069490441897,Disa Holberg,Sweden,3
Q101513594,6000000024672636278,Johan Ihre,Sweden,2
Q101580064,6000000018614090992,Adam van Westerwolt,Denmark-Norway,1
Q101942,6000000044467312871,Paavo Nurmi,Finland,4
Q102042370,6000000008771272069,Ingeborg Zernin,Norway,2
Q102171407,6000000212420051828,Göran Björck,Sweden,1
Q102181474,6000000169357870182,Mats Linnman,Sweden,1
Q102185462,6000000006589788027,Normann Blandehoel,Norway,1
Q102186487,6000000219022268881,Pauline Leren,Norway,1
Q102186900,6000000085371448834,Marian Taczak,Grand Duchy of Finland,1
Q102187885,6000000015913286624,Pauli Sander,Norway,1
Q102247844,6000000036845147455,Agda Halldin,Sweden,1
Q102360883,6000000019845623963,Martha Arnesen,Norway,1
Q102368422,6000000074793887077,Ingeborg Enander,Sweden,1
Q102370090,6000000002323973737,Ingrid Weibull,Sweden,1
Q102380083,6000000024951596364,Gyda Gram,Norway,1
Q1026444,6000000045031495124,Isabelle Pedersen,Norway,1
Q102771834,6000000071228845865,Gustaf Janzon,Sweden,2
Q1028117,6000000013791321996,Gudbrand Gregersen de Saág,Norway,3
Q10297112,6000000008922994636,Finn Bryn,Norway,1
Q103095812,6000000004025778354,Dorotea Salomonsson,Sweden,1
Q10313281,6000000023152880305,Jyrki Kovaleff,Finland,2
Q103432397,6000000018952305234,Axel Perman,Sweden,0
Q10362394,6000000014210405348,Aimar Sørenssen,Norway,1
Q1036433,6000000008499624576,Carl-Axel Acking,Sweden,2
Q1036746,6000000165619024220,Carl Bock,Norway,6
Q103707427,6000000010772444684,Gunnar Erik Roland Martin,Sweden,0
Q103717794,6000000083451460843,Hugo Öberg,Sweden,1
Q1037626,6000000042734901960,Carl Eldh,Sweden,4
Q103822072,6000000008496979114,Theodor Emil Anders Beckman,Sweden,1
Q103822677,6000000016624564744,Johan Manfred Björnegård,Sweden,1
Q103839048,6000000113352181477,Johan Ulrik Bjurberg,Sweden,1
Q1038599,6000000023970041317,Carl Haglund,Finland,1
Q1039702,6000000025593726671,Carl Marstrander,Norway,2
Q103980035,6000000014119487285,Birgit Cars,Sweden,2
Q104029134,6000000052742467869,Signe Ramberg,Sweden,1
Q10404351,6000000141920846821,Albin Hamrin,Sweden,1
Q1040662,6000000041741465157,Carl Sofus Lumholtz,Norway,12
Q104097728,6000000180663242843,Jussi Jouppi,Finland,3
Q104176650,6000000032889297420,Anne-Marie Ødegaard,Norway,2
Q104214296,6000000001502724457,Ragnar Dahlberg,Finland,1
Q104243898,6000000041802800867,Christen Pederssøn Abel,Norway,1
Q10428700,6000000008242573042,Bernard Kirschenbaum,Sweden,3
Q104306377,6000000026420730371,Ester Edelstam,Sweden,0
Q104414358,6000000137569478826,Kustaa Vall,Finland,1
Q104427652,6000000022697197282,Brunon Feliks Krusche,Grand Duchy of Finland,1
Q104434341,6000000003690163246,Hilda Pihlgren,Sweden,1
Q104440549,6000000110569537913,Zahra Norbo,Sweden,2
Q104519219,6000000040517066821,Magnus Larsson Elmelin,Sweden,2
Q104530383,6000000016026608662,Olga Seeberg,Norway,1
Q104543478,6000000089572532840,Kaja Steen,Norway,1
Q104549953,6000000020274919912,Henrik Johan von Knorring,Finland,0
Q104625820,6000000004009664214,Sivert Aklestad,Norway,3
Q104669703,6000000041716894308,Eva Blytt,Norway,4
Q104671627,6000000035296096939,Reinhardt Willy Paulsen,Norway,2
Q104787721,6000000182051491838,Pentti Nohynek,Finland,5
Q10480427,6000000180534054835,Einar Berger,Sweden,0
Q104833091,6000000022591442723,Olof Mårtensson,Sweden,1
Q104833430,6000000014894743257,Gustav Brosing,Norway,4
Q104836509,6000000030618806897,Henric Tham,Sweden,2
Q104840403,6000000002586163863,Henrik Johan August Tavaststjerna,Finland,2
Q104845055,6000000017614502322,Rudolf Theodor Busck,Sweden,2
Q104850031,6000000088886703871,Ranne Roni,Finland,3
Q104850932,6000000006128248047,Herman Gyllenhaal,Sweden,1
Q10487681,6000000014338775095,Erik Piper,Sweden,1
Q104878531,6000000033007716525,Leif Feiring,Norway,0
Q10488317,6000000019069853659,Ernst Andersson,Sweden,1
Q104889131,6000000086007344976,Peter Magnus Gunnarson,Sweden,2
Q104919428,6000000008968612950,Jan Magnusson,Sweden,1
Q10493318,6000000030373211847,Eyvind Bratt,Sweden,1
Q104944757,6000000014957500588,Sven Klingberg,Sweden,1
Q104972120,6000000153482766860,Olav Eidhammer,Norway,1
Q105025768,6000000015466249811,Karl Henrik Berlin,Sweden,2
Q105044672,6000000006595583368,Jacob Dahl,Sweden,2
Q105044768,5724715341960137901,August Ruhlin,Sweden,2
Q105045554,6000000038157778512,Peter Romberg,Sweden,2
Q105046846,4337536,August Hallqvist,Sweden,2
Q105066959,6000000019110236107,Oscar Tundal,Sweden,2
Q105072927,6000000024531569124,Wilfrid Ullman,Sweden,2
Q105074759,6000000008834595456,Richard Henrik Albert Gyllencreutz,Sweden,1
Q105096847,6000000059228548912,Thor Lange,Sweden,1
Q105103344,6000000178678692861,Gabriel Guldbrand,Sweden,2
Q105104089,6000000174713444370,Kalervo Puskala,Finland,1
Q10510832,6000000107789229872,Gunnar L. Stenbäck,Finland,2
Q105117016,6000000027852782189,Karl Johan Ehnberg,Finland,1
Q105156843,6000000003063819976,Hugo Berghell,Finland,1
Q10517350,6000000074493122867,Hans Schlyter,Sweden,1
Q105201193,6000000007366059202,Teofil Bardach,Grand Duchy of Finland,2
Q105275428,6000000021885333229,Brita Skottsberg Åhman,Sweden,2
Q105325453,6000000180278713836,Ingeborg Walther,Norway,3
Q105336456,6000000031412916595,Kaarlo Hämäläinen,Finland,1
Q105386679,6000000022229532738,Ida Jonatansson,Sweden,0
Q10540338,6000000002836532454,Johan Amnell,Sweden,2
Q10540605,6000000001861384024,John Rosas,Finland,4
Q10540607,6000000028925842171,John Rumenius,Sweden,1
Q10540749,6000000040337761821,Jonas Adlerstråhle,Sweden,1
Q10541278,6000000000213741810,Julius Kalling,Sweden,2
Q10543651,6000000035304475377,Karl-Gustav Fogel,Finland,1
Q105453359,6000000082488753535,Gunder Paulsen,Norway,1
Q10546083,6000000011024062656,Klas Pallin,Sweden,1
Q10546743,6000000007049164842,Knut Lenaeus,Sweden,1
Q105468861,6000000006986481143,Jacob Setterwall,Sweden,1
Q10547006,6000000161830156846,Ragnhild Nyholm,Finland,2
Q105476437,6000000017032667687,Georg Galmin,Sweden,1
Q105505632,6000000004201910934,Sonja Berg von Linde,Sweden,2
Q105513187,6000000053912399821,Arnt Ove Krane,Norway,5
Q105513917,6000000001225731076,Arnt Gunerius Holm,Norway,3
Q105514867,6000000076034210074,Eero-Eetu Saarinen,Finland,2
Q105532347,6000000008649164852,Jørgen Cappelen Omsted,Norway,1
Q105547616,6000000069695170864,Haldor Virik,Norway,7
Q10556986,6000000139388764299,Lennart Simons,Finland,2
Q105581378,6000000002928203154,Björn Immonen,Finland,2
Q105593611,6000000005441275309,Johan Seckmann Fleischer,Norway,0
Q105597812,6000000006994678811,Tore Alespong,Sweden,0
Q105598064,6000000038022341337,Hans Pedersen Rustand,Norway,3
Q105622391,6000000011371172432,Erik Solberg,Norway,1
Q105629897,6000000106159632135,Sophie Calonius,Finland,2
Q10564046,6000000001861384159,Allan Staffans,Finland,1
Q105660271,6000000037077071056,Bjarne Natt och Dag,Sweden,1
Q105687233,6000000000458972910,Nils Curman,Sweden,1
Q105700278,6000000048527348148,Arvid Kaján,Finland,1
Q105704782,6000000000501681862,Vilho Ebeling,Finland,0
Q105704806,6000000007340569408,Kaarle Aro,Finland,3
Q105704820,6000000007446911577,Mauritz Lassenius,Finland,2
Q105704961,6000000034072864097,Sanni Lampén,Finland,1
Q105705013,6000000061233630943,Oiva Elo,Finland,2
Q105705053,6000000059906802178,Oskari Heikkilä,Finland,2
Q105705224,6000000007304487282,Carl Gustaf Hiort af Ornäs,Sweden,1
Q105705257,6000000013086732175,Lydia Chydenius,Finland,1
Q105705390,6000000035288682887,Eero Kaukonen,Finland,1
Q105705393,6000000067492716832,Aarne Koskinen,Finland,1
Q105705399,6000000001698836144,Otto Larma,Finland,2
Q105705410,6000000020787004308,August Lipsanen,Finland,1
Q105705417,6000000027324911976,Yrjö Lehtonen,Finland,1
Q105705435,6000000000295835402,Viking Modeen,Finland,0
Q105705455,6000000013416418069,Veikko Oksanen,Finland,0
Q105705459,6000000034283310041,Olavi Ojanne,Finland,0
Q105705606,6000000002216181291,Niilo Suihko,Finland,2
Q105705624,6000000012019960516,Fredrik Wittstock,Sweden,2
Q105705768,6000000023058669433,Tyyne Niemi,Finland,2
Q105705785,6000000023342113568,Leila Mélart,Finland,2
Q105724744,6000000008031790352,Jakob Bull-Tornøe,Norway,1
Q105728676,6000000024359979168,Bjarne Halvorsen,Norway,2
Q105745210,6000000026036007043,Cornelis van Scheltinga,Denmark-Norway,1
Q105748514,6000000043679135533,Petrus Planander,Sweden,1
Q105751627,6000000221923415950,Samuel Schening,Sweden,1
Q105751896,6000000032962823836,Saara Peiponen,Finland,1
Q105760910,6000000077548691945,Petrus Kylander,Sweden,1
Q105762306,6000000007209138633,Henrik Stjernspetz,Sweden,1
Q105763823,6000000181357032837,Hans Maartmann Fleischer,Norway,1
Q105773610,6000000061109701094,Eyolf Nagell Erichsen,Norway,1
Q105778298,6000000183534306840,Aaro Hyvärinen,Finland,1
Q105830376,6000000056510304857,Jonas Albert Sandman,Finland,1
Q105870787,6000000005250709549,Claes Gustaf Borre,Sweden,1
Q105871735,6000000016299099775,Johan Nicolai Tønnesen,Norway,1
Q105905990,6000000024553544992,Wenzel Hamnqvist,Sweden,1
Q105920175,6000000003308643760,Christian Frederik Juell,Norway,1
Q105920535,6000000130501100824,Johannes Franciscus Jaschke,Norway,1
Q105942399,6000000002278330396,Frantz Bull,Norway,1
Q105942883,6000000182795670852,Eemeli Korpivaara,Finland,2
Q105943187,6000000007648918036,Hans Christian Smith,Norway,1
Q105943404,6000000002278330378,Nils Otto Bull,Norway,1
Q105944883,6000000015624032363,Hans Frederik Grüner,Norway,1
Q105944924,6000000018856524407,Mads Møller Dessen,Norway,1
Q105945045,6000000002905754815,Niels Raanes Schjoldager,Norway,1
Q105951954,6000000011695667109,Even Bernhardt Stenersen,Norway,1
Q105952295,6000000042071168906,Christian Syvertsen Hilstad,Norway,1
Q105952459,6000000021207870035,Frederich Johannes Grønvold,Norway,1
Q105961773,6000000033768749023,Dimitri Matiesen,Sweden,1
Q105972091,6000000083438638915,Otto Korhonen,Finland,2
Q105983238,6000000033619768526,Anders Bergquist,Sweden,1
Q106008028,6000000011908905598,Henrik W. Waldén,Sweden,4
Q106026,6000000036716936925,Arius,Sweden-Norway,4
Q106041491,6000000169284258853,Samuel Wettelius,Sweden,1
Q106059256,6000000036325831487,Väinö Kemppainen,Finland,2
Q106076986,6000000013705363813,Søren Capjon,Norway,2
Q10608167,6000000003110778492,Olaus Petri Niurenius,Sweden,2
Q106220711,6000000002999869272,Nils Gustaf Fischer,Sweden,1
Q106226879,5234580456140081495,Else Willas Jensen,Norway,1
Q106239189,6000000000575623193,Paavo Kyrenius,Finland,2
Q106239671,6000000011262409541,Kaarlo Waismaa,Finland,1
Q1062918,6000000117846137918,Hans Thøger Winther,Norway,2
Q106319465,6000000026097416197,August Emil Konstantin Tötterman,Finland,0
Q106323632,6000000185779885891,J. E. Forsman,Finland,0
Q106323657,6000000037961794020,Panu Hakola,Finland,2
Q106323699,6000000009002400554,Ilmari Koskiala,Finland,1
Q106351819,6000000035347005376,Eila Jaatinen,Finland,1
Q106355019,6000000106209616054,Mauritz Landström,Sweden,1
Q106367948,6000000067821292881,Eljas Ahtonen,Finland,0
Q106367949,6000000165528582238,Axel Rosendahl,Finland,0
Q106367973,6000000055198571904,Saara Malinen,Finland,1
Q106369906,6000000175725303829,Anders Skog,Sweden,4
Q106385866,6000000025741279491,Ethel Swahn-Luutonen,Finland,1
Q106462241,6000000078731427771,Josefina Pahlberg,Sweden,1
Q106474347,6000000016583818107,Julius Leonard von Sydow,Sweden,1
Q106474361,6000000020827500966,Kurt Lalander,Sweden,1
Q106476672,6000000002783177773,Else Lundin,Finland,1
Q106477484,6000000089129180917,Lyydia Almila,Finland,2
Q106498444,6000000083682445015,Anders Ädel,Sweden,2
Q106511443,6000000009629702311,Arthur Söderholm,Finland,2
Q106521609,6000000020113977103,Christian Fredrik Lindblom,Sweden,1
Q106521612,6000000004188233273,Sven Peter Viridén,Sweden,1
Q106527081,6000000123495161977,Oskar Hedin,Norway,2
Q106535981,6000000019946688445,August Fröding,Sweden,1
Q1065494,6000000067664828922,Charles Mathiesen,Norway,1
Q106555792,6000000033697676525,Erik Söderlund,Sweden,2
Q106563680,6000000002207844283,Anders Palmgren,Sweden,1
Q106564832,6000000011335743587,Niels Gram,Norway,1
Q106573054,6000000008597221692,Bernhard Gagneur,Finland,1
Q106590217,6000000174975479558,Elin Stålberg,Sweden,2
Q106590261,6000000006127401367,Signe Sparre,Sweden,1
Q106590592,6000000016240119935,Dagmar Scholander,Sweden,2
Q106590744,6000000076978454940,Anna-Lisa Chatillon-Winberg,Sweden,1
Q106590750,6000000017317119562,Ida-Lisa Westesson,Sweden,1
Q106591931,6000000013423719865,Thorleif Holm Glad,Norway,2
Q106592338,6000000006590082842,Carl Leopold Berggren,Sweden,1
Q106594328,5299138047040087659,Margit Andersin,Finland,1
Q106594446,6000000025564374952,Selma Borg,Finland,2
Q106616157,6000000069119795823,Rolf Schrøen,Norway,1
Q106617444,6000000173645089850,Erling Thronæs,Norway,1
Q106618165,6000000012772356631,Joachim Krebs,Sweden,1
Q106619520,6000000007787842374,Carl Olof Reuterman,Sweden,5
Q106630440,6000000049596030869,Georg Johan Hebæk,Norway,2
Q106651374,6000000180397850847,Vuokko Piipponen,Finland,0
Q106651465,6000000175619376832,Pekka Vilpas,Finland,2
Q106653326,6000000087256888828,Eila Seppälä,Finland,1
Q106674634,6000000039510510017,Margit Baltzersen,Norway,1
Q106689430,6000000007225056704,Folke Pira,Sweden,1
Q106703198,6000000028480408462,Maiju Rängman,Finland,1
Q106705866,6000000007224321944,Osma Alfred Schildt,Finland,1
Q106727461,6000000011253460631,Gustava Kielland Aagaard,Norway,2
Q106764525,6000000079812009135,Jalmari Valpio,Finland,1
Q106765926,6000000020243790774,Wilhelm Grill,Sweden,1
Q106771884,6000000002701411999,Hjalmar Hårdh,Finland,2
Q106779253,6000000048849772833,Johan Gustaf Loberg,Sweden,1
