verdict	qid	geni_a	geni_b	supporting	against	names
CORROBORATED	Q130391088	4913726906610024668	6000000017971574617	fathers 4913735229900074272 + 6000000018197588373 co-carried by Q4139580		Dymitry Glebovich Rurikov | Dmitriy Glebovich Rurikid
CORROBORATED	Q13478526	6000000013766131859	6000000080810418078	fathers 6000000008537579083 + 6000000080795286877 co-carried by Q4097582		Vasilko II Bryachislavich of V | ?
CORROBORATED	Q13478538	6000000008785883861	6000000080817176840	fathers 6000000013766131859 + 6000000080810418078 co-carried by Q13478526		Lyubava Vasilkovna of Vitebsk | ?
CORROBORATED	Q2080596	4363184995560049059	6000000180986157821	fathers 6000000000671822547 + 6000000179389495866 co-carried by Q244852		Koriat Mikhail, prince of Nava | Koriat
CORROBORATED	Q244852	6000000000671822547	6000000179389495866	fathers 6000000020985906917 + 6000000179697104858 co-carried by Q638646		Gediminas, Grand Duke of Lithu | Gediminas
CORROBORATED	Q2621664	4363152365890123437	6000000090936564822	fathers 6000000000671822547 + 6000000179389495866 co-carried by Q244852		Narymunt Gleb Gleb Giedymidis  | Narimantas Gediminaitis
CORROBORATED	Q3920891	6000000011770233298	6000000080886919102	fathers 6000000007171629271 + 6000000080879890850 co-carried by Q2632610		Wasilko Wołodarowicz Prince of | ?
CORROBORATED	Q66438379	6000000024778341822	6000000184795855851	fathers 6000000024777532686 + 6000000018171165192 co-carried by Q66534565		Vasily Mikhailovich Drutsky | Vasil Mikhailovich Drutski
CONTRADICTED	Q1121345	6000000007376934082	6000000080876897426		fathers 6000000038475458965 and 6000000080877835024 on different items	Vyachko of Koknese Principalit | ?
CONTRADICTED	Q12085112	6000000019589207004	6000000080892097734		fathers 6000000002187837808 and 6000000002187837843 on different items	Bryachislav Davydovich of Izya | ?
CONTRADICTED	Q13478569	6000000002240822537	6000000080810860893		fathers 6000000013765885870 and 6000000080795286877 on different items	Princess Alexandra (Paraskeva) | ?
CONTRADICTED	Q15615597	6000000006727876082	6000000020992263311		fathers 6000000007171629271 and 6000000003049156212 on different items | mothers 5235605714220070458 and 6000000003087125859 on different items	Svyatopolk Duke Of Novgorod Vo | ?
CONTRADICTED	Q17095892	6000000014058991722	6000000014878152198		fathers 6000000031614493911 and 6000000003524588434 on different items	Anna Worotyńska | Anna Fedkaitė Korybut
CONTRADICTED	Q22774427	6000000074758467512	6000000074759288919		fathers 6000000074758704275 and 6000000074759331885 on different items	? | ?
CONTRADICTED	Q2587652	6000000033241523682	6000000184583916097		fathers 4363184995560049059 and 6000000003521266933 on different items	prince Constantine Koriat | Constantine Olgerdovich of Cha
CONTRADICTED	Q3918735	6000000012580992305	6000000175526147872		fathers 6000000011835630616 and 6000000013765885870 on different items	"Constantine ""Armless"" son of T | Constantine ""Armless"" ???"
CONTRADICTED	Q4113037	6000000034638041217	6000000073473851821		fathers 6000000002187837447 and 6000000073472698862 on different items	Vladimir Glebovich | Vladimir Rostislavich
CONTRADICTED	Q4273436	6000000002003837593	6000000017687692040		fathers 6000000017695098287 and 6000000017693128850 on different items	Pakubuwono V | Pakubuwana V Sunan Sugih Raden
CONTRADICTED	Q47306394	6000000003523237946	6000000064526129883		fathers 6000000001389864086 and 6000000064526895824 on different items	Sofija Sapiegaitė | Sofija Sapiegaitė
CONTRADICTED	Q638599	6000000009129141310	6000000080834032500		fathers 6000000003858589110 and 6000000009825686337 on different items	Daumantas Romantaitis of Utena | Daumantas Mindaugaitis Mindaug
CONTRADICTED	Q638646	6000000020985906917	6000000179697104858		fathers 6000000011855024217 and 6000000173139788139 on different items	Pucuwerus Butvydas of Lithuani | Butvydas Pukuveras
NO EVIDENCE	Q104717485	6000000012481742068	6000000016365474593			Fryderyk Sapieha-Koden | Teodoras Sapiega
NO EVIDENCE	Q104755784	5477503367560083505	6000000035017580401			Wolf Rubensson | Ruben Wulff
NO EVIDENCE	Q10721233	6000000074767506018	6000000074767547840			? | ?
NO EVIDENCE	Q10721524	6000000074767464979	6000000074767755875			? | ?
NO EVIDENCE	Q11087518	6000000074750800003	6000000074767273172			? | ?
NO EVIDENCE	Q11097545	6000000074735059038	6000000074735329020			? | ?
NO EVIDENCE	Q11978726	6000000020050914098	6000000105491391008			Johan Georg Müller | Johan Georg Møller
