father_given	patronymic_stem	distinct_fathers
olof	ols	209
juho	johans	140
juho	johan	137
erik	ers	134
peder	per	96
per	peder	77
antti	anders	75
antti	ander	71
johan	ander	53
petrus	pers	53
gunnar	gunder	49
heikki	henrik	49
olaus	olofs	47
peder	pers	45
nicolaus	nils	43
laurentius	lars	41
olaus	olof	39
gustaf	gustav	39
johan	han	38
petrus	per	36
gustaf	gustavs	34
johan	nil	33
laurentius	lar	33
johannes	han	31
johan	karl	30
per	petter	30
ådne	aadne	30
anders	johan	29
heikki	henriks	29
carl	ander	28
olof	ander	28
tolleiv	tollef	28
heikki	henric	28
gustav	gustaf	27
johan	ol	27
jaakko	jacobs	26
nicolaus	nil	26
torkel	torkild	25
lars	ander	25
anders	nil	25
jaakko	jacob	25
karl	ander	24
anders	ol	24
hans	ander	24
halvard	halvor	24
nils	ander	23
eric	ers	23
hans	ol	23
mikko	michels	23
kustaa	gustaf	23
lars	ol	22
hans	johan	22
gustav	gustafs	22
ole	ander	22
tollef	tolleiv	22
mikko	michel	22
magnus	måns	22
peter	pers	21
carl	lar	21
johan	erik	21
hans	lar	21
heikki	henrics	21
johan	lar	21
gunder	gunnar	20
anders	lar	20
yrjö	jöran	20
halvor	halvard	19
laurits	lar	19
mons	mogen	19
peder	ol	19
kustaa	gustafs	19
olav	ols	19
johannes	hans	18
john	nel	18
lauritz	lar	18
yrjö	jörans	18
ole	oluf	17
john	wil	17
petter	pehrs	17
peter	per	17
torsten	tosten	17
pekka	pehr	17
petter	pers	16
johannes	lar	16
ole	han	16
peder	han	16
nils	lar	16
anders	han	16
jens	ander	16
nn	johan	16
magnus	mån	15
erik	ander	15
olof	per	15
carl	petter	15
per	johan	15
johan	per	15
ole	lar	15
nn	ander	15
john	ander	15
per	peders	15
lars	nil	15
svein	svend	15
nils	johan	14
hans	jen	14
jaakko	jakobs	14
mogens	mon	14
olof	johan	14
petter	per	14
lars	johan	14
nn	ol	14
john	jack	14
william	jack	14
carl	han	14
lars	laurit	14
jens	han	14
john	thomp	14
anders	jon	14
petter	pehr	14
ole	peder	14
william	john	14
ole	olav	14
carl	ol	14
olof	lar	14
william	nel	13
carl	johan	13
aadne	ådne	13
lasse	lar	13
carl	erik	13
erik	ol	13
ole	john	13
lars	han	13
martti	mårtens	13
jaakko	jakob	13
per	peter	12
john	jeffer	12
erik	johan	12
jonas	olof	12
povel	paul	12
john	samp	12
james	ander	12
gudbrand	gulbrand	12
johann	frie	12
johan	peter	12
jonas	erik	12
john	harri	12
ole	jen	12
karl	johan	12
karl	erik	12
olof	jon	12
lars	per	12
pekka	pehrs	12
anders	erik	12
carl	peter	11
erik	jon	11
nn	han	11
hans	peder	11
nils	ol	11
karl	lar	11
torkild	torkel	11
thomas	wil	11
jakob	lar	11
nils	jon	11
hans	nil	11
erik	nil	11
hallvard	halvor	11
george	jack	11
povel	poul	11
engebret	ingebret	11
per	ander	11
tollef	tollev	11
johan	petter	11
olli	olof	11
paavo	påhls	11
christiern	christen	10
hendrich	henrich	10
william	harri	10
per	nil	10
karl	nil	10
ådne	ådne	10
eivind	even	10
søfren	søren	10
nils	han	10
søren	søfren	10
nn	lar	10
johan	carl	10
ole	johan	10
per	sven	10
johan	peder	10
anders	petter	10
andreas	ol	10
torstein	tosten	10
christian	han	10
jonas	nil	10
martti	mårten	10
jon	ol	10
johan	olof	10
lars	jon	10
andrew	ander	9
anders	peter	9
petrus	pehrs	9
per	olof	9
sven	johan	9
hans	niel	9
johan	gustaf	9
gustaf	johan	9
august	ander	9
osmund	åsmund	9
hans	christen	9
jens	peder	9
georg	jörans	9
göran	jöran	9
carl	nil	9
göran	jörans	9
gulbrand	gudbrand	9
hendrich	henrik	9
hans	knud	9
