date,time,namespace,qid,label,delta,user,action,property,other_qids,flags,tags,summary
2026-08-27,05:12,Item,Q141168792,Astrid Garborg,+437,Einar Myre,claim_created,P40,Q109660986,,Wikidata user interface,Created claim: child (P40): Eva Walaas (Q109660986)
2026-08-27,14:26,Item,Q110302791,Anna Fartegnsdatter Seim,+152,Einar Myre,claim_changed,P735,Q666578,,Wikidata user interface,Changed claim: given name (P735): Anna (Q666578)
2026-08-27,14:26,Item,Q141178149,,-91,Einar Myre,redirect,,,,merge.js New redirect,Redirected to Q110302791
2026-08-27,14:42,Item,Q141189050,,-93,Einar Myre,redirect,,,,merge.js New redirect,Redirected to Q19842232
2026-08-27,14:49,Item,Q141189059,,-94,Einar Myre,redirect,,,,merge.js New redirect,Redirected to Q5588874
2026-08-27,18:08,Item,Q141189041,Sør-Reime,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-08-27,18:09,Item,Q141189038,,-93,OBender12,redirect,,,,merge.js New redirect,Redirected to Q33868252
2026-08-27,18:09,Item,Q33868252,Nyvold,+66,OBender12,merge,,,,merge.js,Merged Item from Q141189038
2026-08-27,18:10,Item,Q141189031,,-93,OBender12,redirect,,,,merge.js New redirect,Redirected to Q37504456
2026-08-27,18:10,Item,Q141189034,,-93,OBender12,redirect,,,,merge.js New redirect,Redirected to Q45305861
2026-08-27,18:10,Item,Q37504456,Ronneberg,+69,OBender12,merge,,,,merge.js,Merged Item from Q141189031
2026-08-27,18:11,Item,Q141189029,,-93,OBender12,redirect,,,,merge.js New redirect,Redirected to Q36927172
2026-08-27,18:11,Item,Q36927172,Tunheim,+67,OBender12,merge,,,,merge.js,Merged Item from Q141189029
2026-08-27,18:12,Item,Q141168788,Arne Garborg Tunheim,-3,OBender12,claim_changed,P734,Q36927172,,Wikidata user interface,Changed claim: family name (P734): Tunheim (Q36927172)
2026-08-27,18:12,Item,Q141169041,Olaf Tunheim,-3,OBender12,claim_changed,P734,Q36927172,,Wikidata user interface,Changed claim: family name (P734): Tunheim (Q36927172)
2026-08-27,18:12,Item,Q141169062,Thoralf Tunheim,+433,OBender12,claim_created,P735,Q1649964,,,"Created claim: given name (P735): Thoralf (Q1649964), Added with QuickNames"
2026-08-27,18:13,Item,Q141189033,,-93,OBender12,redirect,,,,merge.js New redirect,Redirected to Q30253098
2026-08-27,18:13,Item,Q30253098,Bø,+61,OBender12,merge,,,,merge.js,Merged Item from Q141189033
2026-08-29,11:06,Talk,Q141180409,,+269,Anvilaquarius,talk_section,,,N,New topic,→Birth and death dates are possibly wrong: new section
2026-08-29,11:06,Talk,Q141180413,,+269,Anvilaquarius,talk_section,,,N,New topic,→Birth and death dates are possibly wrong: new section
2026-08-29,19:00,Item,Q10411463,Andreas Olai,+115,MS Sakib,description_added,,,b,,Added [as] description: ছুইডিছ চৰকাৰী বিষয়া
2026-08-30,12:00,Item,Q139651594,Sigrid Garborg,+3808,Anvilaquarius,merge,,,,merge.js,Merged Item from Q141198489
2026-08-30,12:00,Item,Q141198489,,-91,Anvilaquarius,redirect,,,,merge.js New redirect,Redirected to Q139651594
2026-08-30,21:24,Item,Q141223712,,-91,OBender12,redirect,,,,merge.js New redirect,Redirected to Q141223484
2026-08-30,21:24,Item,Q19828095,Carl Mörner,-798,OBender12,claim_removed,P734,Q141223712,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223712)
