bucket	kind	name	occurrences	descriptions	qids
duplicate	family	Schloss	107	family name | family name	Q105540652 | Q37300956
duplicate	given	Leroy	29	male given name | male given name	Q19839067 | Q19839124
duplicate	family	FitzRoy	18	family name | family name	Q21233885 | Q92288868
duplicate	family	Schloß	11	family name | family name	Q105540652 | Q37300956
duplicate	family	de Mesquita	10	family name | family name	Q101038014 | Q130724081
duplicate	family	Angress	7	family name | family name	Q105975011 | Q107527023
duplicate	family	Haussmann	6	family name | family name	Q1591313 | Q74081542
duplicate	given	LeRoy	6	male given name | male given name	Q19839067 | Q19839124
duplicate	family	de Zúñiga	5	family name | family name	Q133254410 | Q99981154
duplicate	family	Pruss	3	family name | family name	Q37491734 | Q83495364
duplicate	family	MacWilliam	3	family name | family name	Q105623240 | Q36873851
duplicate	family	de Witt	3	family name | family name	Q106352426 | Q16869461
duplicate	family	Fitzroy	2	family name | family name	Q21233885 | Q92288868
duplicate	family	van Cleef	2	family name | family name	Q136230075 | Q21492169
duplicate	family	du Parc	2	family name | family name	Q104594425 | Q62705779
duplicate	family	fitzRoy	1	family name | family name	Q21233885 | Q92288868
duplicate	family	MacDowall	1	family name | family name	Q6723006 | Q99910038
duplicate	family	Haußmann	1	family name | family name	Q1591313 | Q74081542
duplicate	family	Clauss	1	family name | family name	Q21482988 | Q83500996
duplicate	given	Mackenzie	1	unisex given name | unisex given name	Q14667660 | Q84323319
duplicate	given	Maryanne	1	female given name | female given name	Q20898971 | Q63339460
language split	given	Waleran	10	male given name | personal name	Q106706191 | Q65069674
language split	given	Tamim	4	given name | personal name	Q111824831 | Q37124238
native script	given	John	3332	 | male given name	Q104552334 | Q4925477
native script	given	Mary	2586	unisex given name | female given name	Q112169711 | Q734578
native script	given	Jean	1348	female given name | male given name	Q4160311 | Q7521081
native script	given	Ola	917	unisex given name | male given name	Q1782345 | Q96675523
native script	given	Gabriel	523	male given name | Armenian male given name	Q4925914 | Q65967313
native script	given	ben	361	Chinese given name (本) | Chinese given name (贲 / 賁) | male given name	Q104520754 | Q122749982 | Q816407
native script	given	Joan	344	unisex given name | female given name	Q1484457 | Q18219684
native script	given	Israel	283	male given name | male given name (ישראל)	Q19819746 | Q58217414
native script	given	Francis	283	male given name | female given name	Q1441346 | Q68721284
native script	given	Christen	254	female given name | male given name	Q104700963 | Q21034625
native script	given	Jonathan	204	male given name | Hebrew male given name (יהונתן)	Q1158394 | Q52015883
native script	given	Avraham	150	male given name | male given name (אברהם)	Q2874494 | Q50582778
native script	given	Baruch	145	male given name (ברוך) | male given name	Q104412507 | Q9166352
