cut	rank	people	searched	with_hit	examples
100	1	1524	12	0	
100	2	315	12	0	
100	3	295	12	6	"Asshur -> Q200200 Assur (archaeological site in Iraq, former capital of Assyria) | Betrest -> Q453508 Betrest (ancient Egyptian queen consort) | Nebti -> Q111654711 Nebti (gallery) | Qa'a Pharaoh of Egypt -> Q151819 Qa'a (Egyptian ruler) [searched ""Qa'a""] | Scorpion I -> Q318613 Scorpion I (predynastic Egypt pharaoh)"
100	4	222	12	0	
100	5	174	12	6	Alice Chung -> Q98293885 Alice Chung (researcher) | Barbara Weil -> Q88846 Barbara Weiler (German politician) | Dave Lee -> Q1691840 Dave Lee (British DJ and house music producer) | Felix Chung -> Q13634462 Felix Chung (Hong Kong politician) | George Lee -> Q110140349 George Lee (Master of Architecture, University of Washington)
100	6	61	12	2	Makeda Queen of Sheba -> Q159888 Queen of Sheba (biblical figure) [searched 'Makeda'] | Solomon King of Israel -> Q18607853 Solomon (male given name) [searched 'Solomon']
100	7	50	0	0	
100	8	42	0	0	
100	9	34	0	0	
100	10	28	12	0	
100	11	20	0	0	
100	12	17	12	8	Kapes -> Q6366576 Kapes (genus of procolophonians) | Karomama I -> Q1722805 Karomama II (ancient Egyptian queen consort) | Namlit -> Q6961940 Namlit (human settlement in Myanmar) | Osorkon I -> Q515574 Osorkon I (Egyptian pharaoh (c. 925 BC – c. 890 BC)) | Pasuti -> Q1039573 Pashutin (family name (Пашутин))
100	13	12	0	0	
100	14	11	0	0	
100	15	10	9	6	Ankhesenpepi III -> Q4766049 Ankhesenpepi III (Egyptian queen in Sixth Dynasty of Egypt) | Ankhesenpepi IV -> Q489064 Anchenespepi IV. (Egyptian queen in the Sixth Dynasty of Egypt) | Hetep -> Q112605670 Hetepka () | Merenre Nemtyemsaf II Pharaoh of Egypt -> Q320908 Merenre Nemtyemsaf II (Egyptian pharaoh) [searched 'Merenre Nemtyemsaf II'] | Nefer Pharaoh of Egypt -> Q1052959 Nefer (Egyptian pharaoh of the 6th Dynasty) [searched 'Nefer']
100	16	8	0	0	
100	17	7	1	0	
100	18	7	0	0	
100	19	6	0	0	
100	20	5	0	0	
