qid	value
Q134940269	people/Josefina-Virginia-Alvear-Fern%C3%A1ndez-Coronel-La-Pepita-de-Oro/6000000013301059830
Q134941591	people/Josefina-Errázuriz-Alvear/6000000004129575452
Q136039980	https://www.geni.com/people/Abdul-MUTHALIB/4799832763350031690
Q138638701	https://www.geni.com/people/Abdullah-Idwan-MUTHALIB/4799877622230081376?through=4799832736440052052
Q138639237	https://www.geni.com/people/SUKIMAN-ATMOSUDIRO/4885586236910033387?through=6000000014259237580
Q138682182	https://www.geni.com/people/Rr-Setiawati-SATJADIBRATA-6-13-4/4800115901280068804?through=4799877622230081376#/tab/timeline
Q138682234	https://www.geni.com/people/Sylvia-Rohani-MUTHALIB/4802749251550068509?through=4815248074670081159
Q138682259	https://www.geni.com/people/Memed-Gunawan-Husen/4815244971900125767?through=4802749251550068509
Q138682392	https://www.geni.com/people/Edwin-MUTHALIB/4799882145270052433?through=4799832763350031690
Q138701317	https://www.geni.com/people/Ryaldi-Pratama-GUNAWAN/4815248074670081159?through=4802749251550068509
Q138736350	6000000086465224912/
Q138748881	https://www.geni.com/people/Irwani-MUTHALIB/4802757896870081243?through=4799877622230081376
Q138807089	https://www.geni.com/people/Bayu-Madendra-GUNAWAN/4815250931520081355?through=4802749251550068509
Q138857083	https://www.geni.com/people/Rosita-MUTHALIB/4802760596050080804?through=4799877622230081376
Q138857114	https://www.geni.com/people/H-RAMLI/4819267678870126425?through=4819267697060035183
Q138857155	https://www.geni.com/people/Putri-Faika-Indriani-JASIN/4815257006500078477?through=4815254434100081167
Q138946999	https://www.geni.com/people/Alyssa-Hilma-Alifianti-GUNAWAN/4817982846730060701?through=4815248074670081159
Q138947100	https://www.geni.com/people/private/4818008354450052586?through=4817982846730060701
Q139039291	https://www.geni.com/people/Arlina-MUTHALIB/4802763346050025214?through=4799877622230081376
Q139554154	https://www.geni.com/people/Nani-Razak/4792956712320030343?through=4799832736440052052
Q139604685	18 декабря 1918
Q139633997	6000000076169811934?
Q139752908	6000000033499120353/
Q139964383	https://www.geni.com/people/Johannes-Joann-Hion/
Q139976267	https://www.eoc.ee/vaimulik/katus-paul/
Q139979381	https://www.eoc.ee/vaimulik/kraav-joann/
Q21856925	https://www.geni.com/people/Михаил-Иванович-Донауров/6000000018645694688
Q4171081	https://www.geni.com/people/Лидия-Дурново/6000000049886136014
