qid,geni_id,label,country
Q10342511,6000000012367516175,Otto Gottlieb,Brazil
Q10347372,6000000019821504114,Pedro Calmon,Brazil
Q10357381,6000000073631541927,Ramón Prieto Bances,Spain
Q103580,6000000019445899085,Gustav Friedrich Hänel,Kingdom of Saxony
Q10361161,6000000042658929912,Ricardo Jorge,Portugal
Q10363885,6000000007574111051,Rodrigo Lefèvre,Brazil
Q103722,6000000121981127941,Fritz Reiche,Germany
Q1037924,6000000015682053530,Carl Friedheim,German Empire
Q103822,6000000184252669852,Werner Kern,Germany
Q1038350,6000000016299655560,Carl de Boor,Germany
Q1038407,6000000022332495454,Carl Hoyos,Germany
Q1038422,6000000012777057169,Carl Grebe,German Empire
Q103844,6000000041649375176,Françoise Barré-Sinoussi,France
Q103863085,6000000004537997396,Daniel Putnam,United States
Q1038694,6000000068739026875,Carl Heinrich Möller,
Q103875,6000000009954521769,Martin Gumpert,Germany
Q1038865,6000000174681699832,Carl Hinrichs,Germany
Q1038899,6000000053594904022,Carl Horn,Germany
Q1038930,6000000084954619237,Carl Hummel,Saxe-Weimar-Eisenach
Q1039355,6000000052495083893,Carl Landauer,Germany
Q1039506,6000000078896009160,Carl Lotus Becker,United States
Q1039702,6000000025593726671,Carl Marstrander,Norway
Q104031,6000000057022717852,Gustav Ferdinand Thaulow,German Empire
Q1040420,6000000030792744223,Carl Schirren,Germany
Q1040492,6000000030768078499,Carl Schneider,Germany
Q104093311,6000000075855511413,Harold K. Ticho,Czechoslovakia
Q1041657,6000000028302892954,Carleton Hunt,United States
Q1041712,6000000151461457989,Luigi Canina,Italy
Q1041799,6000000108139464857,Carlisle Floyd,United States
Q1042433,6000000182783918843,Carlo Roberto Maria Redaelli,Italy
Q1042482,6000000156763754839,Carlo Salotti,Italy
Q104289,6000000180781280836,Herbert Hensel,Germany
Q104298,6000000043384439289,Gustav von Lauer,German Reich
Q104315,6000000011403804749,Ernst Bertheau,German Empire
Q1043213,6000000017153586608,Carlos Sabat Ercasty,Uruguay
Q1043318,6000000023984042261,Carlos de Haes,Spain
Q104502523,6000000023280579385,Friedrich Wilhelm Büsing,Kingdom of Prussia
Q104540970,5684646904710040209,Eduardo Penna Franca,Brazil
Q104558681,6000000172478467881,Mário Ulysses Vianna Dias,Brazil
Q104575,6000000013202425770,Paul Sabatier,France
Q104597628,6000000009550817635,József Bölöny,Hungary
Q104638084,6000000054499284945,Aladár Halász,Hungary
Q104648,6000000016103897247,Leonhard Miksch,Germany
Q1048082,6000000042816978232,Caspar Ziegler,Germany
Q104836554,6000000185574545048,Anatoliĭ Viktorovich Darinskiĭ,Russian Empire
Q104854,6000000024643420073,Georg Balthasar Metzger,Germany
Q104983,6000000012914679316,Franz Hildebrandt,Germany
Q105047101,6000000066540610899,Georg Fuchs,Cisleithania
Q105082269,6000000084075223826,Géza von Molnár,United States
Q105082970,6000000017195376851,Cornelia Gray Lunt,United States
Q105082978,3939219636640050568,Arrand Parsons,United States
Q1052478,6000000178305572822,Antonio Favaro,Kingdom of Italy
Q105336966,3992783188750020255,George Saslow,United States
Q105357,6000000161670795840,Gerd Buchdahl,United Kingdom
Q105399251,6000000172383980300,Pierre Van Ommeslaghe,
Q1054496,6000000150919840243,Carlo Bon Compagni di Mombello,Kingdom of Italy
Q105450,6000000054869175231,Eva Fiesel,German Reich
Q1054603,6000000145597169822,Antonio Canepa,Kingdom of Italy
Q105477262,6000000007524458813,Dan Yaron,
Q105483784,6000000176918618831,Erich Godal,Germany
Q105496,6000000045420006891,Max Ernst Mayer,Germany
Q10556986,6000000139388764299,Lennart Simons,Finland
Q105620545,6000000010933663173,Ludwik Wrzoł,Poland
Q105627711,6000000014652724546,Norbert Wolters,Germany
Q105644470,6000000016584643529,Adolf Havas,Hungary
Q105646,6000000112154263821,Harry Dember,German Reich
Q1056562,6000000079601738832,József Huszka,Hungary
Q105669,6000000078055364411,Eugen Lerch,Germany
Q1058130,6000000150684397122,Gianfranco Miglio,Italy
Q105819,6000000182222264847,Ludwig Seitz,German Empire
Q105830,6000000012156125206,Baruch Samuel Blumberg,United States
Q1058936,6000000093913332865,Finn Juhl,Kingdom of Denmark
Q105937,6000000013862807868,Wendell Meredith Stanley,United States
Q105942883,6000000182795670852,Eemeli Korpivaara,Finland
Q105968634,6000000151427424859,L. B. Trenchard Chaffey,United Kingdom of Great Britain and Ireland
Q105976077,6000000217825576394,Claude Geoffrion,Canada
Q105979912,6000000065105852350,Hudson Thomas Hartmann,United States
Q106013,6000000002361938662,Eugen Mittwoch,Prussia
Q1060395,6000000156883751845,Antonio Signorini,Italy
Q106101,6000000065871952992,Volkmar Kohlschütter,German Reich
Q106117,6000000000368677792,Paul Harzer,Germany
Q106208,6000000063737778843,Denis Papin,Kingdom of France
Q106211,6000000013664964616,Gotthold Weil,Germany
