geni_id,qid,geni_cjk_name,wikidata_ja,wikidata_zh,wikidata_ko,wikidata_en
6000000075329092832,Q45419339,思言 京兆杜陵,,韋思言,,Wei Siyan
6000000075329120821,Q26208767,思仁 京兆杜陵 | 思仁 京兆杜陵 三,,韦思仁,,Wei Siren
6000000075329132984,Q45472061,勉 進業 京兆杜陵,,韋勉,,Wei Mian
6000000075329149898,Q45668595,士文 京兆杜陵,,韋士文,,Wei Shiwen
6000000075329150950,Q18907259,展 京兆杜陵,,韋展,,Wei Zhan
6000000075329153854,Q7979733,安石 京兆杜陵 | 安石 京兆杜陵 五,韋安石,韋安石,,Wei Anshi
6000000075329163822,Q45475851,渢 士溫 京兆杜陵,,韋渢,,Wei Feng
6000000075329170968,Q45418991,瑜 京兆長安,,韋瑜,,Wei Yu
6000000075329242847,Q45670001,政 京兆杜陵,,韦政,,Wei Zheng
6000000075329243838,Q45419000,,,韋A,,Wei A
6000000075329244839,Q45418987,琨 京兆杜陵 | 琨 京兆杜陵 二,,韋琨,,Wei Kun
6000000075329257892,Q45472125,諷 京兆杜陵,,韋諷,,Wei Feng
6000000075332731332,Q45419038,操 元節 河南洛陽 | 操 元節 河南洛陽 二,,長孫操,,Changsun Cao
6000000075332995103,Q45419009,泰 <新唐書載> 河南洛陽,,長孫泰,,Changsun Tai
6000000075333145082,Q22814048,抗 烏者 長孫,,长孙乌者,,Zhangsun Wuzhe
6000000075333255957,Q45419036,淇 河南洛陽 | 淇 河南洛陽 一,,長孫淇,,Changsun Qi
6000000075333279966,Q15912568,儉 河南洛陽,長孫倹,長孫儉,,Changsun Jian
6000000075333312896,Q14405102,嵩 長孫,長孫嵩,长孙嵩,장손숭,Changsun Song
6000000075333381910,Q45419003,沙莫仁 拓跋 | 沙莫仁 拓跋 一,拓跋沙莫仁,拓跋沙莫仁,,Tuoba Shaomingxiong
6000000075333494023,Q16259845,安業 河南洛陽,,长孙安业,,Zhangsun Anye
6000000075333517842,Q45419012,延年 <新唐書載> 河南洛陽,,長孫延年,,Changsun Yannian
6000000075333527838,Q14640436,道生 長孫,長孫道生,长孙道生,장손도생,Zhangsun Daosheng
6000000075333564821,Q14640463,觀 拔六觀 河南洛陽,長孫観,長孫觀,,Zhangsun Guan
6000000075333581106,Q15930040,淑 買仁 河南洛陽 | 淑 買仁 河南洛陽 二十五,拓跋淑,元淑,,Tuoba Shu
6000000075333803050,Q11387770,亨 河南洛陽,元亨,元亨,,Yuan Heng
6000000075333909901,Q45531094,延 河南洛陽,,長孫延,,Changsun Yan
6000000075333931080,Q19798646,季海 河南洛陽,元季海,元季海,,Yuan Jihai
6000000075333961926,Q45419037,覽 休因 河南洛陽,,長孫覽,,Changsun Lan
6000000075333963836,Q22814055,裕 子裕 河南洛陽 | 裕 子裕 河南洛陽 二,,长孙子裕,,Changsun Ziyu
6000000075333981004,Q45421168,意勁 拓跋 | 意勁 拓跋 二,,拓跋意勁,,Tuoba Yijing
6000000075333991044,Q45419068,恆 京兆杜陵,,韋恆,,Wei Heng
6000000075334015957,Q11497785,素 素連 拓跋,拓跋素,拓跋素,,Tuoba Su
6000000075334086011,Q15919271,濟 字濟 京兆杜陵 | 濟 字濟 京兆杜陵 三,韋済,韦济,,Wei Ji
6000000075334108934,Q22814820,壽鳩 拓跋,拓跋寿鳩,拓跋寿鸠,,Tuoba Shoujiu
6000000075334153953,Q45419065,孚 京兆杜陵,,韋孚,,Wei Fu
6000000075334185893,Q7979769,嗣立 延構 京兆杜陵 | 嗣立 延構 京兆杜陵 二,韋嗣立,韦嗣立,,Wei Sili
6000000075334204836,Q22814829,力真 拓跋 | 力真 拓跋 六,拓跋力真,拓跋力真,,Tuoba Lizhen
6000000075334215840,Q11077241,遵 勃兜 拓跋,拓跋遵,拓跋遵,,Tuoba Zun
6000000075334288823,Q7979770,仁約 思謙 京兆杜陵 | 仁約 思謙 京兆杜陵 一,韋思謙,韦思谦,,Wei Siqian
6000000075334817090,Q11097450,琨 隴西狄道,,李琨,,Li Kun
6000000075335027115,Q11098137,道古 某 河南府,,李道古,,Li Daogu
6000000075335121057,Q45378845,嗣 隴西狄道,,李嗣,,Li Si
6000000075336455553,Q45636730,承乂 弘農華陰,,楊承乂,,Yang Chengyi
6000000075337493358,Q45419285,執一 太初 弘農華陰,,楊執一,,Yang Zhiyi
6000000075337494190,Q43419300,慎交 弘農華陰 | 慎交 弘農華陰 一,,楊慎交,,Yang Shenjiao
6000000075337631126,Q45419291,思玄 弘農華陰,,楊思玄,,Yang Sixuan
6000000075337633126,Q8251541,弘農華陰,元献皇后,元獻皇后,원헌황후,"Yang, Empress Yuanxian"
6000000075337755074,Q45422257,思謙 弘農華陰,,楊思謙,,Yang Siqian
6000000075337768132,Q45422261,譚 弘農華陰,,楊譚,,Yang Tan
6000000075337867042,Q45419236,豫之 弘農華陰,,楊豫之,,Yang Yuzhi
6000000075337877939,Q45419238,思訓 弘農華陰 | 思訓 弘農華陰 二,,楊思訓,,Yang Sixun
6000000075337895870,Q45419179,湊 京兆長安,,韋湊,,Wei Cou
6000000075337931944,Q45419208,興 弘農華陰,,楊興,,Yang Xing
6000000075337965969,Q8048535,執柔 弘農華陰 | 執柔 弘農華陰 一,,杨执柔,,Yang Zhirou
6000000075337990914,Q45419287,滔 弘農華陰,,楊滔,,Yang Tao
6000000075338011939,Q45419239,嘉本 弘農華陰 | 嘉本 弘農華陰 一,,楊嘉本,,Yang Jiaben
6000000075338012884,Q45636791,琰 弘農華陰,,楊琰,,Yang Yan
6000000075338049891,Q45419218,續 弘農華陰 | 續 弘農華陰 三,,杨续,,Yang Xu
6000000075338049956,Q45422258,暹 弘農華陰 | 暹 弘農華陰 三,,楊暹,,Yang Xian
6000000075338068888,Q45419217,綝 弘農華陰 | 綝 弘農華陰 二,,楊綝,,Yang Lin
6000000075338108887,Q45419289,思昭 弘農華陰,,楊思昭,,Yang Sizhao
6000000075338167882,Q45419220,縯 弘農華陰 | 縯 弘農華陰 四,,杨縯,,Yang Yan
6000000075338185821,Q45419279,說 華州華陰 | 說 華州華陰 一,,楊說,,Yang Yue
6000000075338193826,Q45419281,思儉 弘農華陰,,楊思儉,,Yang Sijian
6000000075338208841,Q45419282,思止 弘農華陰 | 思止 弘農華陰 二,,杨思止,,Yang Sizhi
6000000075338239861,Q45419292,思敬 弘農華陰,,楊思敬,,Yang Sijing
6000000075338263827,Q45422256,綱 弘農華陰 | 綱 弘農華陰 五,,楊綱,,Yang Gang
6000000075338280878,Q45419698,志誠 弘農華陰,,楊志誠,,Yang Zhicheng
6000000075342367581,Q45419847,潛 德州平原 | 潛 德州平原 二,,崔潛,,Cui Qian
6000000075343040469,Q45402143,元貞 京兆長安,,韋元貞,,Wei Yuanzhen
6000000075343172513,Q45421237,濤 深州安平,,崔濤,,Cui Tao
6000000075343172521,Q45420611,元猷 博陵安平,,崔元猷,,Cui Yuanyou
6000000075343357695,Q11371938,寔 賓實 河南洛陽 | 寔 賓實 河南洛陽 一,于寔,于寔,,Yu Shi
6000000075343444674,Q45470539,廞 廞 清河武城,,崔廞,,Cui Xin
6000000075343448312,Q11663947,玄貞 京兆萬年 | 玄貞 京兆萬年 二,韋玄貞,韦玄贞,,Wei Xuanzhen
6000000075343475428,Q45420894,君昇 博陵安平 | 君昇 博陵安平 二,,崔君昇,,Cui Junsheng
6000000075343479339,Q45457891,譒 河南,,崔譒,,Cui Bo
6000000075343531379,Q45429464,國祥 襄州穀城 | 國祥 襄州穀城 一,,韋國祥,,Wei Guoxiang
6000000075343580349,Q45421239,倰 德長 深州安平 | 倰 德長 深州安平 一,,崔倰,,Cui Leng
6000000075343584265,Q45446954,囗伯 敬本 河南,,崔囗伯,,Cui
6000000075343644289,Q45471997,本立 全道 京兆萬年,,韋本立,,Wei Benli
6000000075343644376,Q45421279,璵 深州安平 | 璵 深州安平 五,,崔玙,,Cui Yu
6000000075343660223,Q45495734,東真 河南鞏州,,韋東真,,Wei Dongzhen
6000000075343672432,Q45421278,璪 深州安平 | 璪 深州安平 四,,崔璪,,Cui Zao
6000000075343675338,Q45484558,珣 珣 河南偃師,,崔珣,,Cui Xun
6000000075343720329,Q45420904,渾之 博陵安平 | 渾之 博陵安平 四,,崔渾之,,Cui Hunzhi
6000000075343735214,Q45421489,遴 某 深州安平,,崔遴,,Cui Lin
6000000075343735244,Q45421269,頲 深州安平 | 頲 深州安平 一,,崔颋,,Cui Ting
6000000075343786136,Q45418905,澹 京兆長安 | 澹 京兆長安 一,,韋澹,,Wei Dan
6000000075343794179,Q45402153,允之 襄州穀城 | 允之 襄州穀城 二,,韋允之,,Wei Yunzhi
6000000075343817653,Q45419628,恪 范陽方城,,張恪,,Zhang Ke
6000000075343826276,Q45421276,深州安平 | 深州安平 三,,崔,,Cui Jin
6000000075343829069,Q45419699,譽 弘農華陰,,楊譽,,Yang Yu
6000000075343829369,Q45419434,弘俊 邢州南和,,宋弘俊,,Song Hongjun
6000000075343829506,Q45442984,敬嗣 德承 清河武城,,崔敬嗣,,Cui Jingsi
6000000075343847093,Q45419244,延 延賓 京兆長安,,韋延賓,,Wei Yanbin
6000000075343864015,Q26208884,玄儼 京兆杜陵 | 玄儼 京兆杜陵 一,,韦玄俨,,Wei Xuanyan
6000000075343876077,Q30018081,愨 京兆長安 | 愨 京兆長安 一,,韋愨,,Wei Que
6000000075343955064,Q45402155,仁濟 襄州穀城 | 仁濟 襄州穀城 一,,韋仁濟,,Wei Renji
6000000075343977126,Q22078968,洪 良伯 博陵安平,,崔洪,,Cui Hong
6000000075343999143,Q45421249,嵩 深州安平 | 嵩 深州安平 三,,崔嵩,,Cui Song
6000000075343999150,Q5192679,珙 深州安平 | 珙 深州安平 二,崔珙,崔珙,,Cui Gong
6000000075344012027,Q26209539,弘慶 京兆長安 | 弘慶 京兆長安 一,,韦弘庆,,Wei Hongqing
6000000075344046045,Q7979772,溫 京兆杜陵 | 溫 京兆杜陵 二,韋温,韦温,,Wei Wen
6000000075344057129,Q45421112,儼 博陵安平 | 儼 博陵安平 一,,崔儼,,Cui Yan
6000000075344082183,Q45421263,潤之 深州安平 | 潤之 深州安平 三,,崔潤之,,Cui Runzhi
6000000075344106063,Q11053313,令欽 深州安平 | 令欽 深州安平 二,,崔令钦,,Lingqin Cui
6000000075344132044,Q45421318,逞 深州安平 | 逞 深州安平 一,,崔逞,,Cui Ying
6000000075344133937,Q45419312,汪 元度 弘農華陰,楊汪,楊汪,,Yang Wang
6000000075344158168,Q45420901,無縱 博陵安平,,崔無縱,,Cui Wucong
6000000075344174220,Q45419523,挺 崔,崔挺,崔挺,,Cui Ting
6000000075344178044,Q45420886,合 貴和 博陵安平 | 合 貴和 博陵安平 一,,崔合,,Cui He
6000000075344178049,Q17991579,秉 博陵安平 | 秉 博陵安平 二,崔秉,崔秉,,Cui Bing
6000000075344182016,Q45419403,公業 深州安平 | 公業 深州安平 一,,崔公業,,Cui Gongye
6000000075344183084,Q45597650,成甫 博陵安平,,崔成甫,,Cui Chengfu
6000000075344186904,Q45419224,慈景 天水新縣,,趙慈景,,Zhao Cijing
6000000075344186994,Q45421486,昇之 深州安平 | 昇之 深州安平 一,,崔昇之,,Cui Shengzhi
6000000075344198903,Q45419696,士貴 弘農華陰 | 士貴 弘農華陰 二,,楊士貴,,Yang Shigui
6000000075344211903,Q45420617,洵 京兆長安 | 洵 京兆長安 一,,韋洵,,Wei Xun
6000000075344212006,Q45422581,班 深州安平 | 班 深州安平 二,,崔珽,,Cui Ting
6000000075344214993,Q24835682,弘昇 博陵安平 | 弘昇 博陵安平 二,,崔弘昇,,Cui Hongsheng
6000000075344219006,Q45472380,述 元明 河南府,,崔述,,Cui Shu
6000000075344227012,Q20040177,昂 深州安平 | 昂 深州安平 一,崔昂,崔昂,,Cui Ang
6000000075344231894,Q26209473,湑 京兆長安 | 湑 京兆長安 三,,韦湑,,Wei Xu
6000000075344239936,Q45402159,不伐 次德 襄州穀城 | 不伐 次德 襄州穀城 二,,韋不伐,,Wei Bufa
6000000075344244898,Q45419247,議 京兆長安 | 議 京兆長安 三,,韋議,,Wei Yi
6000000075344249988,Q45421246,嬰甫 深州安平 | 嬰甫 深州安平 一,,崔嬰甫,,Cui Yingfu
6000000075344260875,Q26208883,弘表 光遠 京兆杜陵,,韦弘表,,Wei Hongbiao
6000000075344275016,Q11053886,沔 善冲 若沖 博陵安平,崔沔,崔沔,,Cui Mian
6000000075344278912,Q45419343,希緘 京兆長安,,韋希緘,,Wei Xijian
6000000075344281051,Q45422004,知德 博陵安平,,崔知德,,Cui Zhide
6000000075344282964,Q45419408,藝 深州安平,,崔藝,,Cui Yi
6000000075344293994,Q45419405,元植 深州安平 | 元植 深州安平 一,,崔元植,,Cui Yuanzhi
6000000075344306852,Q45419311,琛 弘農華陰,,楊琛,,Yang Chen
6000000075344308987,Q45421242,義甫 深州安平 | 義甫 深州安平 一,,崔義甫,,Cui Yifu
6000000075344309979,Q11477182,說 博陵安平 | 說 博陵安平 三,崔説,崔说,,Cui Yue
6000000075344318821,Q16260285,節 天水新縣,,赵节,,Zhao Jie
6000000075344328983,Q45421243,滂 深州安平 | 滂 深州安平 二,,崔滂,,Cui Pang
6000000075344329032,Q45420613,當 博陵安平,,崔當,,Cui Dang
6000000075344329068,Q45493806,無競 從讓 博陵安平,,崔無競,,Cui Wujing
6000000075344329899,Q7979731,保衡 京兆長安 | 保衡 京兆長安 二,韋保衡,韦保衡,,Wei Baoheng
6000000075344334144,Q45419579,巘 齊州歷城 | 巘 齊州歷城 一,,崔璙,,Cui Liao
6000000075344336898,Q45429773,某 襄州穀城 | 某 襄州穀城 四,,韋某,,Wei Mou
6000000075344340920,Q26197262,廓 博陵安平,,崔廓,,Cui Kuo
6000000075344341899,Q45418907,淡 京兆長安,,韋淡,,Wei Tan
6000000075344357849,Q45402148,方憲 宋州宋城 | 方憲 宋州宋城 二,,韋方憲,,Wei Fangxian
6000000075344358872,Q45402150,鈞 宋州宋城,,韋鈞,,Wei Jun
6000000075344360943,Q45421235,晊 博陵安平 | 晊 博陵安平 三,,崔晊,,Cui Zhi
6000000075344366033,Q45420895,播 博陵安平,,崔播,,Cui Bo
6000000075344371838,Q45402142,象 京兆長安 | 象 京兆長安 二,,韋象,,Wei Xiang
6000000075344373996,Q45420610,廣 博陵安平,,崔廣,,Cui Guang
6000000075344376090,Q20063181,靈媛 廣平列人,,宋灵媛,,Song Lingyuan
6000000075344381922,Q45421260,確 博陵安平 | 確 博陵安平 四,,崔确,,Cui Que
6000000075344387147,Q45419430,欽仁 廣平列人 | 欽仁 廣平列人 二,,宋欽仁,,Song Qinren
6000000075344403878,Q5192725,造 深州安平 | 造 深州安平 二,崔造,崔造,,Cui Zao
6000000075344403900,Q26197291,弘度 博陵安平 | 弘度 博陵安平 一,,崔弘度,,Cui Hongdu
6000000075344403932,Q45421261,恭禮 深州安平 | 恭禮 深州安平 一,,崔恭禮,,Cui Gongli
6000000075344414854,Q45429710,國華 襄州穀城 | 國華 襄州穀城 三,,韋國華,,Wei Guohua
6000000075344428853,Q45484623,杲之 某 河南,,崔杲之,,Cui Gaozhi
6000000075344436122,Q45568055,璡 清河武城,,崔璡,,Cui Jin
6000000075344440932,Q45420891,仲琰 博陵安平 | 仲琰 博陵安平 二,,崔仲琰,,Cui Zhongyan
6000000075344444874,Q45457955,遂 通玄 京兆萬年,,崔遂,,Cui Sui
6000000075344445964,Q45422446,深州安平,,崔氏,,Cui Shi
6000000075344447855,Q45402156,襄 逾中 襄州穀城,,韋襄,,Wei Xiang
6000000075344456838,Q26197266,琨 博陵安平 | 琨 博陵安平 二,,崔琨,,Cui Kun
6000000075344469877,Q45447080,逢 玄成 河南,,崔逢,,Cui Feng
6000000075344470859,Q45421481,紹 紹睿 深州安平 | 绍 博陵 | 紹 紹睿 深州安平 二,,崔紹睿,,Cui Shaorui
6000000075344471821,Q45469528,詢 温巳 京兆萬年,,韋詢,,Wei Xun
6000000075344483890,Q45421265,雋 深州安平 | 雋 深州安平 一,,崔俊,,Cui Jun
