geni_id	qid	property	ours	theirs	apart	their_referenced	their_rank	their_other_values
6000000000044861300	Q107149472	P22	Q98970510	Q880222	structural	yes	normal	0
6000000000044861300	Q107149472	P25	Q98970762	Q87195968	structural	yes	normal	0
6000000000044861300	Q107149472	P570	5 JUN 1859	1869	10	yes	normal	0
6000000003075753294	Q107183070	P570	26 MAR 1676	1693	17	yes	normal	0
6000000074767492999	Q10719160	P570	752	771	19	yes	normal	0
6000000074767178309	Q10719402	P570	765	771	6	yes	normal	0
6000000074767346123	Q10720076	P570	784	771	13	yes	normal	0
6000000074767734907	Q10720201	P570	763	771	8	yes	normal	0
6000000074767464979	Q10721524	P570	784	771	13	yes	normal	0
6000000057294314037	Q10742819	P570	482	500	18	no	normal	0
6000000041262122168	Q107621858	P570	212	204	8	no	preferred	2
6000000003645864842	Q107638183	P26	Q684275	Q35691900	structural	yes	normal	0
6000000004047819814	Q107722272	P569	20 JUN 1759	1755	4	yes	normal	0
6000000010878585421	Q108433284	P570	1611	1618	7	yes	normal	0
6000000009101487548	Q1084412	P22	Q23981164	Q108476104	structural	no	normal	0
6000000075344951124	Q10880667	P570	582	568	14	yes	normal	0
6000000006933091198	Q108840584	P570	13 SEP 1878	1838	40	no	normal	0
6000000002512340834	Q108840607	P570	1650	1643	7	yes	normal	0
6000000003122453940	Q108870584	P569	1346	1350	4	no	normal	0
6000000014192397492	Q108885805	P569	1343	1377	34	yes	normal	0
6000000014192424327	Q108886223	P25	Q2084307	Q128399	structural	no	normal	0
6000000086876494883	Q108929116	P570	21 APR 1888	1867	21	no	normal	0
6000000086915469163	Q108929430	P569	1780	1788	8	no	normal	0
6000000003166148300	Q108998	P569	1270	1283	13	yes	normal	0
6000000003493396104	Q109010961	P570	1539	1556	17	yes	preferred	2
6000000003645847650	Q1091124	P22	Q3356	Q2045778	structural	no	normal	0
6000000003645847650	Q1091124	P569	-200	-150	50	yes	normal	0
6000000074749878485	Q10917639	P570	919	870	49	no	normal	0
6000000008630735902	Q109447093	P570	360	313	47	yes	normal	0
6000000091286606826	Q1095218	P26	Q426192	Q1095078	structural	no	normal	0
6000000000541586091	Q109704310	P569	1439	1430	9	yes	normal	0
6000000075061150883	Q10975505	P570	652	684	32	no	normal	0
6000000006895244042	Q109769418	P570	4 MAY 1764	1794	30	yes	normal	0
6000000001354010633	Q109769419	P570	27 MAY 1737	1729	8	yes	normal	0
6000000005912902306	Q109860	P569	603	611	8	yes	normal	0
6000000006821699341	Q110154727	P570	14 MAR 1583	1563	20	no	normal	0
6000000002848584712	Q110302872	P569	1633	1627	6	no	normal	0
6000000002066620294	Q110304695	P570	1620	1615	5	yes	normal	0
6000000010860351982	Q110371480	P569	1632	1637	5	yes	normal	0
6000000074717028946	Q11054091	P569	768	750	18	yes	normal	0
6000000011567882104	Q110586519	P569	1518	1563	45	no	normal	0
6000000001363868253	Q110715900	P570	1762	1800	38	yes	normal	0
6000000021150904515	Q11075508	P570	679	653	26	no	normal	0
6000000074750858951	Q11095360	P570	797	762	35	no	normal	0
6000000074750593921	Q11095378	P570	897	919	22	yes	normal	0
6000000074750388230	Q11095388	P570	797	783	14	yes	normal	0
6000000074750859969	Q11095395	P570	797	783	14	no	normal	0
6000000074750325380	Q11095397	P570	797	791	6	no	normal	0
6000000075061100883	Q11095431	P570	652	680	28	no	normal	0
6000000075060953885	Q11095437	P570	652	665	13	no	normal	0
6000000007512887719	Q11095892	P570	522	544	22	yes	normal	0
6000000074734918065	Q11095980	P570	625	619	6	no	normal	0
6000000074750508938	Q11097190	P569	850	840	10	no	normal	0
6000000074750508938	Q11097190	P570	865	876	11	no	normal	0
6000000007512954111	Q11097387	P570	495	517	22	yes	normal	0
6000000074735508908	Q11097430	P570	712	682	30	no	normal	0
6000000074750527009	Q11097583	P570	905	953	48	yes	normal	0
6000000074750515082	Q11097672	P570	834	847	13	yes	normal	0
6000000074750774919	Q11097677	P570	876	847	29	yes	normal	0
6000000074750862833	Q11097694	P570	826	847	21	yes	normal	0
6000000074750681956	Q11097695	P570	835	847	12	yes	normal	0
6000000074750578017	Q11097705	P570	807	847	40	yes	normal	0
6000000074750559113	Q11097721	P570	814	847	33	yes	normal	0
6000000074750736910	Q11097726	P570	837	847	10	yes	normal	0
6000000074750561042	Q11097749	P570	806	847	41	yes	normal	0
6000000074749907601	Q11097762	P570	860	847	13	yes	normal	0
6000000074750781891	Q11097772	P570	822	847	25	yes	normal	0
6000000074750786919	Q11097787	P570	833	847	14	yes	normal	0
6000000074750666979	Q11097789	P570	828	847	19	yes	normal	0
6000000074750576159	Q11097798	P570	861	847	14	yes	normal	0
6000000074750468195	Q11097799	P570	823	847	24	yes	normal	0
6000000074750608951	Q11097999	P570	841	895	54	yes	normal	0
6000000074750676843	Q11098005	P570	833	828	5	yes	normal	0
6000000074735561821	Q11098139	P570	652	622	30	no	normal	0
6000000048523353217	Q11109359	P570	491	522	31	yes	normal	0
6000000048526958843	Q11110062	P569	739	750	11	yes	normal	0
6000000011997957937	Q111109033	P570	1927	1886	41	yes	normal	0
6000000074749391808	Q11113738	P569	781	750	31	yes	normal	0
6000000016457548670	Q111219518	P569	1570	1582	12	yes	normal	0
6000000001180336321	Q111917756	P569	22 JUN 1740	1736	4	yes	normal	0
5149454096190073787	Q111989136	P570	19 MAR 1601	1609	8	yes	normal	0
6000000003585154826	Q111989163	P569	1438	1500	62	no	normal	0
6000000084177667451	Q112257682	P570	1802	1761	41	yes	normal	0
6000000003828392237	Q1131441	P570	316	400	84	no	normal	0
6000000000601943078	Q114780859	P570	25 JAN 1782	1744	38	yes	normal	0
6000000021122246892	Q11534599	P570	587	615	28	no	normal	0
6000000074705648192	Q11541089	P570	594	571	23	yes	normal	0
6000000014152449788	Q115482728	P570	1537	1530	7	yes	normal	0
6000000001845204180	Q115573689	P570	24 JUN 1781	1812	31	yes	normal	0
6000000011416249643	Q115574332	P570	17 APR 1785	1781	4	yes	normal	0
6000000002198392736	Q115633976	P22	Q1357094	Q115633978	structural	yes	normal	0
6000000008033890908	Q115861184	P570	6 DEC 1768	1763	5	yes	normal	0
6000000003645864016	Q1159574	P570	81	100	19	no	normal	0
6000000003493255879	Q116042662	P22	Q134986617	Q40549991	structural	yes	normal	0
6000000007980352443	Q116121319	P570	1565	1572	7	no	normal	0
6000000011090284861	Q1163079	P569	1442	1401	41	yes	normal	0
6000000011626877868	Q11642999	P25	Q111109033	Q105711345	structural	yes	normal	0
6000000055763423823	Q11643938	P569	455	450	5	yes	normal	0
6000000008954356091	Q116479956	P22	Q134985907	Q116479957	structural	yes	normal	0
6000000005059424801	Q117477378	P570	26 SEP 1302	1400	98	yes	normal	0
6000000004287155704	Q1177456	P569	1144	1152	8	yes	normal	0
6000000011536425567	Q118197385	P570	1864	1904	40	no	normal	0
6000000001169087690	Q11979148	P570	7 MAY 1567	1577	10	yes	normal	0
6000000180815172825	Q12001101	P569	1040	1025	15	yes	normal	0
6000000002556473072	Q120142936	P570	27 APR 1777	1762	15	yes	normal	0
6000000043007675168	Q12083778	P22	Q4142839	Q11609596	structural	yes	normal	0
6000000080892097734	Q12085112	P22	Q2594607	Q2625725	structural	yes	normal	0
6000000014980818308	Q121029260	P25	Q60593125	Q121029189	structural	yes	normal	0
5020155500120110724	Q121130	P569	APR 1181	1177	4	no	normal	0
6000000010021188350	Q121915548	P570	MAR 1770	1754	16	yes	normal	0
6000000003541035119	Q122151952	P569	1668	1685	17	yes	normal	0
6000000041763756822	Q122925808	P570	1608	1615	7	yes	normal	0
6000000001511221493	Q12293630	P22	Q1242010	Q12289187	structural	no	normal	0
6000000001205324797	Q12302384	P25	Q11959446	Q110703075	structural	yes	normal	0
6000000007980759044	Q12322336	P569	1516	1526	10	yes	normal	0
6000000011972333126	Q1232403	P26	Q237700	Q124352935	structural	yes	normal	0
6000000000294572174	Q12330243	P26	Q111988868	Q12301850	structural	yes	normal	0
4973130827110042660	Q12332325	P26	Q111988868	Q12301850	structural	no	normal	0
4973130827110042660	Q12332325	P569	1466	1460	6	yes	normal	0
6000000007589859284	Q1233616	P25	Q236259	Q259576	structural	no	normal	0
6000000012504678272	Q12340195	P570	22 MAR 1803	1808	5	yes	normal	0
6000000000770366029	Q123643515	P569	7 AUG 1693	1715	22	yes	normal	0
6000000000770366029	Q123643515	P570	5 MAY 1761	1776	15	yes	normal	0
6000000000315893217	Q1239423	P570	325	400	75	no	normal	0
6000000006946431249	Q1254885	P570	367	400	33	no	normal	0
6000000006090580622	Q12591	P569	-610	-642	32	no	normal	0
6000000003146957188	Q126237	P569	1074	1060	14	no	normal	0
6000000000172782992	Q1270114	P22	Q433463	Q20005554	structural	yes	normal	0
6000000019777753357	Q127785316	P570	1587	1576	11	yes	normal	0
6000000000700945532	Q1282468	P570	434	449	15	no	normal	0
385217766960003428	Q128358	P569	1346	1354	8	yes	normal	0
6000000001409339120	Q128399	P570	17 MAR 1399	1392	7	yes	normal	2
6000000003858563666	Q12900863	P569	1361	1350	11	yes	normal	0
6000000001504918225	Q129024060	P22	Q111988853	Q16064119	structural	no	normal	0
6000000001504918209	Q129025052	P22	Q111988853	Q16064119	structural	no	normal	0
6000000001504918209	Q129025052	P570	6 JAN 1582	1552	30	yes	normal	0
6000000001504918217	Q129055270	P22	Q111988853	Q16064119	structural	no	normal	0
6000000001669612541	Q129056477	P26	Q4154342	Q1992398	structural	yes	normal	0
6000000080877835024	Q13028650	P22	Q13030454	Q2502278	structural	no	normal	0
6000000002187837528	Q13028657	P569	1112	1116	4	no	normal	0
6000000002187837447	Q13030449	P569	1139	1150	11	yes	normal	0
6000000008537611560	Q13031421	P22	Q2502278	Q2502306	structural	no	normal	0
6000000008537611560	Q13031421	P570	1203	1194	9	yes	normal	0
6000000080799128829	Q13031603	P22	Q13478492	Q2625725	structural	yes	normal	0
6000000020985995840	Q130529662	P25	Q129404479	Q4056769	structural	yes	normal	0
6000000020986031822	Q130529663	P25	Q129404479	Q4056769	structural	yes	normal	0
6000000014926332501	Q133825518	P26	Q2337199	Q3646458	structural	yes	normal	0
6000000003098118619	Q1343016	P569	1048	1043	5	yes	normal	0
6000000005240455263	Q1344986	P569	1080	1090	10	no	normal	0
6000000080795374822	Q13478492	P22	Q2502278	Q2625725	structural	no	normal	0
6000000080797215850	Q13478512	P22	Q2502278	Q2502306	structural	no	normal	0
6000000080810860893	Q13478569	P22	Q4097582	Q2502260	structural	no	normal	0
6000000012050337094	Q134985963	P25	Q7701203	Q134981976	structural	no	normal	0
6000000045461685045	Q134986412	P22	Q11905099	Q110586546	structural	no	normal	0
6000000045461685045	Q134986412	P25	Q110586544	Q110586547	structural	no	normal	0
6000000045462191887	Q134986414	P22	Q11905099	Q110586546	structural	no	normal	0
6000000045462191887	Q134986414	P25	Q110586544	Q110586547	structural	no	normal	0
6000000013146763714	Q134986439	P22	Q134986339	Q110586519	structural	no	normal	0
6000000013146763714	Q134986439	P25	Q134985843	Q110586521	structural	no	normal	0
6000000052945292242	Q134986442	P22	Q134986001	Q134985471	structural	no	normal	0
6000000052945617042	Q134986443	P22	Q134986001	Q134985471	structural	no	normal	0
