qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q10087177	6000000074787646989	Yao Shu	no	yes	P22,P40	3
Q10107750	6000000074698434144	Kong Yanzhi	no	yes	P22,P40	1
Q10115605	6000000074703431263	Sun Zude	no	yes	P22,P40	1
Q10120827	6000000075427343824	Meng binyu	no	yes	P40	2
Q10125270	6000000075481396885	Sun Sigong	no	yes		1
Q10125565	6000000074703721018	Sun Bian	no	yes	P22,P40	1
Q10127704	6000000074703880937	Sun Changqing	no	yes	P22	1
Q10161951	6000000075422982857	An Shouliang	no	yes	P22	1
Q10184707	6000000075414586929	Song Xi	no	yes		2
Q10195137	6000000038201385151	Song Wo	yes	yes	P22,P25,P40	4
Q10195253	6000000075344174163	Song Hun	no	yes	P22	2
Q10195480	6000000075406186194	Song Shen	no	yes	P22,P25,P40	1
Q10195745	6000000063343218912	Song Shou	yes	yes	P22,P40	3
Q10197451	6000000074703693225	Song Di	yes	yes	P22	5
Q10233798	6000000074784871395	Xuan Zeng	no	yes	P22	1
Q10244158	6000000074784398185	Jia Xuanweng	no	yes		1
Q10259846		Feng Xiaoyan	no	yes	P22,P40,P3373	2
Q10259855		Feng Longzhi	no	yes	P22,P40	2
Q10259883	6000000075326922974	Yuchi Baolin	no	yes	P22,P25	2
Q10260387		Söse	no	yes	P22,P25,P3373	2
Q10265294	6000000074717612001	Yin Yuan	no	yes	P22,P40,P3373	1
Q10265327	6000000075423972039	Yin Qishen	no	yes		1
Q10271210		Cui Peng	no	yes	P22,P40	3
Q10271262	6000000074704226057	Cui Taifu	no	yes		1
Q10271321	6000000074716986016	Cui Xian	no	yes	P22,P40	1
Q10271512	6000000075344727977	Cui Zhaoju	no	yes	P22	1
Q10271617	6000000074747851036	Cui Zhuan	no	yes	P22,P40,P3373	1
Q10271660		Cui Yixuan	no	yes	P22,P40	2
Q10271678	6000000075484703616	Cui Han	no	yes	P40	1
Q10271698	6000000074716811255	Cui Jiao	no	yes	P22	1
Q10271786		Cui Xinggong	no	yes	P22,P40	3
Q10271804	6000000074717138923	Cui Zhan	no	yes	P22	1
Q10271876		Cui Xing	no	yes	P22	1
Q10280081	6000000074708862446	Chang Wuming	no	yes	P22,P40	1
Q10282143	6000000075426999843	Xing Yinxun	no	yes		2
Q10287656	6000000074783367864	Liao Deming	no	yes		1
Q10292658	6000000074770862883	Zhang Wumeng	no	yes		1
Q10293151	6000000075484126216	Zhang Duanyi	no	yes		2
Q10293267	6000000074685571945	Zhang Zhiyuan	no	yes	P22	1
Q10293285	6000000074686862899	Zhang Shunmin	no	yes	P22,P40	2
Q10293598	6000000075405056854	Zhang Qiqiu	no	yes	P22,P40	1
Q10293920	6000000075060508870	Zhang Jiugao	no	yes	P22,P40	1
Q10294699	6000000074733399028	Zhang Hongce	no	yes	P22,P40	2
Q10294985	6000000075484666857	Zhang Mengde	no	yes		1
Q10295119	6000000075397912902	Zhang Wengui	no	yes	P22,P40	1
Q10295721	6000000075058419834	Zhang Gang	no	yes	P22,P40	1
Q10295840	6000000075328253015	Zhang Jian	no	yes	P22,P40	3
Q10295868	6000000074735682051	Zhang Xingcheng	no	yes	P40	1
Q10295880	6000000037889287747	Zhang Biaochen	no	yes		1
Q10295889	6000000075430320911	Zhang Yue	no	yes	P22,P40	1
Q10295911	6000000074685377056	Zhang Bangji	no	yes	P22	3
Q10295919	6000000074299827992	Zhang Yong	no	yes	P40	1
Q10295973	6000000051945816932	Qiang Zhi	no	yes	P40	1
Q10296175		Zhangtai	no	yes	P22,P40	2
Q10296338	6000000075482839883	Xu Fu	no	yes	P40	1
Q10296401	6000000074770768840	Xu Qingsou	no	yes	P22	1
Q10296403		Xu Zhanzhi	no	yes	P22,P25,P40	2
Q10296407	6000000075431126979	Xu Ji	no	yes	P22	3
Q10296413	6000000074691374315	Xu Xi	no	yes	P22,P40	1
Q10296421	6000000075326158468	Xu Ziming	no	yes		1
Q10296423	6000000074771478868	Xu Fan	no	yes		1
Q10296426	6000000074770849859	Xu Rongsou	no	yes	P22	1
Q10296436	6000000074733218821	Xu Kai	no	yes	P22	3
Q10296822		Murong Xuanchao	no	yes	P22,P25,P40,P3373	3
Q10297039	6000000074784233328	Hu Meng	no	yes	P22	1
Q10297212		Anzhijidai	no	yes	P22,P40	5
Q10299269	6000000075328183989	Jing Bo	no	yes		2
Q10300103	6000000038220851214	Wen Jifu	no	yes	P22	1
Q10301066	6000000074751039986	Wen Weng	no	yes		2
Q10307923	6000000074792884020	Fang Shao	no	yes		1
Q10308129	6000000075421088887	Fang Shanjing	no	yes	P22,P25	2
Q10308428	6000000075506894859	Fang Dengyi	no	yes	P22,P40	1
Q10308615	6000000075345529854	Yu Ao	no	yes	P22,P40	2
Q10309461	6000000074757353870	Shi Chou	no	yes		2
Q10313955	6000000074727701079	Shi Shaozhang	no	yes	P22	1
Q10317793	6000000037869833609	Chao Jiong	no	yes	P22,P40	2
Q10323112	6000000074725792513	Cao Liyong	no	yes	P22,P40	2
Q10323658	6000000074745406022	Cao Jing	no	yes	P22,P40	1
Q10323734	6000000074704378049	Cao Yingshu	no	yes		1
Q10324490	6000000038069706867	Zeng Xiaokuan	no	yes	P22,P40	1
Q10324555	6000000038069538248	Zeng Xiaoyun	no	yes	P22,P40	1
Q10330338	6000000074711781860	Zhu Bian	yes	yes	P22,P40	3
Q10331089	6000000074711529955	Zhu Yi	no	yes	P22,P40	1
Q10331300	6000000074691523911	Zhu E	no	yes	P22,P40	1
Q10331388	6000000038201404345	Li Zhiyi	no	yes	P22,P40	1
Q10332085	6000000074750799821	Li ?	no	yes	P22,P40,P3373	1
Q10332182	6000000075425133822	Li Jiuling	no	yes		1
Q10332262	6000000075399132050	Li Liang	no	yes	P22,P40,P3373	1
Q10332436	6000000074750543914	Li Ji	no	yes	P22,P3373	1
Q10332536	6000000074750615941	Li Bao	no	yes	P22,P3373	1
Q10333344	6000000074769147897	Li Gu	yes	yes	P22,P40	5
Q10333491	6000000074699290275	Li Kan	no	yes	P40	1
Q10333884	6000000074749178870	Li Cunli	no	yes	P22,P3373	1
Q10333929	6000000074749221821	Li Cunmei	no	yes	P22,P3373	2
Q10333957		Li Xiaoxie	no	yes	P22,P40,P3373	2
Q10334181	6000000074750256416	Li Xuan	no	yes	P22	2
Q10334412	6000000074750508039	Li Qi	no	yes	P22,P3373	1
Q10334500	6000000074750590989	Li Yi	no	yes	P22,P3373	1
Q10334525	6000000074750480176	Li Xian	no	yes	P22,P3373	1
Q10334553	6000000074749995425	Li Jun	no	yes	P22,P3373	1
Q10334646	6000000074750678916	Li Cuo	no	yes	P22,P3373	1
Q10334669	6000000074712317938	Li Yi	no	yes	P22,P40	1
Q10334695	6000000074699111347	Li Shizhong	no	yes	P22,P40	1
Q10334812	6000000074736917090	Li Zhi	no	yes		2
Q10334836	6000000074735001940	Li Yanbo	no	yes	P22,P40,P3373	1
Q10334889	6000000075425814893	Li Tinggui	no	yes	P22	2
Q10335022	6000000074699107210	Li Congshan	no	yes	P22,P25,P40,P3373	2
Q10335031	6000000074734564078	Li Deliang	no	yes	P22,P40,P3373	1
Q10335039	6000000075425764860	Li Dechu	no	yes		1
Q10335214	6000000074750751869	Li Xun	no	yes	P22,P40,P3373	2
Q10335322	6000000074750265294	Li Yue	no	yes	P22,P40,P3373	1
Q10335390	6000000074750755859	Li Yin	no	yes	P22,P40,P3373	1
Q10335476	6000000074750602014	Li Dan	no	yes	P22,P40,P3373	1
Q10335499	6000000074750499973	Li Yi	no	yes	P22,P40,P3373	2
Q10335524	6000000075424999947	Li Cheng	no	yes		2
Q10335712	6000000074792369036	Li Chengji	no	yes		1
Q10335983	6000000074750169911	Li Fangzi	no	yes	P40	2
Q10336135	6000000074734494144	Li Hui	no	yes	P22,P40	3
Q10336159		Li Jingjian	no	yes	P22,P40	3
Q10336473	6000000074751054982	Li Zhengmin	no	yes	P40	1
Q10336685	6000000074750570955	Li Ze	no	yes	P22,P3373	1
Q10336705	6000000074750147263	Li Jing	no	yes	P22,P3373	1
Q10336794	6000000074750668878	Li Qia	no	yes	P22,P3373	3
Q10337238	6000000074734820047	Li Jian	no	yes	P22,P40,P3373	1
Q10337438	6000000074735626121	Li Zhixiao	no	yes		1
Q10337824	6000000075424585196	Li Zun	no	yes		1
Q10337964	6000000074750794916	Li Shan	no	yes	P22,P40,P3373	1
Q10338022	6000000074734419267	Li Hui	no	yes	P22,P40,P3373	1
Q10338085	6000000074750888840	Li Ji	no	yes	P22,P3373	1
Q10338127	6000000047471201887	Li Wei	no	yes	P22,P40	1
Q10338313	6000000075425847889	Li Shunju	no	yes		1
Q10338351	6000000074699014438	Li Ruoxu	no	yes		1
Q10338468	6000000075061063879	Li Ai	no	yes	P22,P40	1
Q10338496		Li Xuzhong	no	yes	P22,P25,P40	1
Q10338578	6000000074750266236	Li Jie	no	yes	P22,P3373	1
Q10338604	6000000074750265186	Li Liang	no	yes	P22,P3373	2
Q10338646	6000000074749923465	Li E	no	yes	P22,P3373	1
Q10338690	6000000074750372035	Li Qian	no	yes	P22,P3373	1
Q10338937	6000000074749721790	Li Nai	yes	yes	P22,P3373	2
Q10338963	6000000074750755997	Li Tong	no	yes	P22,P3373	1
Q10339093	6000000074735476857	Li Daoming	no	yes	P22,P40,P3373	1
Q10339141	6000000074750852910	Li Su	no	yes	P22,P3373	1
Q10339165		Komutan Li Çefu	no	yes	P22	2
Q10339208	6000000074750990821	Li Yu	no	yes	P22,P40,P3373	1
Q10339233	6000000074699751886	Li Bangyan	no	yes	P22,P40	1
Q10339781	6000000075413658038	Li Fu	no	yes	P22,P40	1
Q10339856	6000000075346326846	Li Guinian	no	yes	P22	3
Q10340192	6000000074716938141	Du Sheng	no	yes	P22,P40	1
Q10340350	6000000074704846850	Du Shu	no	yes	P22	1
Q10340529		Du Chuke	no	yes	P22,P3373	1
Q10340552		Du Gou	no	yes	P22,P3373	1
Q10340792		Du He	no	yes	P22,P3373	1
Q10340914	6000000075401800891	Du Pengju	no	yes	P22,P40	1
Q1034103	6000000038242189907	Imperial Uncle Cao	yes	yes	P22,P40,P3373	17
Q10341447	6000000039105350852	Yang Daya	no	yes	P22,P40	1
Q10341540	6000000074771301902	Yang Hongzhong	no	yes		1
Q10341728		Yang Qing	no	yes	P22	2
Q10341764	6000000074706037951	Yang Hongli	no	yes	P22,P3373	1
Q10342159	6000000074705682021	Yang Ji	no	yes	P22	1
Q10342428	6000000074705691179	Yang Hong	no	yes	P22	1
Q10342622	6000000075050629107	Yang Zantu	no	yes	P22	1
Q10342645	6000000075051044821	Yang Zanyu	no	yes	P22,P40	1
Q10343063	6000000075506668860	Hang Wenru	no	yes	P22	1
Q10346439	6000000074699048453	Lin Chongzhi	no	yes	P40	1
Q10346479	6000000075427056913	Lin Qianzhi	no	yes		1
Q10346666	6000000074771354963	Lin Danai	no	yes		1
Q10347349	6000000074782456514	Lin Jingxi	no	yes		1
Q10347547	6000000074699871900	Lin Gai	no	yes	P22,P25,P40	1
Q10348303	6000000074728565879	Lin Yun	no	yes	P22	1
Q10348617	6000000074727965444	Lin Ting	no	yes		1
Q10349228		Bai Qi	no	yes	P22	2
Q10349252		Bai Liangqi	no	yes	P22,P40	1
Q10349754		Zha Kui	no	yes	P40	1
Q10350168		Liu Zhongli	no	yes	P22,P40	2
Q10350183	6000000075405930843	Liu Zhongying	no	yes	P22,P25,P40	2
Q10350263	6000000052102539054	Liu Gongchuo	no	yes	P22,P40	2
Q10350503	6000000021121976747	Liu Ji	no	yes	P22,P40,P3373	2
Q10350730		Liu Jing	no	yes	P22,P40	2
Q10350785		Liu Fang	no	yes	P22,P40	3
Q10353016	6000000075405012028	Gui Wanrong	no	yes		1
Q10356212	6000000074788693309	Liang Yin	no	yes	P22,P40	2
Q10356963		Liang Shi	no	yes	P22,P40	1
Q10359721	6000000074737764855	Yang Xin	no	yes	P40	1
Q10359797	6000000075343839164	Yang Yuanqing	no	yes	P22,P40	1
Q10360383	6000000074733202025	Yang Yi	no	yes	P22,P40	1
Q10360464	6000000074706064896	Yang Riyan	no	yes	P22,P40	1
Q10360558	6000000074728157065	Yang Dong	no	yes	P22,P25,P40	1
Q10360753	6000000075050686950	Yang Rushi	no	yes	P22,P40	2
Q10360814		Yang Chaoguan	no	yes	P40,P3373	3
Q10363244	6000000074691652913	Fan Zhigu	no	yes	P22,P40	1
Q10363272	6000000074701622866	Lou Guang	no	yes	P22	1
Q10363294	6000000074701159281	Lou Chang	no	yes	P22,P40	1
Q10363322	6000000074701356110	Lou Yi	no	yes	P22,P40	1
Q10365264	6000000074736025998	Quan Qu	no	yes	P22,P40	1
Q1036575		Chinkim	yes	yes	P22,P25,P40,P3373	22
Q10366772	6000000037591607386	Ouyang Guan	no	yes	P22,P40	1
Q10367424		Wu Ruheng	no	yes	P22,P40	2
Q10367469	6000000074771241888	Wu Yuanshuang	no	yes	P22,P25,P40,P3373	3
Q1036784	6000000002188099722	Yelü Bei	yes	yes	P22,P25,P40,P3373	13
Q10368456		Wu Yihuang	no	yes	P22	1
Q10371453	6000000074714989033	Mao Pang	no	yes	P40	2
Q10378427	6000000075422628947	Shaoyu Jiang	no	yes		2
Q10378748	6000000074749067997	Jiang Wenwei	no	yes	P22	2
Q10379457	6000000075424189868	Wang Yifeng	no	yes		1
Q10379466	6000000074704091471	Wang Siwen	no	yes	P22,P40	1
Q10379479	6000000075423723133	Wang Chucai	no	yes		1
Q10379511	6000000075503047827	Fenyang Shanzhao	no	yes		4
Q10379533	6000000074727711062	Shen Zuozhe	no	yes		2
Q10379544		Shen Junli	no	yes	P40	3
Q10379589	6000000074771306943	Shen Jizu	no	yes		1
Q10379593	6000000075049908144	Shen Qi	no	yes	P22	1
Q10381917	6000000074727367964	Hong Qin	no	yes		1
Q10382117	6000000074727880928	Hong Chu	no	yes	P22,P25	1
Q10396531		Wen Yanjiang	no	yes	P22,P40,P3373	1
Q10396554		Wen Daya	no	yes	P22,P40,P3373	2
Q10396666		Wen Zhang	no	yes	P22	1
Q10396675		Wen Zao	no	yes	P22,P40	2
Q10396714	6000000075499936871	Teng Lin	no	yes	P22,P40	1
Q10396886	6000000074730415860	Pan Daguan	no	yes	P22,P3373	1
Q10412105		Wang Renyou	no	yes	P40	1
Q10412293	6000000075423110935	Wang Shen	no	yes	P22	2
Q10412907	6000000074751603901	Wang Zhou	no	yes	P22,P40	2
Q10414172	6000000074705540855	Wang Deyong	no	yes	P22,P40	1
Q10414324	6000000074751196346	Wang Weizhong	no	yes		1
Q10414568	6000000075419950888	Wang Cao	no	yes		1
Q10414594	6000000075418902373	Wang Zhengzhong	no	yes		1
Q10414698	6000000075403421823	Wang Jingzhi	no	yes	P22,P40	1
Q10414855	6000000075419495993	Wang Zhaosu	no	yes	P40	1
Q10415243	6000000074705487931	Wang Ciweng	no	yes	P22,P25,P40	1
Q10415352	6000000075420955032	Wang Ruyi	no	yes		1
Q10415399	6000000075407408958	Wang Yisun	no	yes		2
Q10415436	6000000074705519893	Wang Yan	no	yes	P40	1
Q10415546	6000000074705153070	Wang Huai	no	yes	P22,P40	1
Q10415648	6000000075412302875	Wang Yanwu	no	yes	P22,P25,P40	2
Q10415993	6000000074725840475	Zhifang Wang	no	yes	P22,P40	2
Q10416241	6000000075420092840	Wang Ji	no	yes		1
Q10416678	6000000074792423972	Wang Ruoxu	no	yes	P22,P40	1
Q10416779	6000000074705540888	Wang Shen	no	yes	P40	1
Q10416850		Wang Bao	no	yes	P22,P40	3
Q10416918		Wang Gui	no	yes	P22,P40,P3373	2
Q10416943	6000000074705384967	Wang Di	no	yes	P22	2
Q10417099		Wang Xiangzhi	no	yes	P22	1
Q10417129	6000000074705088051	Wang Yiyong	no	yes	P22,P40	2
Q10417198	6000000046992252027	Wang Zhi	no	yes	P22,P40	1
Q10417288	6000000074727807075	Wang Pizhi	no	yes		1
Q10417313	6000000074728459057	Wang Mai	no	yes	P22	1
Q10417744	6000000074784466035	Wang Yuan	no	yes	P22	1
Q10417893	6000000074705203882	Wang Shao	no	yes	P22,P40	1
Q10425928	6000000075422015941	Tian Chongjin	no	yes	P40	1
Q10430257	6000000075422530838	Bai Zhongzan	no	yes		1
Q10435527		Lu Hongzheng	no	yes	P22,P3373	1
Q10435702	6000000074701104269	Lu Zhiyuan	no	yes	P22	1
Q10439517	6000000074724833455	Shi Yuansun	no	yes	P22	1
Q10451117		Qin Ying	no	yes	P40	1
Q10451687	6000000074744918979	Cheng Bushi	no	yes		2
Q10451804	6000000074747474965	Cheng Dexuan	no	yes	P40	1
Q10452000	6000000075062034852	Cheng Yu	no	yes	P22,P25,P40	1
Q10452048	6000000074685242052	Cheng Qi	no	yes	P22	1
Q10452130	6000000074745522964	Cheng Ruoyong	no	yes		1
Q10452159	6000000074792705843	Cheng Jiong	no	yes	P40	1
Q10454222	6000000075368107880	Dou Yue	no	yes	P22,P40,P3373	1
Q10454247		Dou Huaizhe	no	yes	P22,P40	1
Q10454303	6000000075368353862	Dou Dan	no	yes	P22,P40,P3373	2
Q10454327	6000000075369593821	Dou Kui	no	yes	P22,P40	1
Q10454410		Dou Yun	no	yes	P22,P40	1
Q10454482	6000000074716923880	Dou Yujun	no	yes	P22,P40	3
Q10454506		Dou Qun	no	yes	P22,P40	3
Q10455076	6000000074792391970	Zhang Ruyu	no	yes		1
Q10455369	6000000074686727070	Zhang Pin	no	yes	P22,P40	1
Q10456598	6000000074747558921	Fu Weizhong	no	yes	P22	1
Q10479413		Yang Dan	no	yes	P22,P40,P3373	1
Q10484606	6000000074791990957	Yelü Zhimo	yes	yes	P22,P25,P3373	4
Q10484733	6000000017547984176	Yelü Pidie	no	yes	P22,P40	1
Q10484790	6000000074791731076	Yelü Shao	no	yes	P22,P25,P3373	1
Q10484847	6000000074792156856	Yelü Longxian	no	yes	P22,P25,P40,P3373	2
Q10484874	6000000002188099829	Yelü Keling	no	yes	P22,P40	1
Q10488819	6000000075326741871	Hu Mengyu	no	yes	P40	1
Q10489374	6000000074698195059	Hu Dan	no	yes	P40	2
Q10489897	6000000074771520848	Hu Hong	no	yes		1
Q10491346		Kua Tou	no	yes	P22,P40	2
Q10497131	6000000074703625964	Shu Dan	no	yes		1
Q10503599	6000000074745494830	Fan Tianshun	no	yes		1
Q10503843	6000000074788784303	Fan Peng	no	yes		3
Q10503917	6000000038046081130	Fan Wen	no	yes	P22	1
Q10511382	6000000021260997305	Xiao Lezi	no	yes	P22,P40,P3373	2
Q10511544	6000000021151516915	Xiao Siye	no	yes	P22,P40	1
Q10511648	6000000021260901361	Xiao Zheng	no	yes	P40	2
Q10511702		Xiao Zao	no	yes	P22,P40,P3373	2
Q10511856	6000000021261083078	Xiao Jun	no	yes	P22,P40,P3373	2
Q10513339	6000000074706270872	Ye Qingchen	no	yes	P22,P40	3
Q10513347	6000000075490053922	Ye Xiufa	no	yes		1
Q10513386	6000000074726979208	Ge Huaimin	no	yes	P22,P40	1
Q10513832	6000000019641138761	Jiang Guangxu	no	yes	P40	1
Q10513848	6000000074711201065	Jiang Junming	no	yes	P22,P40	2
Q10513896		Xiao Shangzhi	no	yes	P22,P3373	2
Q10513912	6000000021260901339	Xiao Xia	no	yes	P22,P40,P3373	2
Q10513951	6000000074711853983	Xue Xiang	no	yes	P22,P40	1
Q10513957		Xue Shu	no	yes	P22,P40	1
Q10513960	6000000074691248524	Xue Jixuan	no	yes	P22	1
Q10513976	6000000074787533048	Xue Zhi	no	yes	P22	1
Q10513979		Xue Chuyu	no	yes	P22,P40	1
Q10513981	6000000074787847866	Xue Han	no	yes	P40	1
Q10514148	6000000074730399861	Su Kui	no	yes	P22,P25,P40	1
Q10514163	6000000074716205881	Su Shidan	no	yes		1
Q10514216	6000000074730174939	Su Chao	no	yes	P22,P40	2
Q10514231	6000000037592032099	Su Guo	no	yes	P22,P25,P40	2
Q10514395	6000000074768794922	Yu Li	no	yes	P22,P40	2
Q10515090	6000000074718595122	Yuan Fu	no	yes	P22,P40	1
Q10515140	6000000074718729073	Yuan Zhang	no	yes	P22	1
Q10515168	6000000075430140911	Yuan Jizhong	no	yes	P22,P40	1
Q10515294	6000000074719123821	Yuan Gu	no	yes	P22,P40	1
Q10516050		Pei Shiqing	yes	yes	P22,P40	4
Q10516101	6000000075378007821	Pei Qiu	no	yes	P22,P40	1
Q10516183		Pei Yanlu	no	yes	P22	1
Q10516920	6000000074789150860	Chu Boxiu	no	yes		1
Q10516947	6000000047586637983	Chu Jie	no	yes	P22,P40	2
Q10525283	6000000074690026303	Ji Yougong	no	yes		1
Q10525881	6000000075481803826	Xu Xi	no	yes	P40	1
Q10526159	6000000074692168102	Xu Shen	no	yes	P40	1
Q10526198	6000000074725999273	Xu Han	no	yes	P22	1
Q10526342	6000000074731774882	Xu Yi	no	yes		1
Q10527549	6000000074692224975	Xie Ji	no	yes	P22	1
Q10528065	6000000051909807260	Xie Bi	no	yes	P40	1
Q10528095	6000000038132116328	Xie Tao	no	yes	P22,P40	1
Q10529209	6000000074786402552	Xu Yi	no	yes	P22,P40	1
Q10529363	6000000075481078360	Xu Dunren	no	yes		1
Q10531548	6000000074748886065	Xie Tang	no	yes		1
Q10532586	6000000074728553987	Feng Cunfang	no	yes		1
Q10532705	6000000074728793822	Feng Ji	no	yes	P40	1
Q10534760	6000000075346132851	Helan Yueshi	no	yes	P40	1
Q10535295	6000000074690644899	Jia Yi	no	yes	P25	1
Q10535353	6000000074711233929	Jia Leng	no	yes	P22	2
Q10535372	6000000074690678928	Jia Wei	no	yes	P40	2
Q10538044		Ye Gan	no	yes	P40	1
Q10538981		Sai Jingchu	no	yes	P22	1
Q10539983		Zhao Yuankai	no	yes		1
Q10540020	6000000075492154008	Zhao Kuangzan	no	yes	P22,P25,P3373	1
Q10540138	6000000075429491825	Zhao Zili	no	yes		1
Q10540292	6000000012653142108	Zhao Delin	no	yes	P22,P25,P3373	1
Q10540334	6000000075404647153	Zhao Deyan	no	yes	P22,P40	1
Q10540403	6000000019314627512	Zhao Weigu	no	yes	P22,P3373	1
Q10540462	6000000048810561880	Zhao Changyan	no	yes	P22,P40	1
Q10540766		Zhao Meng	no	yes	P22,P40	1
Q10542125	6000000074789666969	Zhao Shiyan	no	yes	P22,P40	2
Q10542196	6000000075490687008	Zhao Xie	no	yes		1
Q10542390	6000000074687808029	Zhao Ke	no	yes	P22,P25,P3373	1
Q10542488	6000000074727792002	Zhao Fang	no	yes	P22	1
Q10542554	6000000074782998154	Zhao Cuizhong	no	yes	P22,P40	1
Q10542589	6000000074690635825	Zhao Fan	no	yes	P22,P40	2
Q10542620	6000000075491156957	Zhao Kui	no	yes		1
Q10543449	6000000074714661111	Lu Zhen	yes	yes	P22,P40	4
Q10544513	6000000074726979523	Fu Guang	no	yes	P22,P40	1
Q10545795	6000000074691997036	Xin Zhongfu	no	yes	P22,P40	1
Q10546031	6000000075424539917	Xin Bing	no	yes	P22	1
Q10554236	6000000074771742823	Deng Mingshi	no	yes		1
Q10554325	6000000074771313004	Deng Xiaofu	no	yes		1
Q10554923	6000000074725902900	Xing Shu	no	yes	P40	1
Q10556091	6000000075414843861	Qiu Kui	no	yes		1
Q10556205	6000000074709493962	Shao Bo	no	yes	P22	1
Q10557154	6000000074698758058	Lang Jian	no	yes	P40	1
Q10557221		Zheng Renji	no	yes	P22,P40	1
Q10557333	6000000074788668830	Zheng Hejing	no	yes	P22	1
Q10557609	6000000074727088655	Sixiao Zheng	no	yes	P22	3
Q10557693	6000000074690670883	Wenbao Zheng	no	yes	P22,P40	3
Q10557918		Zheng Ai	no	yes	P22	1
Q10558773	6000000074727771171	Guo Yin	no	yes	P22,P40	1
Q10558956	6000000074719167862	Guo Shuowen	no	yes	P22,P40	1
Q10559784	6000000075482425382	Guo Jin	no	yes		1
Q10562559	6000000074745020186	Zheng Ke	no	yes		1
Q10563349		Zheng Hao	no	yes	P22,P40	3
Q10563374		Zheng Mo	no	yes	P22,P25,P40	1
Q10563821	6000000075424228033	Shi Huaishen	no	yes		1
Q10563824	6000000075503124822	Shi Sizhi	no	yes		1
Q10564129	6000000022293564329	Qian Chen	no	yes	P22,P25,P40	1
Q10564135	6000000022318563290	Qian Ceng	no	yes	P22,P40	1
Q10564247	6000000047502989238	Qian Xie	no	yes	P22,P40	2
Q10564258	6000000014042433326	Qian Jingzhen	no	yes	P22,P40	1
Q10564259	6000000014042520931	Qian Xuan	no	yes	P22,P40	1
Q10564545	6000000075500208253	Yan Shougong	no	yes	P22	1
Q10564550	6000000075499817515	Yan Rixin	no	yes		1
Q10564901	6000000075404219479	Ruan Yue	no	yes		1
Q10565026	6000000075486046861	Lu Juren	no	yes	P22	1
Q10565028	6000000074753698821	Lu Chizhi	no	yes	P22	1
Q10565030	6000000074789315892	Lu Wengui	no	yes	P40	1
Q10565049	6000000075485219000	Chen Yunping	no	yes		1
Q10565256	6000000075485280983	Chen Dazhen	no	yes		1
Q10565372	6000000074749537082	Chen He	no	yes	P22,P40	2
Q10565383	6000000074749617057	Chen Mi	no	yes	P40	1
Q10565385	6000000075419654339	Chen Xuan	no	yes		1
Q10565456	6000000074727742870	Chen Ke	no	yes	P22	1
Q10565459	6000000074737444031	Chen Gongfu	no	yes	P22,P40	1
Q10565468	6000000074734478907	Chen Shuqing	no	yes	P22,P40,P3373	2
Q10565470	6000000074734221999	Chen Shubiao	no	yes	P22,P25,P40,P3373	1
Q10565472	6000000074734503866	Chen Shuming	no	yes	P22,P25,P40,P3373	2
Q10565478	6000000075484349157	Chen Shan	no	yes		1
Q10565528	6000000075484951366	Chen Zhensun	no	yes		2
Q10565629	6000000074786612248	Chen Shunyu	no	yes		1
Q10565643	6000000074685203986	Chen Gou	no	yes	P22,P40	1
Q10565646	6000000074792570892	Chen Yu	no	yes	P40	1
Q10565667	6000000074785301333	Tao Bi	no	yes	P22,P40	1
Q10565911	6000000074724969212	Huo Duanyou	no	yes	P22,P40	1
Q10566044	6000000075328438258	Wei Dan	no	yes	P22,P40	2
Q10566046	6000000075406140894	Wei Ao	no	yes	P22	2
Q10566059	6000000074711749911	Han Xing	no	yes	P22	1
Q10566063	6000000038103572025	Han Wei	no	yes	P22,P25,P40	1
Q10566064	6000000074730425667	Han Ju	no	yes	P40	1
Q10566086		Han Gun	no	yes	P22	1
Q10566119	6000000020601831750	Yuansun Yan	no	yes	P22,P40,P3373	3
Q10566122	6000000020601979689	Yan Silu	yes	yes	P22,P40,P3373	2
Q10566145	6000000075406203946	Gu Yin	no	yes	P22,P40	1
Q10566153	6000000074749009116	Xiang Anshi	no	yes	P40	1
Q10566301	6000000075424175958	Shoushan Xingnian	no	yes		4
Q10566505	6000000075397955886	Ma Huaisu	no	yes	P22,P40	4
Q10566512	6000000075428942891	Zhao Liangsi	no	yes		2
Q10566566	6000000075327093893	Feng Ang	no	yes	P22,P40,P3373	3
Q10566608	6000000074715059009	Ma Liao	no	yes	P22,P40,P3373	2
Q10566624	6000000074769576149	Zuchang Ma	no	yes	P22,P40	2
Q10566694	6000000074735951046	Gao Sisun	no	yes	P22	4
Q10566744		Gao Wenmin	no	yes	P22,P40,P3373	1
Q10566811	6000000074698779896	Gao Jixuan	no	yes	P22,P40	1
Q10566814	6000000074769047148	Gao Zhu	no	yes	P22	3
Q10566821	6000000075049404437	Gao Ruona	yes	yes	P22	3
Q10566822	6000000075429016122	Gao He	no	yes		1
Q10566842	6000000075063259870	Gao Zunyu	no	yes	P22,P40	1
Q10566889		Gao Zhen	no	yes	P22,P40	2
Q10566913	6000000074717708200	Wei Xianxin	no	yes	P22,P40	1
Q10566915	6000000074705265132	Wei Anxing	no	yes		1
Q10566932	6000000074758087905	Wei Ye	no	yes	P40	1
Q10566948	6000000074707158488	Yu Zhouxun	no	yes		1
