qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q45403581	6000000074769085872	Xu Cun	no	no	P22,P25	0
Q45403584	6000000074769128841	Li Ben	no	no	P40	0
Q45403585	6000000074768123454	Li Geng	no	no	P22,P40	0
Q45403587	6000000074768694104	Li Jun	no	no	P22,P40	0
Q45403588	6000000074768931966	Li Zi	no	no	P22,P25	0
Q45403591	6000000074769069877	Zhang Yanchang	no	no	P40	0
Q45403593	6000000074769096838	Zhang Hu	no	no	P22,P40	0
Q45403595	6000000074768650063	Zhang Ying	no	no	P22,P40	0
Q45403596	6000000074769122825	Zhang Hui	no	no	P22	0
Q45403599	6000000074769078849	Zhang Ke	no	no	P22,P25	0
Q45403601	6000000074769069883	Yang Zhaodu	no	no	P40	0
Q45403604	6000000074768792145	Yang Sifu	no	no	P22,P40	0
Q45403606	6000000074769050898	Yang Bangzhi	no	no	P22,P40	0
Q45403609	6000000074768444171	Yang Yue	no	no	P22,P25	0
Q45403610	6000000074768190341	Ran Hong	no	no	P40	0
Q45403612	6000000074769034860	Ran Xiyan	no	no	P22,P40	0
Q45403614	6000000074768687093	Ran Xun	no	no	P22,P40	0
Q45403616	6000000074768356473	Ran Huizhi	no	no	P22,P25	0
Q45403618	6000000074769140826	Wan Weize	no	no	P40	0
Q45403622	6000000074768812061	Wan Yi	no	no	P22,P40	0
Q45403624	6000000074768818034	Wan Chun	no	no	P22,P40	0
Q45403627	6000000074768791060	Wan Jie	no	no	P22,P25	0
Q45403630	6000000074768882975	Wan Mengshi	no	no		0
Q45403632	6000000074769156822	Pan Qing	no	no	P40	0
Q45403634	6000000074768319315	Pan Zhongli	no	no	P22,P40	0
Q45403635	6000000074768867019	Pan Zongmin	no	no	P22,P40	0
Q45403637	6000000074769141841	Pan Guanguo	no	no	P22,P25	0
Q45403638	6000000074768831991	Zhu Wenyu	no	no	P40	0
Q45403640	6000000074769097889	Zhu Yuan	no	no	P22	0
Q45403642	6000000074768850963	Zhu Tianqi	no	no	P22,P40	0
Q45403644	6000000074768787092	Zhu Hao	no	no	P22,P25	0
Q45403646	6000000074769156845	Zhang Zhongning	no	no	P40	0
Q45403648	6000000074768719145	Zhang Yue	no	no	P22,P40	0
Q45403651	6000000074768592158	Zhang Jiashang	no	no	P22,P40	0
Q45403652	6000000074769005977	Zhang Wei	no	no	P22,P25	0
Q45403653	6000000074768944938	Feng Zongyan	no	no	P40	0
Q45403655	6000000074769009910	Feng Sheng	no	no	P22,P40	0
Q45403656	6000000074769070859	Feng Li	no	no	P22,P40	0
Q45403657	6000000074768666098	Feng Zhongshu	no	no	P22	0
Q45403659	6000000074769025904	Feng Zhongjia	no	no	P22,P25	0
Q45403661	6000000074769075879	He Li	no	no	P40	0
Q45403664	6000000074767669716	He Qian	no	no	P22,P40	0
Q45403665	6000000074769132871	He Xi	no	no	P22,P40	0
Q45403666	6000000074769124852	He Xingren	no	no	P22,P25	0
Q45403667	6000000074768190354	Gong Zhi	no	no	P40	0
Q45403668	6000000074768695044	Gong Zhongduan	no	no	P22,P40	0
Q45403670	6000000074768732090	Gong Tianji	no	no	P22,P40	0
Q45403671	6000000074768970972	Gong Pang	no	no	P22,P25	0
Q45403672	6000000074769170826	Huang Shang	no	no	P40	0
Q45403673	6000000074769011892	Huang Chou	no	no	P22,P40	0
Q45403674	6000000074769141872	Huang Hong	no	no	P22,P40	0
Q45403676	6000000074769170843	Li Song	no	no	P40	0
Q45403679	6000000074769083891	Li Yuanyou	no	no	P22,P40	0
