geni_id	name	qid	label	slot	ours_n	theirs_n	ours	theirs	ours_names	theirs_labels	pair_from
6000000195206694875	Margareta Ulfsdotter Ulv	Q101247393	Margareta Ulfsdotter, heiress of (Logolmen)	father	1	2	6000000003349243920	Q101247394;Q6219155	Ulf Karlsson Ulv	Ulf Karlsson | Ulf Karlsson (Ulv)	wikidata-p2600
6000000002414186138	Caradog Freichfras ap Llyr Merini of Ewias, King of Gwent, Lord of Hereford	Q1035345	Caradoc Freichfras	father	1	2	6000000000475054137	Q3404131;Q116053006	Llyr Merini ab Y Ceiliog Myngrudd	Ynyr Gwent | Llyr Marini ap Meichion Gul ap Gwrwst Ledlwm ap Ceneu	wikidata-p2600
6000000002414186138	Caradog Freichfras ap Llyr Merini of Ewias, King of Gwent, Lord of Hereford	Q1035345	Caradoc Freichfras	mother	1	2	6000000078223835998	Q3405065;Q116052762	Tynanwedd verch Amlawdd	Saint Materiana | Tywanwedd ferch Amlawdd Wledig ap Cynwal ap Ffrwdwr	wikidata-p2600
6000000026420730371	Ester Gustava Lindgren	Q104306377	Ester Edelstam	father	2	0	6000000022613712888;6000000026420806201		Carl Fabian Edelstam | Carl Gustaf Lindgren		wikidata-p2600
6000000026420730371	Ester Gustava Lindgren	Q104306377	Ester Edelstam	mother	2	0	6000000018365215251;6000000025183099940		Anna Augusta Lovisa Hierta | Edla Edenqvist		wikidata-p2600
6000000005644630023	Anna Sophie Gräfin von Baudissin	Q107306372	Sophie Anna von Reventlow	mother	0	2		Q26399072;Q104032		Caroline von Schimmelmann | Caroline Adelheid von Baudissin	wikidata-p2600
6000000003645864827	Publius Domitius Calvisius Tullus Ruso	Q10963713	Publius Calvisius Tullus Ruso	father	1	2	6000000003828371940	Q12291694;Q684275	Publius Calvisius	Publius Calvisius Ruso Julius Frontinus | Gnaeus Domitius Tullus	wikidata-p2600
6000000075344275016		Q11053886	Cui Mian	father	1	2	6000000075344549896	Q45420178;Q45518571		Cui Yi | Cui Kai	wikidata-p2600
6000000010187733382	Barbara von Blettenberg	Q110621395	Barbara von Plettenberg	father	2	1	6000000008901059577;6000000010421891850	Q16403773	Wolter von Plettenberg auf Meyerich | Wolter von Plettenberg a. Luden u. Grosshof	Wolter von Plettenberg	wikidata-p2600
6000000010187733382	Barbara von Blettenberg	Q110621395	Barbara von Plettenberg	mother	2	1	6000000010141971277;6000000205543005870	Q110621397	Elisabeth von Tiesenhausen | Dorothea von Uexküll	Elisabeth von Tisenhusen	wikidata-p2600
6000000012850928490		Q11091495	曾广铨	father	2	1	6000000012827436581;6000000012827521360	Q7482540	 | 	Zeng Jihong	wikidata-p2600
6000000012850928490		Q11091495	曾广铨	mother	2	0	6000000013869807662;6000000013869939141		 | 		wikidata-p2600
6000000074750388230		Q11095388	Li Sui	father	1	2	6000000010801495047	Q9753;Q9749		Emperor Daizong of Tang | Emperor Suzong of Tang	wikidata-p2600
6000000018524514382	Anders Johansson Häggman	Q111443028	Antero of Kyntzell, of Kokkola	father	2	1	6000000137997760932;6000000138001932176	Q111443029	Johan Kyntzell | Johan Häggman	burgher Jaakoppi Häggman	wikidata-p2600
6000000008546770480	Zwinisława Gdańsk	Q112542657	Zwinislawa Tczewsko-Lubiszewska	father	1	2	6000000001186171027	Q696738;Q696750	Sambor II Herzog von Pommerellen-Ljubesow	Sambor II, Duke of Pomerania | Swietopelk II, Duke of Pomerania	wikidata-p2600
6000000001531202519	Hendrik Conde von Limbourg Hertog van Limburg and Arlon (Duke of lower Lotharingia)	Q113025	Henry II , Duke of Lower Lorraine	father	1	2	6000000008575245445	Q125989;Q122277863	Walram van Limburg II	Waleran I of Limburg | Udo of Limburg	wikidata-p2600
6000000023531398242		Q1143870	Sima You	father	2	1	6000000074758115880;6000000023531497291	Q532884	 | 	Sima Zhao	wikidata-p2600
6000000023531398242		Q1143870	Sima You	mother	2	1	6000000023531415621;6000000023701528026	Q178939	 | 	Wang Yuanji	wikidata-p2600
6000000012827501848		Q11515259	Zeng Guohua	father	2	1	6000000012827447629;6000000013869080145	Q45424722	 | 	Zeng Linshu	wikidata-p2600
6000000012827501848		Q11515259	Zeng Guohua	mother	2	0	6000000013869425216;6000000013869527144		 | 		wikidata-p2600
