P106	occupation
P1534	end cause
P1810	subject named as
P19	place of birth
P1932	object named as
P21	sex or gender
P248	stated in
P26	spouse
P2600	Geni.com profile ID
P2632	place of detention
P2671	Google Knowledge Graph ID
P27	country of citizenship
P2868	subject has role
P31	instance of
P4574	Norwegian historical register of persons ID
P569	date of birth
P570	date of death
P734	family name
P735	given name
P813	retrieved
P8269	Norwegian prisoner register person ID
P854	reference URL
Q11969385	1910 census of Norway
Q140458948	
Q16479635	Anda
Q20	Norway
Q217105	political prisoner
Q219477	missionary
Q5	human
Q500223	Klepp Municipality
Q645757	Arne
Q6581097	male
Q700924	end of World War II in Europe
Q7291689	Randi Anda
Q95999752	Norwegian Cause of Death Registry
Q96105649	
