qid	latin	ja	zh
Q1000051	Joseph C. O'Mahoney	ジョセフ・C・オマホニー	約瑟夫·C·奧馬孔利
Q1000203	Robert Mallet-Stevens	ロベール・マレ＝ステヴァン	羅伯特·馬萊-斯蒂文斯
Q100029	Otto Hermann von Vietinghoff	オットー・ヘルマン・フォン・フィーティングホフ	
Q1000498	Bud Greenspan	バド・グリーンスパン	B. 格林斯潘
Q1000924	György Festetics		費斯特提斯·格奧爾齊
Q1000934	Charles Lauritsen	チャールズ・クリスチャン・ローリッセン	查爾斯·克里斯蒂安·勞里森
Q1000935	György Festetics	ジェルジ・フェステティクス伯爵	
Q1000937	György Festetics	ジェルジ・フェステティクス・デ・トルナ伯爵	
Q1000939	Julianna Festetics		费斯特蒂奇·尤利亚娜
Q1000941	József Festetics	ヨージェフ・フェシュテティッチ	
Q1000947	László Festetics	ラースロー・フェステティクス伯爵	
Q1000952	Pál Festetics	パール・フェステティクス伯爵	
Q1000953	Marie Festetics von Tolna	マリア・フェステティクス	
Q1001	Mahatma Gandhi	マハトマ・ガンディー	圣雄甘地
Q1001063	Olga Fialka	オルガ・フィアルカ	
Q10011	Jiajing Emperor of Ming	嘉靖帝	明世宗
Q1001130	Buddy Bregman	バディー・ブレグマン	巴迪·布雷格曼
Q1001175	Buddy Elias	バディ・エリアス	巴迪·埃利亚斯
Q1001214	Buddy Ebsen	バディ・イブセン	巴迪·埃布森
Q100136	Otto Böckel		奥托·波凯尔
Q100148264	Janetta Alexander	ジャネッタ・アレグザンダー	
Q1001515	Petra Olli		彼得拉·奥利
Q1001724	Buell Neidlinger	ビュエル・ネイドリンガー	
Q1001867	Fyodor Stravinsky	フョードル・ストラヴィンスキー	费奥多尔·斯特拉文斯基
Q1002179	John Foster McCreight		莊·科士打·麥格理
Q1002293	Dustin Johnson	ダスティン・ジョンソン	達斯汀·約翰遜
Q1002295	Gábor Fodor		佛杜爾
Q100230428	William R. Beal	ウィリアム・R・ビール	
Q100230914	Emma Casey	エマ・ケイシー	
Q100266	Ingeborg von Kusserow	インゲボルグ・ファン・キュッセロー	
Q100269	Simone Thomalla		西蒙妮·汤玛拉
Q1002822	Shelley Duncan	シェリー・ダンカン	薛利·邓肯
Q100322	Walter Buschhoff		沃尔特·布什霍夫
Q100327	Wilhelm Spemann	ヴィルヘルム・シュペーマン	
Q1003513	Frank Friday Fletcher	フランク・F・フレッチャー	弗萊德·弗萊徹
Q1004037	Frederik X of Denmark	フレデリック10世	腓特烈十世
Q1004137	Bull Connor	ブル・コナー	尤金·“公牛”·康纳
Q100430347	Hugh Abram Burdick	ヒュー・エイブラム・バーディック	
Q100430348	Charles Herbert Burdick	チャールズ・ハーバート・バーディック	
Q100431572	Rebecca Putnam	レベッカ・パットナム	
Q100431575	Sarah Perley	サラ・パーリー	
Q100435	Wilhelm Rudolf Kutter	ウィルヘルム・ルドルフ・クッター	
Q100440	Larry Hagman	ラリー・ハグマン	拉里·哈格曼
Q100463	August zu Eulenburg	アウグスト・ツー・オイレンブルク	
Q1004893	Ratsadanay	ラーチャナダイ	
Q1005245	Shimazu Tadayoshi	島津忠義	岛津忠义
Q100539	Carl von Bassewitz-Levetzow	カール・フォン・バッセヴィッツ＝レーヴェツォー	
Q1005462	Chen Jiru	陳継儒	陈继儒
Q100547	Wilhelm Spiegelberg	ヴィルヘルム・シュピーゲルベルク	
Q1005544	Vittorio Cottafavi		维托里奥·科塔法维
Q10059	Longqing Emperor	隆慶帝	明穆宗
Q100591197	Feliks Nikodem Ciechanowiecki	フェリクス・ニコデム・チェハノヴィエツキ	
Q100595	Clemens Carl Buff		克莱门斯·卡尔·布夫
Q100597026	Giuseppe Marini	ジュゼッペ・マリーニ	
Q10061	Wanli Emperor	万暦帝	明神宗
Q1006152	Luciano De Crescenzo	ルチアーノ・デ・クレシェンツォ	路西安諾·狄克萊仙佐
Q1006241	John Hervey	ジョン・ハーヴィー (第2代ハーヴィー男爵)	约翰·赫维，第二代赫维男爵
Q1006265	Luca De Filippo	ルカ・デ・フィリッポ	
Q100631	Friedrich Vitzthum von Eckstädt	フリードリヒ・ヴィツトゥム・フォン・エックシュテット	
Q1006328	Luigi De Filippo	ルイジ・デ・フィリッポ	路易吉·德·菲利波
Q100637	Duke Christoph in Bavaria	クリストフ・イン・バイエルン	巴伐利亞的克里斯托夫
Q10065	Taichang Emperor	泰昌帝	明光宗
Q10066	Tianqi Emperor	天啓帝	明熹宗
Q100662	Riccardo Cassin	リッカルド・カシン	
Q100670762	Peabody Grinnell	ピーボディ・グリネル	
Q10069	Chongzhen Emperor	崇禎帝	明思宗
Q1006982	Ou Shizi		区适子
Q1006997	Carlo Di Palma	カルロ・ディ・パルマ	卡洛·迪·帕爾馬
Q1007178	Gabriel Andrew Dirac	ガブリエル・アンドリュー・ディラック	蓋布瑞·狄拉克
Q1007244	Gaby Espino		加比·埃斯皮诺
Q1007270	Roberto Faenza	ロベルト・ファエンツァ	罗贝托·费恩察
Q100730	Johann Anton Trinius	ヨハン・アントン・トリニウス	
Q100737	Alexander von Sachsen		薩克森的亞歷山大
Q100742	Hilde Mangold	ヒルデ・マンゴルト	
Q100742942	James Talarico	ジェームズ・タラリコ	詹姆斯·塔拉里科
Q100744147	Moritz Czikann von Wahlborn	モーリッツ・チカン・フォン・ヴァールボルン	齐干
Q100748520	Esther Palmer	エスター・パルマー	
Q100748527	Thomas Taber	トマス・テイバー	
Q100748563	Rebecca Taber	レベッカ・テイバー	
Q100748567	Samuel Harlow	サミュエル・ハーロウ	
Q1007760	Billy Wagner	ビリー・ワグナー	比利·华格纳
Q100790	Emil Theodor von Wolff	エミール・フォン・ヴォルフ	
Q1008018	Dahui Zonggao	大慧宗杲	大慧宗杲
