# Relationship path over OUR OWN tree: Zofia Cieszyńska -> Alix de Lampron
# Generated by scripts/path-between.py, breadth-first over reports/derived-family.csv. NOT a saved Geni page: every person on it
# is already in the corpus, which is why no browser was needed.
step	name	relation	note	qid
1	Zofia Cieszyńska		geni:6000000006727858370	Q9391904
2	Bolesław II Cieszyński		geni:6000000015212683906	Q571457
3	Eufemia of Masovia		geni:6000000006727821759	
4	Wacław I Cieszyński książę		geni:6000000015108725348	
5	Elisa von Brandenburg Her.zu Liegnitz-Teschen		geni:6000000002188005424	
6	Elisabeth dite la Belle Else von Bayern-Landshut Kurfürstin zu Brandenburg		geni:6000000003858690189	Q71173
7	Friedrich II von Bayern Herzog zu Bayern-Landshut		geni:6000000003858766059	
8	Stephan II von Bayern		geni:6000000006727832747	
9	Agnes von Bayern-Landshut		geni:6000000006727878816	
10	Jacques de Lusignan King of Cyprus		geni:6000000006101354494	Q546626
11	Alix d'Ibelin		geni:6000000003481830058	
12	Guy d'Ibelin sénéchal de Chypre		geni:6000000003481830064	
13	Alix de Lampron		geni:6000000006101354745	
