# Relationship path over OUR OWN tree: Aadne Eivindson Garborg -> Johannes Jacobi Bureus
# Generated by scripts/path-between.py, breadth-first over reports/derived-family.csv. NOT a saved Geni page: every person on it
# is already in the corpus, which is why no browser was needed.
step	name	relation	note	qid
1	Aadne Eivindson Garborg		geni:6000000003492005116	Q467497
2	Ane Oline Jonsdatter Raugstad		geni:6000000003491986946	Q141152523
3	Jon Eivindson Garborg		geni:6000000003492005126	Q141152614
4	Aagot Garborg		geni:6000000021079935250	Q141168784
5	Ragnhild Sofie Wendt		geni:6000000003002538177	
6	Gunnar Sahlin		geni:6000000003002364630	
7	Maria Carolina Elisabet Kastman		geni:6000000002986902894	
8	Anna Emelinda Amalia Dorotea Sjögreen		geni:6000000002986733958	
9	Helena Elisabet Dorotea Waller		geni:6000000018845724136	
10	Per Waller		geni:6000000018846668090	
11	Erik Waller		geni:6000000018846767215	
12	Anna Christina Svedelia		geni:6000000018877301608	
13	Margareta Thermænia		geni:6000000000161708901	
14	Margaret Guthrie		geni:4063046	
15	Samuel Unosson Troilius		geni:5085563125980043506	
16	Margareta Hansdotter		geni:4592389631850013037	Q4980659
17	Johannes Larsson		geni:4592410796700031770	Q16649637
18	Jacobus Johannis Zebrozynthius		geni:6000000004032942523	Q6251491
19	Johannes Jacobi Bureus		geni:6000000008798323789	
