geni_id	lines	BIRT	DEAT	BURI	DATE	PLAC	ADDR	NAME	OCCU	FAMC	FAMS
458418	24	1	1	0	3	0	2	1	0	1	1
867801	38	1	1	0	3	0	2	2	0	1	1
868019	707	1	1	1	13	3	4	1	1	1	1
979118	2686	1	1	1	11	3	3	4	1	1	1
1064102	21	0	1	0	2	1	1	1	2	1	1
1077060	85	1	1	0	10	0	0	1	1	1	1
1077061	11	0	0	0	1	0	0	1	0	0	1
1354718	206	1	1	1	9	2	8	6	5	1	5
1354801	2742	1	1	1	513	1	6	1	3	1	2
1656804	188	1	1	1	17	2	3	1	0	1	1
1825560	21	1	1	0	3	2	2	1	0	1	0
2233799	63	1	1	0	3	2	2	1	1	1	3
2399215	41	1	1	1	4	3	3	1	1	1	1
2399880	71	1	1	0	3	2	2	2	1	1	2
2430192	2272	1	1	1	14	5	6	7	6	1	2
2434135	111	1	1	0	3	0	2	2	0	1	2
2434385	454	1	1	1	48	2	3	1	0	1	2
2434772	28	1	1	0	3	1	2	2	0	1	0
2915061	5610	1	1	1	56	3	5	8	2	1	3
3080341	2431	1	1	1	3	2	3	6	1	1	2
3153718	302	1	1	1	38	3	4	3	2	1	1
3153782	442	1	1	1	42	1	3	3	1	1	1
3381491	608	1	1	1	32	2	5	4	3	1	0
3518356	46	1	1	0	3	0	0	1	0	1	1
3602493	238	1	1	1	3	1	3	4	1	1	2
3624121	114	1	1	0	3	0	2	4	1	0	1
3624768	223	1	1	0	3	1	2	5	1	0	1
3736496	28	0	1	0	2	0	1	1	0	1	1
3736500	29	1	0	0	2	1	1	2	0	1	1
3783707	119	1	1	0	11	1	2	1	1	1	1
3825252	63	1	1	1	3	1	4	1	2	1	0
3940197	176	1	1	1	17	2	5	2	3	1	1
3940323	98	1	1	1	4	3	3	3	1	1	3
3985170	45	1	1	0	3	1	1	1	1	1	1
3985192	318	1	1	1	38	3	3	1	1	1	3
3985213	41	1	1	1	3	2	3	1	1	1	1
4075666	226	1	1	1	5	2	4	1	2	1	2
4075734	250	1	1	1	11	3	3	3	3	0	3
4076130	347	1	1	1	6	3	3	3	1	1	1
4076230	233	1	1	1	7	2	3	2	1	1	0
4076388	323	1	1	1	11	2	3	10	2	1	4
4077210	593	1	1	0	14	0	2	5	1	1	2
4077390	142	1	1	0	7	0	2	2	1	1	1
4077582	271	1	1	1	4	1	4	2	2	1	1
4077656	229	1	1	1	4	2	3	8	1	1	1
4077704	85	1	1	1	3	3	3	2	1	1	0
4102701	851	1	1	1	5	2	4	3	2	1	4
4102767	641	1	1	1	14	4	5	2	4	1	1
4103199	268	1	1	1	21	1	3	8	1	0	2
4103266	72	1	1	0	3	1	1	1	1	1	2
4103327	378	1	1	1	35	0	3	7	1	1	2
4104041	191	1	1	1	7	3	3	6	1	0	4
4104264	47	1	1	0	4	0	2	1	2	1	1
4104556	428	1	1	1	5	3	4	7	1	1	3
4104601	289	1	1	1	13	3	9	5	6	1	1
4104662	572	1	1	1	39	2	3	3	1	1	1
4104731	452	1	1	1	5	3	4	7	2	1	8
4104768	185	1	1	1	3	1	3	2	1	1	1
4104820	501	1	1	1	54	1	3	3	1	1	5
4104869	93	1	1	1	4	2	3	3	1	1	0
4104893	166	1	1	1	5	2	3	3	2	1	0
4208879	802	1	1	1	142	5	10	3	8	1	1
4209146	678	1	1	1	106	5	9	4	6	1	4
4209710	130	1	1	1	14	3	3	3	1	1	0
4209739	67	1	1	1	3	3	3	2	1	1	0
4221615	16	1	0	0	1	0	1	1	0	1	1
4232438	66	1	1	1	3	1	3	1	0	1	1
4245829	46	1	1	0	3	2	2	1	0	1	1
4259048	25	1	1	0	3	0	2	1	1	0	1
4259386	61	1	1	0	3	1	2	2	0	1	4
4274386	120	1	1	0	3	0	2	3	1	1	1
4284989	110	1	1	1	3	2	3	6	1	1	1
4285001	217	1	1	0	19	2	2	3	1	1	1
4285417	88	1	1	0	3	1	2	2	1	1	1
4293237	328	1	1	1	11	2	3	3	1	1	2
4322595	419	1	1	1	12	2	3	5	1	1	4
4322605	98	1	1	0	7	1	1	1	0	1	1
4414082	61	1	1	1	3	1	3	2	0	1	0
4476035	1059	1	1	1	30	3	4	2	1	1	0
4522459	38	1	1	1	4	2	3	2	1	1	1
4569484	42	1	1	1	4	2	3	1	0	1	0
4573114	3442	1	1	1	64	2	4	8	2	1	4
4588640	43	1	1	0	3	0	1	1	0	1	2
4647274	1598	1	1	1	15	5	11	8	9	1	2
4694202	352	1	1	1	65	2	3	2	1	1	1
4694693	1143	1	1	1	54	2	10	7	7	1	1
4764222	333	1	1	0	3	1	2	2	1	1	1
4776154	241	1	1	1	8	2	3	2	1	1	0
4796608	158	1	1	0	23	0	2	1	0	1	1
283181900190003966	18	1	1	0	3	0	0	1	1	1	1
283896414940007239	60	1	1	0	3	0	2	1	0	0	1
284138677450001022	489	1	1	1	75	4	6	3	3	0	3
288390320120001964	2711	1	1	1	26	2	6	11	4	1	3
289226275560008023	319	1	1	1	10	3	3	2	1	1	2
289320932760007122	177	1	1	1	4	1	3	1	1	1	1
290615137410002629	154	1	1	0	3	0	2	3	0	0	2
294414873430006408	147	1	1	0	3	1	1	2	0	1	1
294507970270007973	174	1	1	0	3	0	2	2	1	1	2
298740371650007964	39	1	1	0	3	0	2	1	0	1	0
298741096650002960	37	1	1	0	3	2	2	4	0	1	1
298742409800006343	143	1	1	1	3	3	3	2	1	0	1
299079241680007968	63	1	1	0	3	0	2	4	1	1	0
299466839860007954	146	1	1	1	6	5	6	5	3	1	1
300340430900007929	55	1	1	1	3	2	3	3	1	1	0
300537894950005354	86	1	1	1	3	2	3	1	0	1	1
301342753080007082	103	1	1	0	15	2	2	1	1	1	2
302030903370006491	224	1	1	1	3	2	3	3	1	1	1
302036169990003799	55	1	1	0	3	0	1	1	1	1	1
302106850500001332	76	1	1	1	4	2	3	3	1	1	1
302107417920002914	69	1	1	1	4	2	3	3	1	1	1
302211628310006481	54	1	1	0	3	0	0	1	0	1	1
302224840050008242	46	1	1	0	3	0	0	1	0	1	2
302534501490001345	29	1	1	0	3	0	0	1	0	1	0
302888257510001064	47	1	1	1	3	1	3	1	0	1	1
302889610110005663	57	1	1	0	4	0	2	1	1	1	2
302893164200008270	48	1	1	0	3	0	2	1	1	1	1
303021670170005628	34	0	1	0	2	0	0	1	0	0	1
304433105310001815	213	1	1	1	4	0	2	1	1	1	1
304435320540004195	69	1	1	1	3	0	3	3	1	1	0
305332989800002467	309	1	1	0	54	0	1	2	0	1	1
306650341960001516	1509	1	1	1	13	2	5	2	1	0	1
307514259060008270	1208	1	1	1	22	1	3	1	1	1	1
310151979050001364	184	1	1	1	14	2	3	2	1	1	1
310787864080006466	115	1	1	0	3	0	2	1	0	1	0
310818848820003860	51	1	1	0	3	2	2	1	1	1	2
310819047470008278	20	1	1	0	3	1	1	2	1	1	0
310870261240004530	66	1	1	0	12	2	2	2	0	1	1
311695983200008268	66	1	1	1	3	1	3	2	1	1	2
311701678080003943	46	1	1	1	3	1	3	3	1	1	2
311713752450007086	64	1	1	1	3	3	3	2	1	1	1
311714621730004586	162	1	1	0	26	2	2	1	1	1	1
311748967320008232	111	1	1	1	9	1	3	3	0	1	0
311788525210007050	70	1	1	1	3	1	3	2	0	1	3
312468491750006446	136	1	1	1	5	2	4	4	1	1	2
312473166720001563	123	1	1	1	10	3	9	4	6	1	5
312474987850005822	65	1	1	1	3	1	3	3	1	0	2
312478266190003854	173	1	1	1	10	4	9	5	6	1	3
312479826640001569	155	1	1	1	16	3	9	2	6	1	1
315336717180006465	520	1	1	0	7	4	6	2	1	1	0
316147412330004951	74	1	1	1	3	1	3	1	0	1	0
317651825030005113	1219	1	1	1	4	2	3	9	1	1	1
323089148770004264	74	1	1	0	3	0	2	1	0	1	1
328059531260007050	29	1	1	0	3	2	2	1	0	1	1
328059704870005473	42	1	1	0	3	2	2	1	0	1	1
328060368310004652	93	1	1	1	6	1	3	1	0	1	0
328061367880007095	186	1	1	1	9	0	3	1	1	1	2
328066467320004666	66	1	1	1	3	1	3	1	1	1	1
328077168020005438	1418	1	1	1	131	1	3	2	1	1	2
331624398740011365	151	1	1	1	10	1	3	1	0	1	1
331816214990005036	125	1	1	1	13	0	3	1	1	1	0
334054639890005270	379	1	1	1	11	1	3	2	1	1	1
337578418680004010	83	1	1	0	3	2	2	2	1	1	1
339435131070013659	778	1	1	1	68	2	5	4	3	0	2
339493353880007732	920	1	1	1	68	3	5	1	3	1	1
342033628020004274	35	1	1	0	4	3	3	1	0	1	1
342141620230011892	62	1	1	0	4	1	3	2	0	1	0
342270064330013681	249	1	1	1	13	1	3	1	0	0	1
342270212400013753	128	1	1	1	19	1	3	1	0	0	1
342515586390012023	65	1	1	0	2	0	2	3	1	1	2
346134922100011890	223	1	1	1	41	1	3	1	0	0	1
347131736630013162	88	1	1	1	3	1	1	2	1	1	0
347216548970004818	526	1	1	0	10	2	3	4	2	1	3
347655337870012697	935	1	1	1	7	2	3	10	2	1	2
347774029580003520	1010	1	1	1	18	4	9	10	10	0	1
347803456540001332	551	1	1	1	16	7	9	8	11	0	2
347868854190012671	92	1	1	1	5	2	4	5	2	0	1
348101875910005782	244	1	1	1	7	4	4	2	2	1	1
348889594040013469	644	1	1	1	4	1	3	4	1	1	1
348989271720012699	1153	1	1	1	8	1	3	5	1	1	4
353227352640011019	123	1	1	0	3	0	1	1	1	1	1
353440830330013057	38	1	1	0	3	0	2	1	1	0	1
353442154280012039	43	0	1	0	2	0	0	1	0	1	0
353464201260013082	156	1	1	1	3	1	3	2	1	1	2
353466568960001728	16	0	1	0	2	0	0	1	1	1	0
355281657880011354	150	1	1	1	3	1	3	5	1	1	1
356575805210011493	134	1	1	1	3	1	3	8	1	0	1
359281527140013083	117	1	1	0	3	0	2	4	1	1	1
361088630390012679	155	1	1	0	9	0	2	3	1	1	2
361088850870011645	76	1	1	0	3	1	1	2	1	1	1
361088998770012651	132	1	1	0	6	0	2	5	1	1	3
361089507860011643	264	1	1	1	20	0	3	7	1	1	1
361242720430013551	580	1	1	0	100	0	2	5	1	1	1
361244423510011619	104	1	1	0	9	1	2	2	1	1	2
361248587300001388	45	1	1	0	3	0	2	3	1	1	0
361250787660004588	56	1	1	0	5	0	0	1	1	1	2
361882907620007935	59	1	1	0	3	0	2	8	1	1	1
361885079530012036	213	1	1	1	3	1	3	8	1	1	2
361885795230005497	272	1	1	1	9	1	3	7	1	1	2
361886414530007915	371	1	1	1	34	1	4	5	1	1	3
361890384880013875	48	1	1	0	3	0	1	3	1	1	0
362156517910013935	73	1	1	0	3	0	2	6	1	1	1
362164304500001795	99	1	1	0	6	2	2	2	1	1	1
363871132870012262	479	1	1	1	6	3	4	6	2	0	1
363886034950010574	22	1	1	0	3	0	0	2	0	1	0
364546674660002455	108	1	1	1	4	1	3	6	1	1	0
364684989340012633	486	1	1	1	30	2	3	2	1	1	0
365447742810013159	204	1	1	1	4	1	3	1	1	1	2
367922923820005107	47	1	1	0	3	0	2	4	1	1	0
367961528670013760	64	1	1	0	3	0	0	2	1	1	1
367972467880002240	207	1	1	0	3	0	0	4	1	1	1
368714613840011374	200	1	1	0	9	1	2	3	0	1	1
368988617700011508	526	1	1	1	34	1	4	2	2	1	0
373802532570013532	26	1	1	0	3	0	2	2	0	1	0
375773065110012019	63	1	1	1	4	0	1	4	1	1	1
375777528840004741	79	1	1	0	3	0	0	7	1	1	6
375783977160004715	309	1	1	1	7	0	3	7	1	1	8
375784306260002721	437	1	1	0	15	1	2	14	1	1	7
376126216070003003	128	1	1	0	8	2	4	1	3	1	1
376356350590012900	155	1	1	1	5	3	4	5	1	1	1
376364131750011414	273	1	1	1	10	2	9	3	6	1	2
376371011260005780	190	1	1	1	13	4	12	2	9	1	2
376453679620002754	143	1	1	1	8	2	7	6	4	1	1
376466138230007911	609	1	1	1	104	3	8	6	5	0	1
376469227150012924	191	1	1	1	4	1	4	6	1	1	1
376469510660012902	480	1	1	1	33	0	3	3	1	0	1
376470307830012909	67	1	1	1	7	1	6	2	3	1	1
376470570180012891	409	1	1	1	35	0	3	4	1	0	1
377208681320011176	30	1	1	0	3	0	2	2	0	1	1
377258641830013695	103	1	1	0	11	0	2	2	1	0	1
377260401250012347	196	1	1	0	13	0	1	1	1	1	4
377260811960002204	134	1	1	0	7	0	1	1	0	0	1
377622873940013790	329	1	1	0	11	0	0	1	1	1	2
377633927980013869	43	1	1	0	3	0	2	2	1	1	0
377661791800005806	1780	1	1	1	89	5	5	3	3	1	11
378767593140002648	78	1	1	1	3	3	3	1	1	1	3
380741936910007548	69	1	1	1	4	1	3	1	1	1	1
381621170380013321	46	1	1	0	3	0	2	1	0	1	2
384521596810013738	33	1	1	0	4	1	3	1	1	1	1
385217766960003428	238	1	1	1	3	0	3	1	1	0	2
385233199950011938	167	1	1	1	3	1	3	5	0	1	1
385603511700005393	62	1	1	1	4	1	3	2	0	1	1
385912840740007136	425	1	1	0	16	2	2	1	1	1	5
385914949520010150	179	1	1	0	6	2	2	1	1	1	3
385935664970005621	1302	1	1	1	56	1	2	6	1	1	5
385953397470012188	293	1	1	1	29	5	5	3	2	1	3
387638972190007407	27	1	1	0	3	0	2	2	0	1	1
387994469540005723	102	1	1	1	4	1	3	2	1	1	5
3937484325120075383	342	1	1	1	5	2	4	2	2	0	3
3950516705030063754	2544	1	1	1	14	3	6	12	3	0	8
3953135291130122872	290	1	1	1	18	1	3	5	1	1	2
3967262167710039627	1583	1	1	1	18	3	3	8	1	1	1
3996690188820126654	106	1	1	1	6	2	3	2	1	1	1
3996789354360035440	51	1	1	1	3	2	3	2	1	1	1
3996823052360126946	27	1	1	0	3	2	2	1	1	1	1
4000878508530126634	24	0	1	0	2	0	0	1	1	1	1
4000888590980126643	62	1	1	0	3	0	0	1	1	1	1
4027372501320040583	227	1	1	1	10	2	9	5	6	0	15
4027499018870031172	147	1	1	1	12	4	11	6	8	1	1
4031014472500126534	54	1	1	1	4	0	3	2	0	1	0
4031018836520031122	48	1	1	1	4	1	3	2	1	1	0
4033341615700026163	78	1	1	1	4	2	3	3	1	1	0
4036253774260076973	159	1	1	1	4	0	2	1	0	1	1
4036395215610021331	115	1	1	0	3	2	2	1	0	0	1
4040216435970129981	118	1	1	1	4	1	3	3	1	1	2
4040221674860032328	67	1	1	1	4	1	3	4	1	1	2
4048607033120128233	753	1	1	1	26	3	3	2	1	1	4
4117527068020122146	156	1	1	0	3	1	2	3	1	1	2
4117939564830071840	76	1	1	1	3	2	3	1	0	1	1
4117958212810071793	62	1	1	1	3	1	3	1	1	1	3
4127756260420026840	151	1	1	1	9	2	9	5	6	1	1
4128013497140049722	347	1	1	1	4	0	3	4	1	1	2
4128727150810026518	63	1	1	1	4	0	3	2	0	1	1
4128900920640031644	51	1	1	1	4	1	3	2	0	1	1
4129460599360059866	467	1	1	1	26	1	2	1	1	1	1
4136631104320028008	113	1	1	0	2	1	2	3	1	1	1
4136709990190033290	82	1	1	0	9	2	2	1	1	1	1
4137986493320052463	357	1	1	1	9	4	4	3	5	0	10
4138652783200125692	130	1	1	1	4	1	3	2	1	1	1
4169309791820025850	140	1	1	0	3	1	1	1	1	0	1
4179557875410125091	25	1	1	0	3	0	1	1	0	1	1
4179600881960025620	31	1	1	0	3	0	2	2	0	1	1
4179623635010025627	26	1	1	0	3	0	2	2	0	1	1
4181250114820035915	558	1	1	1	8	0	3	7	1	1	1
4190875500120027949	332	1	1	1	4	2	3	2	1	1	1
4194842439740054741	825	1	1	1	77	3	3	2	6	1	0
4194863017010128979	1047	1	1	1	18	3	3	4	1	1	2
4194887957440076070	1732	1	1	1	31	1	3	5	1	1	4
4195082387770067939	339	1	1	1	21	3	4	3	2	0	1
4202780705000039134	337	1	1	1	9	7	8	4	5	1	2
4202797373630036356	1131	1	1	0	204	0	2	4	1	1	3
4214000416300053987	69	1	1	0	3	0	2	1	1	1	0
4215182257130053771	457	1	1	1	25	3	8	8	5	1	3
4264157822390053599	30	1	1	0	3	0	1	4	1	1	1
4264637357040041989	109	1	1	1	4	1	3	1	1	1	1
4276914716400033853	53	1	1	1	3	1	3	1	0	1	1
4276948620390069283	60	1	1	1	3	2	3	2	1	1	1
4276963799530069552	77	1	1	1	5	1	4	2	1	1	1
4277017108190044971	827	1	1	1	153	1	3	3	1	1	1
4280380717420045206	51	1	1	1	3	1	3	1	1	0	1
4280395451010045485	36	1	1	0	3	1	2	1	1	1	0
4280402990090033752	49	1	1	1	3	0	3	2	1	1	0
4280604071920045444	34	1	1	0	3	0	2	1	1	1	0
4282286258400034419	61	1	1	1	3	1	3	2	1	1	1
4286118427370035651	2159	1	1	1	10	4	6	5	5	1	3
4290454638540043428	73	1	1	1	7	1	6	3	3	1	1
4290940757320037066	164	1	1	1	15	1	3	3	0	1	1
4294404046250042543	1377	1	1	1	22	1	3	2	1	1	4
4296981596420026848	103	1	1	0	3	0	2	1	0	0	2
4304466546090010445	159	1	1	1	17	2	3	2	1	1	2
4309768802110020118	42	1	1	0	5	2	2	1	0	1	1
4310105748700020120	169	1	1	1	3	1	3	3	1	1	1
4320895910700022259	21	1	0	0	2	1	1	1	0	1	1
4321093289530030615	394	1	1	0	32	1	2	3	1	1	1
4336340452760123284	100	1	1	0	3	0	2	2	0	1	1
4343895890810065320	48	1	1	1	3	3	3	2	0	1	0
4354126843240066885	320	1	1	1	51	1	3	1	0	1	4
4363142221750073202	84	1	1	0	3	1	2	8	1	1	1
4363152365890123437	212	1	1	1	6	1	2	10	1	1	2
4363156600820022016	63	1	1	0	3	0	0	6	1	1	2
4363160345110081439	114	1	1	0	3	0	1	11	1	1	1
4363165195640021509	167	1	1	0	3	1	1	12	1	1	2
4363168411310050572	40	1	1	0	3	0	0	8	1	1	1
4363184995560049059	92	1	1	1	4	0	1	9	1	1	1
4363207859050048951	77	1	1	0	7	0	0	8	0	1	1
4363245702860036902	173	1	1	1	11	1	2	8	1	1	1
4404276411660052885	64	1	1	0	3	1	2	2	1	1	0
4404300239730040631	49	1	1	0	3	2	2	1	1	1	1
4410812169090066711	63	1	1	1	4	2	3	3	0	1	3
4534074490150040735	39	1	1	0	3	0	2	1	0	1	1
4611082057000036828	82	1	1	0	3	2	2	1	0	1	3
4611100325630047942	79	1	1	0	3	1	2	1	1	1	3
4635537774070073496	301	1	1	1	39	2	3	4	1	1	2
4683853949840074410	233	1	1	0	5	1	2	2	1	1	1
4687427039910030320	329	1	1	1	4	2	3	3	1	1	2
4699217274530024314	58	1	1	1	4	1	1	1	1	1	0
4699233482990024400	155	1	1	1	11	1	3	2	1	0	2
4703817009760067257	158	1	1	1	12	2	3	2	0	1	3
4704288853130123198	61	1	1	0	3	1	2	3	1	1	1
4779460393600080864	40	1	1	1	3	2	3	1	0	1	0
4781354198750075731	347	1	1	1	32	3	3	2	1	1	2
4786136463460024221	161	1	1	1	3	1	3	2	1	1	1
4815866939850026583	43	1	1	0	3	1	2	2	1	1	0
4815871921640078239	35	1	1	0	3	0	2	1	1	0	1
4821628772810061070	51	1	0	0	2	0	0	1	1	1	2
4821632678580082296	24	1	0	0	2	0	0	1	1	1	1
4821653273640042509	45	1	0	0	2	1	1	1	0	1	1
4822428690590079857	138	1	1	0	11	1	2	1	1	1	1
4834344509250089530	88	1	1	1	10	1	3	1	1	0	1
4840241237810085207	509	1	1	1	27	5	7	3	7	1	1
4874380743860131374	47	1	1	0	3	0	2	6	1	1	1
4876305139330126068	205	1	1	0	20	0	2	4	1	1	1
