our_geni	wd_qid	child_geni	child_qid	role
6000000000761639165	Q273602	348889594040013469	Q100327211	mother
6000000006078900556	Q106368514	6000000007417839637	Q100364688	father
6000000006078993589	Q100366075	6000000007417839637	Q100364688	mother
6000000003827579173	Q100439621	6000000003827429733	Q100439614	mother
6000000026173708969	Q100441761	6000000026173714009	Q100441734	mother
6000000227315871857	Q134384299	6000000010888681652	Q100441782	father
6000000011621797816	Q126285721	6000000022710232837	Q100443792	father
6000000002252416403	Q100447816	6000000000618813954	Q100447630	father
6000000020111470517	Q117343018	6000000020111522445	Q1005245	mother
6000000002065701616	Q84062929	6000000009987071373	Q100597750	father
6000000002065863283	Q20726526	6000000009987071373	Q100597750	mother
6000000000368061568	Q42901722	6000000000441603833	Q100784884	father
6000000006444099232	Q100901132	6000000004089055926	Q100901129	mother
6000000004852469767	Q75558048	6000000006906892027	Q100901131	mother
6000000008212868413	Q100901223	6000000002134596638	Q100901221	father
6000000008212552153	Q100901232	6000000002134596638	Q100901221	mother
6000000006444665578	Q76099481	6000000006444665572	Q100901235	father
6000000006180435776	Q76099491	6000000006444665572	Q100901235	mother
6000000003436150071	Q111462050	6000000003436101234	Q100988079	father
6000000001504598252	Q1025818	6000000006429577318	Q1010344	father
6000000017081202822	Q116032670	6000000006429577318	Q1010344	mother
6000000010375703651	Q3869240	6000000010354381155	Q101054	father
6000000007205113341	Q136386773	6000000006127464129	Q101094853	father
6000000011220199137	Q26239811	6000000015624243280	Q101102852	father
6000000043744376085	Q101228631	6000000015130013466	Q101228628	father
6000000207712118821	Q101228633	6000000015130013466	Q101228628	mother
6000000006128036203	Q101228637	6000000018776004481	Q101228635	father
6000000021329411592	Q101228645	6000000018776004481	Q101228635	mother
6000000027611632209	Q101228655	6000000012257186104	Q101228653	father
6000000007362121355	Q101228673	6000000012257186104	Q101228653	mother
6000000193381010822	Q4142982	6000000030802284628	Q101228963	father
6000000009966159651	Q16158750	6000000009966352217	Q101243388	father
6000000003222440660	Q112640606	6000000000437608918	Q101246520	father
6000000007329057179	Q101247094	6000000006127496747	Q101247092	father
6000000001897828328	Q101247095	6000000006127496747	Q101247092	mother
6000000006127719806	Q101247103	4322194	Q101247102	father
6000000006726249547	Q101247110	4322194	Q101247102	mother
6000000004533169092	Q6044389	6000000006271970257	Q101247157	father
6000000004533169415	Q101247381	6000000006271970257	Q101247157	mother
6000000001934571395	Q101247471	6000000001934558265	Q101247182	father
6000000006127409660	Q101247475	6000000001934558265	Q101247182	mother
6000000035576319923	Q127270735	6000000003791053983	Q101247185	father
6000000035571066629	Q127270736	6000000003791053983	Q101247185	mother
6000000006281737300	Q5591150	6000000003221063495	Q101247192	father
6000000002514748909	Q101247227	1558246	Q101247226	father
6000000007329105813	Q101247234	1558246	Q101247226	mother
6000000005687535001	Q101247353	6000000005687403005	Q101247352	father
6000000020626568764	Q101247355	6000000005687403005	Q101247352	mother
6000000003349243920	Q101247394;Q6219155	6000000195206694875	Q101247393	father
370166216450011194	Q98697738	6000000195206694875	Q101247393	mother
6000000004974276593	Q101247395	6000000022048869542	Q101247394	father
6000000007329033040	Q101247396	6000000022048869542	Q101247394	mother
6000000006127272962	Q101247535	6000000000064480109	Q101247531	mother
6000000003034847277	Q6194357	6000000002737434264	Q101247541	father
6000000001042517123	Q101247543	6000000002737434264	Q101247541	mother
6000000005436454091	Q101247593	6000000005436454066	Q101247591	mother
6000000052164808155	Q101247696	5321213157610072043	Q101247592	mother
6000000005442039242	Q101247629	6000000004281174911	Q101247626	mother
6000000006762898827	Q135855410	6000000006763270052	Q101247755	father
6000000121052840859	Q135855411	6000000006763270052	Q101247755	mother
6000000005746574022	Q101247760	6000000007510648849	Q101247757	father
6000000005746123751	Q101247762	6000000007510648849	Q101247757	mother
5473645767850120136	Q101248003	6000000035338400732	Q101247862	father
6000000004043716047	Q101248006	6000000035338400732	Q101247862	mother
6000000001052386360	Q101247924	6000000005749641787	Q101247920	father
