1	4377269	Prost Olaus Troilius	Q48562235	Olof Troilius	1661-1732	Ärkebiskop Samuelis Olai Troilius
2	5106195884670114511	Andreas Petri Grubb	Q16649300	Andreas Petri Grubb	1525-1611	Samuel Andreæ Grubb
4	6000000000572198595	Helena Mariana Sparre af Söfdeborg	Q116775360	Mariana Helena Ehrenkrona	1748-1820	Grev Carl Georg Georg Sparre af Söfdeborg
7	6000000001515228463	Hedvig Catharina Charlotta De la Gardie	Q2066886	Hedvig Catharina von Fersen	1732-1800	Hedvig Eleonora von Fersen
8	6000000001882580286	Ulrika Christina Mörner af Morlanda	Q110386164	Ulrica Christina Mörner	1709-1778	Christina Charlotta Piper
9	6000000002063115439	Elias Pedersson Gavelius	Q16649267	Elias Pedersson Gavelius	?-1668	Petrus Eliae Cederschiöld till Lidboholm
10	6000000002734683252	Michael Fant	Q5725186	Michael Fant	1718-1754	Eric Michael Fant
11	6000000002960482301	Thure Stensson Bielke	Q5597349	Ture Bielke	1656-1717	Sten Carl Turesson Bielke
12	6000000003770421312	Laurentius Jonæ Hallenius	Q5783620	Laurentius Jonæ Halenius	1654-1722	Engelbert Hallenius Biskop i Skara
13	6000000003883345592	Anna Maria Törnstjerna, Törne	Q103771971	Anna Maria Törne	1689-1754	Thure Gustaf Rudbeck
14	6000000003883549023	Olof Rudbeck	Q103771956	Olof Rudbeck	1690-1716	Thure Gustaf Rudbeck
15	6000000005393641057	Henrik Johan Nauckhoff	Q6003542	Henrik Johan Nauckhoff	1744-1818	Johan Otto Nauckhoff
16	6000000006127355736	Johan Gustav Boije af Gennäs	Q130755124	Johan Gustaf Boije	1665-1737	Carl Gustaf Boije af Gennäs
17	6000000006127409064	Catharina Elisabet Arosell Adlerheim	Q131726951	noble Catharina Elisabeth Adlerheim	?-?	Carl August Ehrensvärd
18	6000000006127496847	Fredrika Eleonora Arvidsdotter Horn af Ekebyholm	Q109296398	Fredrika Eleonora Horn	1721-1750	Arvid Nils Gustafsson Stenbock
19	6000000006127576609	Ulrika Catharina Koskull	Q109296043	Ulrika Catharina Koskull	1759-1805	Magnus Brahe
20	6000000006127651336	Carl Philip Strömfelt	Q130684265	Carl Filip Strömfelt	1644-1690	Johan Carl Strömfelt
21	6000000006127651347	Agneta Johansdotter Ållongren	Q130684369	Agneta Ållongren	1647-1708	Johan Carl Strömfelt
22	6000000006127732211	Eva Helena Adelswärd	Q109829800	Eva Helena von Fersen	1759-1807	Fredrik August August Adelswärd
23	6000000006911473220	Anders Törnebladh	Q139996297	Anders Törnebladh	1730-1781	Carl Peter Peter Törnebladh
