24	6000000007286110282	Eva Horn af Ekebyholm	Q19678400	Eva Horn	1716-1790	Eva Helena Löwen
25	6000000007289863298	Anna Andersdotter Björnram	Q110621422	Anna Andersdotter Björnram	?-?	Lars Grubbe
26	6000000007314101475	Jon Mickelsson Behm	Q25451348	Jonas Mikaelsson Behm	1580-?	Daniel Jonsson Behmer
27	6000000007473614567	Petrus Ugla	Q124608453	Petrus Ugla	1709-1785	Samuel af Ugglas
28	6000000007509570928	Anna Brita Carré	Q136028287	Anna Brita Carré	?-?	David Wilhelm Silfverstolpe
29	6000000007548056402	Gerhard Jonæ	Q16649517	Gerhardus Jonæ	?-1623	Johan Graan till Ånsta
30	6000000007598076234	Hans Georg Strömfelt	Q121362501	Hans Georg Strömfelt	1676-1733	Carl Harald Strömfelt
31	6000000007602850104	Christina Elisabet Taube af Karlö	Q110457049	Christina Elisabet Taube	?-1697	Otto Reinhold Strömfelt
32	6000000007602857711	Gustaf Adolf Strömfelt till Strömhult	Q12363134	Gustav Adolf Strömfelt	1640-1717	Otto Reinhold Strömfelt
33	6000000007755407668	Margareta Jacobsdotter Jernstedt	Q108615809	Margareta Jernstedt	1640-1680	Jakob Bunge
34	6000000007787563524	Karin Mattsdotter Björnram	Q104550167	Carin Björnram	?-1618	Arvid Ernaldsson Forbus till Kumo
35	6000000007948266424	Charlotta Eleonora Hedvig von Krassow	Q110395711	Charlotta Eleonora Hedvig von Krassow	1779-1855	Gustaf Adolf Fredrik Wilhelm von Essen
36	6000000008047204297	Sigfrid Porthan	Q73763454	Sigfrid Porthan	?-?	Henrik Gabriel Porthan
37	6000000008151349039	Sven Bunge till Beateberg	Q5589959	Sven Bunge	1731-1801	Mårten Bunge till Beateberg
38	6000000008467554009	Christina Ebba Leijonhufvud	Q133825293	Christina Ebba Leijonhufvud	1675-1727	Carl Harald Strömfelt
39	6000000008496913568	Margareta Odhelia	Q115631647	Margareta of Odheli	?-?	Eric Benzelius d.y.
40	6000000008840975651	Carl Gustaf Lagerfelt	Q109835397	Carl Gustaf Lagerfelt	1667-1705	Gustaf Adolf Lagerfelt
41	6000000008841179321	Maria Elisabet von der Osten	Q109835398	Maria von der Osten	1669-1732	Gustaf Adolf Lagerfelt
42	6000000008889872098	Magdalena Christina Appelbom	Q109835400	Magdalena Christina Appelbom	1698-1777	Otto Johan Lagerfelt
43	6000000008935291612	Altea Silfverström	Q110547941	Altea Silfverström	1700-1765	Johan Adelswärd
44	6000000008979112162	Abraham Falkengréen	Q26239902	Abraham Falkengréen	1686-1753	Christopher Falkengréen
45	6000000008988775900	Måns Palmstierna till Grimstorp	Q124694235	Måns Palmstierna	1753-1815	Carl Otto Palmstierna
46	6000000009014627733	Anders Andersson Pryss	Q20250108	Anders Pryss	1671-1746	Samuel Andersson Pryss
47	6000000009217450213	Catharina Charlotta Rudbeck	Q108937197	Charlotte Rudbeck	1753-1782	Sofia Magdalena Silfverstolpe
48	6000000009401513008	Catharina Funck	Q110547956	Catharina Funck	1723-1801	Erik Göran Adelswärd
49	6000000009401706934	Johan Hultman Adelswärd	Q110547936	Johan Adelswärd	1690-1729	Johan Adelswärd
50	6000000010573777066	Samuel Fredrik Åkerhielm af Margretelund	Q122980318	Samuel Fredrik Åkerhielm	1748-1800	Gustaf Fredrik Åkerhielm af Margretelund
51	6000000010934387089	Kristina Elisabeth Nordenadler	Q98180381	Christina Elisabeth Nordenadler	1768-1795	Johan Teodor Petré
52	6000000011115929762	Tomas Ihre	Q2424918	Thomas Ihre	1659-1720	Johan Ihre
53	6000000011116043585	Birgitta Steuch	Q109555189	Brita Steuch	1679-1710	Johan Ihre
54	6000000011533077050	Barbro Petré	Q127270462	Barbro Petré	?-?	Mikael Hising
55	6000000011637291315	Margareta Gyllenstierna af Fogelvik	Q4951688	Margareta Gyllenstierna	1680-1740	Adam Horn af Ekebyholm till Ekebyholm
56	6000000011700523031	Hedvig Ulrika Benzelstierna	Q130525305	Hedvig Ulrika Benzelstierna	1714-1781	Samuel Gustaf Hermelin
57	6000000011714588237	Ulrika Elisabet Hermelin	Q109829893	Ulrika Elisabet Sandels	1786-1869	Samuel August Sandels
58	6000000012734285538	Friherre Johan Magnus af Nordin	Q6015299	Johan Magnus af Nordin	1746-1823	Carl Johan af Nordin
59	6000000012736619268	Carl Magnus Nordin	Q99373530	Carl Magnus Nordin	1712-1773	Carl Gustaf Nordin
60	6000000013007809177	Ernald Mattsson Forbes of Corsindae	Q104550158	Ernald Forbes	?-1605	Arvid Ernaldsson Forbus till Kumo
61	6000000013257070935	Hans Didrik Mörner af Morlanda	Q124606874	Hans Didrik Mörner	1688-1751	Carl Claes Mörner af Morlanda
62	6000000013296788468	Maria Sofia Stierncrona	Q113007770	Maria Sofia Stierncrona	1716-1749	Carl Johan Gyllenborg
63	6000000017425559123	Anna Christina Bruncrona	Q66711908	Anna Kristina Bruncrona	1739-1827	Nils Abraham Bruncrona
64	6000000018625238474	Elias Frondin	Q5745634	Elias Frondin	1686-1761	Berge / Birger Frondin
65	6000000018625507007	Simon Melander	Q19976772	Simon Melander	1684-1762	Daniel Melanderhielm
66	6000000018985534304	Olof Olofsson Nauclérus	Q16649961	Olaus Olai Nauclerus	1675-1732	Olof Nauclér
67	6000000019583224446	Abraham Grafström	Q116439449	Abraham Grafström	1751-1835	Anders Abraham Grafström
68	6000000019933609341	Karl Johan Andersson Knös	Q5916183	Carl Johan Knös	1767-1835	Anders Erik Knös
69	6000000020389536815	Christina Margareta af Palén	Q115871131	Christina Margaretha af Palén	1746-1804	Robert Henrik Rehbinder till Viksberg
70	6000000020393995501	Brita Hedvig Wijnbladh	Q4988935	Brita Hedvig Knös	1735-1800	Olof Andersson Knös
71	6000000020394079179	Anders Olofsson Knös	Q5916162	Andreas Knös	1721-1799	Olof Andersson Knös
72	6000000023140541858	Kristina Samuelsdotter	Q127270437	Kristina Samuelsdotter	?-?	Samuel Andreæ Grubb
73	6000000024161876529	Anna Sofia Bäck	Q66316940	Anna Sophia Ihre	1762-?	Albrecht Elof Ihre d.y.
74	6000000028475780607	Ingeldus Laurentii Rabenius	Q16650170	Ingel Rabenius	1677-1739	Olof Ingelsson Rabenius
75	6000000138755587213	Elsa Beata Wrede af Elimä	Q3359192	Elsa Beata Bunge	1734-1819	Mårten Bunge till Beateberg
