focus_id	batch
304460088870001751	0001
5318257919690026486	0001
6000000000293367254	0001
6000000000492772968	0001
6000000000698109730	0001
6000000000769939812	0001
6000000000770002377	0001
6000000000847076063	0001
6000000001469538220	0001
6000000001827534371	0001
6000000001917076539	0001
6000000001924905698	0001
6000000002187826932	0001
6000000002188389296	0001
6000000002188445670	0001
6000000002188445678	0001
6000000002188445686	0001
6000000002188445693	0001
6000000002188445701	0001
6000000002188445715	0001
6000000002188445722	0001
6000000002188445736	0001
6000000002188445752	0001
6000000002188450038	0001
6000000002188458102	0001
6000000002188458986	0001
6000000002188458992	0001
6000000002188470739	0001
6000000002188470763	0001
6000000002188470799	0001
6000000002188470834	0001
6000000002188470840	0001
6000000002188470846	0001
6000000002188470891	0001
6000000002188470897	0001
6000000002188502278	0001
6000000002188514547	0001
6000000002188517400	0001
6000000002188517422	0001
6000000002188517428	0001
6000000002188517434	0001
6000000002188517440	0001
6000000002188517445	0001
6000000002188517451	0001
6000000002188520838	0001
6000000002188520845	0001
6000000002188520852	0001
6000000002188520859	0001
6000000002188520868	0001
6000000002188520955	0001
6000000002188524013	0001
6000000002188524019	0001
6000000002188524323	0001
6000000002188524360	0001
6000000002333204809	0001
6000000002845009180	0001
6000000002845066754	0001
6000000003122380947	0001
6000000003122384125	0001
6000000003122384181	0001
6000000003122384187	0001
6000000003122384193	0001
6000000003122450912	0001
6000000003407499132	0001
6000000003615864986	0001
6000000003734075768	0001
6000000003858640158	0001
6000000003875382260	0001
6000000003956810248	0001
6000000004034074616	0001
6000000004079601502	0001
6000000004122582036	0001
6000000005437103484	0001
6000000005437149740	0001
6000000005437157765	0001
6000000005437188678	0001
6000000005437291918	0001
6000000006101259605	0001
6000000006101312836	0001
6000000006290202728	0001
6000000006444768061	0001
6000000006727749945	0001
6000000006727770832	0001
6000000006727770847	0001
6000000006727770865	0001
6000000006727770879	0001
6000000006727845996	0001
6000000006727849003	0001
6000000006727849010	0001
6000000006727849017	0001
6000000007451710375	0001
6000000007451710381	0001
6000000007985365662	0001
6000000008036946654	0001
6000000008113652989	0001
6000000008176944669	0001
6000000008222779878	0001
6000000008274614688	0001
6000000008342368933	0001
6000000008640087102	0001
6000000009288366073	0001
6000000009629322270	0001
6000000010133033255	0001
6000000010751969534	0001
6000000011193252954	0001
6000000011193252957	0001
6000000011193693207	0001
6000000011503840327	0001
6000000011623573960	0001
6000000012537285882	0001
6000000012537425296	0001
6000000012537457340	0001
6000000012537472298	0001
6000000013279743475	0001
6000000014111605457	0001
6000000014111680245	0001
6000000014281311548	0001
6000000015469103181	0001
6000000015584789048	0001
6000000015585187313	0001
6000000015585228201	0001
6000000015663690299	0001
6000000016748153184	0001
6000000017483665137	0001
6000000017483777194	0001
6000000017576411544	0001
6000000018452709915	0001
6000000019197540221	0001
6000000019999813447	0001
6000000020001186304	0001
6000000020094180209	0001
6000000021591542047	0001
6000000021591617884	0001
6000000022799863125	0001
6000000023086449924	0001
6000000026426906059	0001
6000000026426982822	0001
6000000032326186047	0001
6000000037055544843	0001
6000000037055636191	0001
6000000037055708934	0001
6000000040225568673	0001
6000000045691581901	0001
6000000052224205205	0001
6000000052224561894	0001
6000000055024447230	0001
6000000075472393821	0001
6000000083079682852	0001
6000000085894117887	0001
6000000090028035827	0001
6000000090028188834	0001
6000000092478158821	0001
6000000103297347850	0001
6000000105727441891	0001
6000000105896951914	0001
6000000125924667839	0001
6000000125924712847	0001
6000000125925066821	0001
6000000164253518855	0001
6000000174403935100	0001
6000000179043884834	0001
6000000187991291827	0001
6000000190081399773	0001
6000000198902289177	0001
6000000212966065821	0001
6000000217512465830	0001
6000000217512496824	0001
6000000217512586847	0001
6000000217512693834	0001
6000000217512742821	0001
6000000217512764822	0001
